timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:11:58,11.83,0.00,1.28,0.00,0.00,86.89,7.20,0.00,252.80,35.11,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,246.40,2,845,4.23,3.24,3.00,0,53801512,12175008,18.45,62644,8627292,10565064,16.01,3998032,7721088,3168608,lo,22.80,22.80,5.02,5.02,0.00,0.00,0.00,0.00,0.00,126.40,27968.40,0.00,36028.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.40,5894.80
15:12:03,29.70,0.00,2.62,0.05,0.00,67.62,14.60,0.00,259.20,17.75,0.01,0.71,0.71,1.04,13.00,0.00,13.00,0.00,265.60,4,864,4.05,3.22,3.00,0,58347224,7629296,11.56,62656,3980320,10427156,15.80,4008920,3280996,4316,lo,109.40,109.40,339.04,339.04,0.00,0.00,0.00,0.00,0.00,129.60,36396.60,0.00,265921.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,5182.40
15:12:08,31.38,0.00,2.73,0.00,0.00,65.88,9.40,0.00,374.40,39.83,0.02,1.87,0.26,0.24,10.40,0.00,10.40,0.00,366.40,2,984,3.89,3.20,2.99,0,58069876,7906644,11.98,62668,4254316,10567596,16.02,4274024,3281240,278024,lo,1652.80,1652.80,56757.06,56757.06,0.00,0.00,0.00,0.00,0.00,180.80,27534.40,0.00,16630.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,8608.20
15:12:13,34.26,0.00,3.26,0.00,0.00,62.48,1.80,0.00,137.60,76.44,0.00,0.44,0.44,0.08,2.40,0.00,2.40,0.00,150.40,0,915,3.73,3.18,2.98,0,57603128,8373392,12.69,62680,4528044,11036104,16.73,4735808,3281196,551816,lo,1661.00,1661.00,56688.40,56688.40,0.00,0.00,0.00,0.00,0.00,75.20,34527.00,0.00,66837.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.60,8209.40
15:12:18,38.33,0.00,3.44,0.00,0.00,58.23,1.40,0.00,110.40,78.86,0.00,1.14,1.14,0.16,1.80,0.00,1.80,0.00,113.60,3,963,3.44,3.13,2.97,0,57010292,8966228,13.59,62692,4802032,11117996,16.85,5320936,3281436,825852,lo,1659.20,1659.20,56655.21,56655.21,0.00,0.00,0.00,0.00,0.00,55.20,37142.80,0.00,41064.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,7486.00
15:12:23,37.68,0.00,3.61,0.03,0.00,58.68,1.00,0.00,116.80,116.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,116.80,9,984,3.96,3.24,3.01,0,56444472,9532048,14.45,62704,5343552,11136696,16.88,5871280,3281428,1367404,lo,1843.60,1843.60,62700.14,62700.14,0.00,0.00,0.00,0.00,0.00,58.40,35665.00,0.00,40978.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.80,7212.40
15:12:28,33.00,0.00,3.86,0.00,0.00,63.14,4.20,0.00,361.60,86.10,0.00,0.95,0.76,0.32,3.80,0.00,3.80,0.00,336.00,5,983,4.29,3.32,3.03,0,56691232,9285288,14.07,62716,5592232,10516764,15.94,5615580,3281084,1615728,lo,2848.80,2848.80,102058.46,102058.46,0.00,0.00,0.00,0.00,0.00,180.80,27667.00,0.00,79590.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,8215.60
15:12:33,32.07,0.00,3.40,0.03,0.00,64.51,14.80,0.00,780.80,52.76,0.00,0.11,0.11,0.16,14.80,0.00,14.80,0.00,803.20,0,914,4.10,3.30,3.03,0,56256700,9719820,14.73,62728,5850788,10995392,16.67,6046004,3281224,1872844,lo,1563.60,1563.60,53972.04,53972.04,0.00,0.00,0.00,0.00,0.00,390.40,34036.00,0.00,40709.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,8226.40
15:12:38,29.87,0.00,2.66,1.08,0.00,66.38,54.20,0.00,100720.00,1858.30,6.98,128.84,2.66,14.40,54.60,0.00,54.60,0.00,100723.20,2,979,3.77,3.24,3.01,0,55578620,10397900,15.76,62740,6165540,11109212,16.84,6463976,3531112,1936244,lo,2027.40,2027.40,80613.49,80613.49,0.00,0.00,0.00,0.00,0.00,50360.00,31497.60,0.00,20238.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,5977.40
15:12:43,17.83,0.00,3.10,5.72,0.00,73.36,70.60,0.00,102579.20,1452.96,23.89,338.39,5.25,37.04,70.60,0.00,70.60,0.00,102579.20,2,983,3.55,3.21,3.00,0,55432036,10544484,15.98,62756,6308896,11106740,16.83,6591348,3547136,1823300,lo,887.40,887.40,30447.41,30447.41,0.00,0.00,0.00,0.00,0.00,51289.60,15402.60,0.00,20198.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.60,4655.20
