timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:17:04,56.21,0.00,8.42,0.00,0.00,35.37,24.80,1.60,6268.80,252.84,0.03,1.10,0.13,0.32,24.80,0.20,24.60,1.60,6268.80,1,712,2.22,2.44,2.03,0,10621464,5810656,35.36,71224,3029604,5357312,32.60,3241176,2330460,215952,lo,13.60,13.60,1.39,1.39,0.00,0.00,0.00,0.00,0.80,3134.40,30855.20,0.00,36670.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,2652.40
11:17:09,65.42,0.00,5.85,0.40,0.00,28.33,58.00,0.00,6182.40,106.59,0.05,0.79,0.32,1.84,58.00,0.00,58.00,0.00,6182.40,2,749,2.20,2.43,2.03,0,10592524,5839596,35.54,71272,2777648,5899096,35.90,3504520,2093216,309404,lo,867.00,867.00,20859.70,20859.70,0.00,0.00,0.00,0.00,0.00,3091.20,15307.80,0.00,22707.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.60,5444.60
11:17:14,59.48,0.00,3.01,0.10,0.00,37.41,3.60,0.00,140.80,39.11,0.00,0.67,0.22,0.08,3.60,0.00,3.60,0.00,140.80,6,844,2.02,2.39,2.02,0,10182584,6249536,38.03,71280,2778016,7052848,42.92,3910836,2093432,309852,lo,45.40,45.40,30.73,30.73,0.00,0.00,0.00,0.00,0.00,70.40,21943.20,0.00,1261.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.20,4013.80
11:17:19,83.18,0.00,5.24,0.00,0.00,11.58,5.40,0.00,364.80,67.56,0.00,0.44,0.44,0.24,5.40,0.00,5.40,0.00,364.80,4,859,2.18,2.42,2.03,0,10073160,6358960,38.70,71292,2799132,7240340,44.06,3999608,2113176,330488,lo,228.00,228.00,4157.06,4157.06,0.00,0.00,0.00,0.00,0.00,182.40,33913.80,0.00,29993.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,5382.40
11:17:24,77.05,0.00,5.81,0.00,0.00,17.13,6.80,0.00,174.40,25.65,0.00,0.24,0.24,0.16,6.80,0.00,6.80,0.00,174.40,6,853,2.41,2.46,2.05,0,10030316,6401804,38.96,71304,2840672,7090128,43.15,4002624,2152072,372052,lo,386.00,386.00,8297.24,8297.24,0.00,0.00,0.00,0.00,0.00,87.20,46617.00,0.00,47496.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,4770.20
11:17:29,91.06,0.00,5.73,0.00,0.00,3.22,5.80,0.00,312.00,53.79,0.00,0.83,0.83,0.48,5.80,0.00,5.80,0.00,312.00,4,845,2.61,2.50,2.06,0,10077660,6354460,38.67,71316,2861480,7144440,43.48,3935292,2171488,392504,lo,242.20,242.20,4156.18,4156.18,0.00,0.00,0.00,0.00,0.00,156.00,39599.60,0.00,43516.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,6064.60
11:17:34,75.70,0.00,7.03,0.00,0.00,17.27,297.60,0.00,48652.80,163.48,1.18,3.97,0.09,2.80,297.60,0.00,297.60,0.00,48652.80,3,830,2.49,2.48,2.06,0,10153808,6278312,38.21,71328,2892648,6559680,39.92,3829004,2200732,302596,lo,304.80,304.80,6225.72,6225.72,0.00,0.00,0.00,0.00,0.00,24326.40,40439.40,0.00,49523.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.80,4881.20
11:17:38,86.07,0.00,7.33,0.00,0.00,6.60,206.10,0.00,51113.14,248.01,14.84,34.64,0.64,13.18,206.48,0.00,206.48,0.00,51116.19,18,841,2.61,2.50,2.07,0,10139176,6292944,38.30,71356,2924016,6949940,42.29,3812648,2230040,159256,lo,320.38,320.38,5931.56,5931.56,0.00,0.00,0.00,0.00,0.00,34196.18,42550.19,0.00,45766.03,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,5346.00
11:17:44,88.27,0.00,5.71,0.00,0.00,6.03,26.80,0.00,24528.00,915.22,0.16,307.73,0.24,0.64,26.40,0.00,26.40,0.00,24524.80,12,850,2.72,2.53,2.08,0,9955380,6476740,39.42,71376,2944820,6982020,42.49,3976876,2249540,170200,lo,221.20,221.20,4152.92,4152.92,0.00,0.00,0.00,0.00,0.00,3260.80,35832.60,0.00,28442.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,5903.00
11:17:49,82.16,0.00,4.41,0.00,0.00,13.43,9.40,0.00,660.80,70.30,0.00,0.51,0.34,0.32,9.40,0.00,9.40,0.00,660.80,2,867,2.82,2.55,2.09,0,9822304,6609816,40.22,71388,2965948,7356604,44.77,4088048,2270192,190428,lo,230.20,230.20,4359.42,4359.42,0.00,0.00,0.00,0.00,0.00,330.40,33102.40,0.00,28327.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.20,5438.80
