timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:26:42,80.12,0.00,4.62,3.31,0.00,11.95,246.00,65.60,4516.80,18.63,0.13,0.51,0.46,11.28,97.20,0.00,97.20,0.00,1894.40,1,715,1.37,1.79,1.92,0,1709384,14722736,89.60,81392,11664112,5053060,30.75,3600828,10663344,63780,lo,17.00,17.00,2.09,2.09,0.00,0.00,0.00,0.00,32.80,1657.60,13031.20,0.40,1153.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3430.20
22:26:47,65.36,0.00,3.93,0.10,0.00,30.61,8.00,0.00,1172.80,146.60,0.01,0.80,0.30,0.24,17.00,0.00,17.00,0.00,1211.20,2,734,1.26,1.76,1.91,0,1825664,14606456,88.89,81404,11665760,5195632,31.62,3515324,10646380,67968,lo,140.00,140.00,2037.07,2037.07,0.00,0.00,0.00,0.00,0.00,604.80,11228.80,0.00,21614.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,3778.20
22:26:52,64.23,0.00,2.61,0.00,0.00,33.17,13.20,0.00,232.00,17.58,0.00,0.24,0.24,0.32,4.40,0.00,4.40,0.00,195.20,3,808,1.24,1.75,1.90,0,1479008,14953112,91.00,81416,11666136,5743548,34.95,3859260,10646556,68416,lo,374.80,374.80,8023.14,8023.14,0.00,0.00,0.00,0.00,0.00,97.60,18129.20,0.00,809.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.20,2585.20
22:26:57,90.13,0.00,1.91,0.00,0.00,7.96,21.40,0.00,1526.40,71.33,0.01,0.30,0.04,0.08,21.20,0.00,21.20,0.00,1524.80,2,803,1.30,1.75,1.90,0,1286808,15145312,92.17,81428,11666412,5774364,35.14,4058324,10638792,65072,lo,89.20,89.20,1542.82,1542.82,0.00,0.00,0.00,0.00,0.00,763.20,16068.60,0.00,817.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2237.20
22:27:02,90.88,0.00,0.90,0.00,0.00,8.22,2.20,0.00,265.60,120.73,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,265.60,2,801,1.35,1.76,1.90,0,1284408,15147712,92.18,81440,11666412,5774364,35.14,4060556,10638792,64760,lo,103.60,103.60,2533.53,2533.53,0.00,0.00,0.00,0.00,0.00,132.80,162.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1767.80
22:27:07,89.03,0.00,1.69,0.10,0.00,9.17,4.40,0.00,180.80,41.09,0.00,0.18,0.18,0.08,4.80,0.00,4.80,0.00,195.20,2,807,1.33,1.74,1.90,0,1326984,15105136,91.92,81452,11666652,5810400,35.36,4018456,10638832,64800,lo,60.20,60.20,787.55,787.55,0.00,0.00,0.00,0.00,0.00,97.60,6378.00,0.00,15339.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.20,2401.60
22:27:12,90.46,0.00,2.31,0.00,0.00,7.23,3.60,0.00,304.00,84.44,0.00,0.44,0.44,0.16,3.20,0.00,3.20,0.00,289.60,2,807,1.38,1.75,1.90,0,1249596,15182524,92.40,81464,11666692,5810400,35.36,4095396,10638824,64448,lo,90.40,90.40,1781.27,1781.27,0.00,0.00,0.00,0.00,0.00,144.80,11443.60,0.00,467.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1846.80
22:27:17,92.44,0.00,0.71,0.00,0.00,6.85,7.00,0.00,7667.20,1095.31,0.04,6.17,0.46,0.32,7.00,0.00,7.00,0.00,7667.20,2,805,1.43,1.75,1.90,0,1253232,15178888,92.37,81472,11666700,5810400,35.36,4091244,10638824,45388,lo,76.20,76.20,1820.91,1820.91,0.00,0.00,0.00,0.00,0.00,3833.60,107.40,0.00,321.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1754.00
22:27:22,90.80,0.00,0.60,0.00,0.00,8.60,22.60,0.00,17790.40,787.19,0.22,9.66,0.14,0.32,22.80,0.00,22.80,0.00,17803.20,4,801,1.47,1.76,1.90,0,1566552,14865568,90.47,81480,11666564,5499404,33.47,3779644,10638548,1036,lo,63.00,63.00,1189.83,1189.83,0.00,0.00,0.00,0.00,0.00,8895.20,99.40,0.00,64.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.80,1670.60
22:27:27,72.85,0.00,3.21,0.00,0.00,23.95,1.00,0.00,105.60,105.60,0.00,0.80,0.80,0.08,0.80,0.00,0.80,0.00,92.80,2,809,1.52,1.76,1.90,0,1248200,15183920,92.40,81492,11666904,5770788,35.12,4096916,10638844,1424,lo,77.80,77.80,1110.20,1110.20,0.00,0.00,0.00,0.00,0.00,52.80,17163.40,0.00,16667.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.80,2558.00
22:27:32,92.97,0.00,0.80,0.00,0.00,6.22,12.60,0.00,190.40,15.11,0.00,0.06,0.06,0.08,12.60,0.00,12.60,0.00,190.40,1,807,1.56,1.77,1.90,0,1250852,15181268,92.39,81500,11666908,5770788,35.12,4094028,10638852,1076,lo,90.20,90.20,2221.99,2221.99,0.00,0.00,0.00,0.00,0.00,95.20,148.60,0.00,289.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1721.00
22:27:37,90.69,0.00,0.40,0.00,0.00,8.91,1.00,0.00,20.80,20.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,43.20,3,798,1.59,1.77,1.90,0,1250408,15181712,92.39,81508,11666908,5770788,35.12,4094616,10638716,1108,lo,65.60,65.60,1456.78,1456.78,0.00,0.00,0.00,0.00,0.00,21.60,73.40,0.00,33.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,1655.60
22:27:42,87.47,0.00,2.81,0.00,0.00,9.72,1.80,0.00,134.40,74.67,0.00,0.44,0.44,0.08,1.80,0.00,1.80,0.00,187.20,3,808,1.62,1.77,1.91,0,1240652,15191468,92.45,81520,11667176,5800436,35.30,4104560,10638868,1208,lo,81.60,81.60,1150.72,1150.72,0.00,0.00,0.00,0.00,0.00,93.60,17462.20,0.00,16764.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.20,2378.60
22:27:47,93.57,0.00,0.60,0.00,0.00,5.82,0.40,0.00,75.20,188.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,2,804,1.66,1.78,1.91,0,1238948,15193172,92.46,81528,11667176,5800436,35.30,4106168,10638864,1212,lo,87.20,87.20,2209.44,2209.44,0.00,0.00,0.00,0.00,0.00,7.20,164.40,0.00,45.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1732.40
22:27:52,91.10,0.00,0.60,0.00,0.00,8.30,2.00,0.00,59.20,29.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,67.20,2,797,1.68,1.78,1.91,0,1236388,15195732,92.48,81536,11667228,5800436,35.30,4108032,10638664,1244,lo,71.60,71.60,1468.46,1468.46,0.00,0.00,0.00,0.00,0.00,33.60,78.80,0.00,39.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,1656.20
22:27:57,85.40,0.00,3.12,0.00,0.00,11.48,2.60,0.00,153.60,59.08,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,211.20,3,807,1.71,1.79,1.91,0,1241468,15190652,92.44,81548,11667396,5783344,35.20,4103940,10638876,1196,lo,79.20,79.20,1121.75,1121.75,0.00,0.00,0.00,0.00,0.00,105.60,17203.40,0.00,17119.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.20,2473.20
