timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:00:23,48.32,0.00,2.01,1.90,0.00,47.77,157.60,0.00,3313.60,21.03,0.08,0.52,0.48,7.60,277.20,0.00,277.20,0.00,5510.40,4,748,0.97,1.38,1.60,0,22177016,10769904,32.69,209928,7561856,5916652,17.96,3851348,6547280,22600,lo,4.20,4.20,0.75,0.75,0.00,0.00,0.00,0.00,0.00,2755.20,21471.00,0.00,14753.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.20,4910.00
01:00:28,46.81,0.00,2.11,0.96,0.00,50.13,167.20,0.00,3041.60,18.19,0.07,0.44,0.44,7.36,46.20,0.00,46.20,0.00,907.20,3,792,1.06,1.39,1.60,0,21825332,11121588,33.76,209984,7577108,6561604,19.92,4188032,6561020,36808,lo,336.20,336.20,6967.74,6967.74,0.00,0.00,0.00,0.00,0.00,453.60,18068.20,0.00,2858.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.60,4743.60
01:00:33,40.77,0.00,1.76,0.05,0.00,57.42,3.20,0.00,241.60,75.50,0.00,0.25,0.25,0.08,5.60,0.00,5.60,0.00,296.00,2,869,1.29,1.43,1.61,0,21461840,11485080,34.86,209988,7579920,7058600,21.42,4546408,6562484,39300,lo,109.80,109.80,1200.10,1200.10,0.00,0.00,0.00,0.00,0.00,148.00,19805.80,0.00,1773.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,3722.00
01:00:38,40.45,0.00,1.70,0.00,0.00,57.84,6.20,0.00,296.00,47.74,0.00,0.39,0.39,0.24,3.40,0.00,3.40,0.00,156.80,1,865,1.19,1.41,1.61,0,21504276,11442644,34.73,209988,7582956,7033460,21.35,4502536,6565108,42280,lo,103.80,103.80,1148.60,1148.60,0.00,0.00,0.00,0.00,0.00,78.40,18467.40,0.00,20465.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,4066.60
01:00:43,46.57,0.00,2.05,0.05,0.00,51.33,4.20,0.00,129.60,30.86,0.00,0.19,0.19,0.08,8.00,0.00,8.00,0.00,257.60,4,861,1.25,1.42,1.61,0,21614592,11332328,34.40,209992,7587708,7096136,21.54,4387568,6569612,46740,lo,162.00,162.00,2284.48,2284.48,0.00,0.00,0.00,0.00,0.00,128.80,15687.20,0.00,21384.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,3778.40
01:00:48,48.24,0.00,1.92,0.00,0.00,49.85,7.60,0.00,262.40,34.53,0.00,0.32,0.32,0.24,20.20,0.00,20.20,0.00,336.00,1,862,1.31,1.43,1.61,0,21608940,11337980,34.41,209992,7592772,7051548,21.40,4387208,6574260,51164,lo,165.40,165.40,2267.14,2267.14,0.00,0.00,0.00,0.00,0.00,168.00,21026.00,0.00,20977.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,4500.60
01:00:53,37.12,0.00,1.65,0.00,0.00,61.22,19.40,0.00,339.20,17.48,0.00,0.16,0.16,0.32,15.60,0.00,15.60,0.00,355.20,0,853,1.37,1.44,1.61,0,21437900,11509020,34.93,209996,7598068,7075292,21.47,4552000,6578904,56156,lo,208.80,208.80,2390.74,2390.74,0.00,0.00,0.00,0.00,0.00,177.60,19409.20,0.00,11235.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.20,4638.80
01:00:58,14.44,0.00,0.80,0.15,0.00,84.61,26.60,0.00,430.40,16.18,0.01,0.39,0.30,0.80,30.20,0.00,30.20,0.00,14160.00,0,789,1.26,1.41,1.60,0,21604960,11341960,34.42,209996,7615416,6816836,20.69,4370728,6595536,38624,lo,183.20,183.20,3489.72,3489.72,0.00,0.00,0.00,0.00,0.00,7080.00,286.40,0.00,10016.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.20,2178.00
01:01:03,17.11,0.00,1.45,0.00,0.00,81.44,20.00,0.00,14067.20,703.36,0.15,7.68,0.36,0.72,3.20,0.00,3.20,0.00,81.60,4,835,1.16,1.39,1.60,0,21651460,11295460,34.28,210000,7597764,6721544,20.40,4340644,6580348,55928,lo,161.80,161.80,3556.21,3556.21,0.00,0.00,0.00,0.00,0.00,40.80,22607.40,0.00,25673.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,3310.60
01:01:08,42.13,0.00,1.45,0.05,0.00,56.37,2.20,0.00,126.40,57.45,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,2155.20,1,875,1.07,1.37,1.59,0,21435268,11511652,34.94,210008,7615060,7058016,21.42,4539920,6595284,68276,lo,433.60,433.60,8769.61,8769.61,0.00,0.00,0.00,0.00,0.00,1077.60,11322.20,0.00,1721.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,3999.60
01:01:13,14.28,0.00,0.95,0.05,0.00,84.72,16.60,0.00,2177.60,131.18,0.01,0.63,0.29,0.48,17.60,0.00,17.60,0.00,2198.40,0,758,1.06,1.36,1.58,0,22001496,10945424,33.22,210012,7618044,6093852,18.50,3972172,6598232,66336,lo,94.00,94.00,594.02,594.02,0.00,0.00,0.00,0.00,0.00,1099.20,851.60,0.00,29368.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.40,2450.00
01:01:18,10.09,0.00,0.80,0.00,0.00,89.11,6.40,0.00,2158.40,337.25,0.01,1.00,0.50,0.32,5.40,0.00,5.40,0.00,152.00,2,738,0.97,1.34,1.57,0,22379812,10567108,32.07,210016,7555720,5823148,17.67,3651332,6544316,21492,lo,24.20,24.20,22.63,22.63,0.00,0.00,0.00,0.00,0.00,76.00,18463.00,0.00,36507.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,2785.80
