timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
10:24:21,14.30,0.00,0.78,0.05,0.00,84.88,14.20,0.00,2377.60,167.44,0.02,1.18,0.68,0.96,14.20,0.00,14.20,0.00,2377.60,1,942,1.70,2.05,1.68,2,11047752,5383576,32.76,44648,1867512,6450088,39.25,3596172,1545456,106340,lo,147.40,147.40,1965.99,1965.99,0.00,0.00,0.00,0.00,0.00,1197.60,20190.00,0.00,29728.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,4577.60
10:24:26,12.26,0.00,1.83,0.00,0.00,85.92,4.00,0.00,52.80,13.20,0.00,0.80,0.80,0.32,3.80,0.00,3.80,0.00,51.20,5,895,1.88,2.09,1.69,0,11700476,4730852,28.79,44684,1624064,6355452,38.68,3223972,1310448,54520,lo,41.60,41.60,114.95,114.95,0.00,0.00,0.00,0.00,0.00,61.60,21045.80,0.00,51875.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4862.40
10:24:31,18.25,0.00,2.77,0.25,0.00,78.73,92.20,0.00,3715.20,40.30,0.07,0.46,0.32,2.96,92.20,0.00,92.20,0.00,3715.20,1,870,1.73,2.05,1.68,3,11448328,4983000,30.33,45588,1862032,5721036,34.82,3202900,1540516,306232,lo,1105.60,1105.60,20865.31,20865.31,0.00,0.00,0.00,0.00,0.00,4313.60,20796.20,0.00,27871.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,74.80,8730.00
10:24:36,22.22,0.00,1.28,0.05,0.00,76.45,11.00,0.00,6038.40,548.95,0.02,4.15,0.36,0.40,11.20,0.00,11.20,0.00,6214.40,11,1004,1.59,2.02,1.67,4,11669252,4762076,28.98,45604,1198012,7348888,44.72,3625608,912736,313568,lo,53.20,53.20,54.37,54.37,0.00,0.00,0.00,0.00,0.00,563.20,25398.00,0.00,36006.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,5559.00
10:24:41,43.23,0.00,2.71,0.03,0.00,54.03,27.40,0.00,6494.40,237.02,0.12,4.20,0.26,0.72,27.40,0.00,27.40,0.00,6449.60,2,1015,2.10,2.12,1.71,2,11479036,4952292,30.14,45616,1239836,7488572,45.57,3773648,951320,339724,lo,489.00,489.00,8314.26,8314.26,0.00,0.00,0.00,0.00,0.00,3243.20,71539.80,0.00,65785.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.20,11013.80
10:24:46,44.88,0.00,3.01,0.03,0.00,52.08,9.00,0.00,603.20,67.02,0.00,0.53,0.53,0.48,9.00,0.00,9.00,0.00,585.60,2,1012,2.26,2.15,1.72,2,11419864,5011464,30.50,45620,1291960,7483844,45.55,3782124,1000312,391240,lo,614.00,614.00,10385.84,10385.84,0.00,0.00,0.00,0.00,0.00,305.60,80285.60,0.00,82049.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,11763.00
10:24:51,46.23,0.00,2.85,0.03,0.00,50.89,8.40,0.00,211.20,25.14,0.01,0.76,0.76,0.64,8.40,0.00,8.40,0.00,204.80,5,1011,2.40,2.18,1.73,2,11366160,5065168,30.83,45632,1343692,7484012,45.55,3786152,1049228,443468,lo,600.20,600.20,10384.41,10384.41,0.00,0.00,0.00,0.00,0.00,105.60,80283.40,0.00,82174.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,11607.40
10:24:56,44.02,0.00,3.19,0.05,0.00,52.74,10.20,0.00,545.60,53.49,0.01,0.63,0.55,0.56,10.20,0.00,10.20,0.00,440.00,3,1011,2.36,2.18,1.74,3,11304632,5126696,31.20,45644,1396204,7503400,45.67,3796592,1098100,495112,lo,613.00,613.00,10384.46,10384.46,0.00,0.00,0.00,0.00,0.00,213.60,80444.40,0.00,82089.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,11776.40
10:25:01,45.34,0.00,3.65,0.68,0.00,50.33,464.80,0.00,76932.80,165.52,16.86,36.28,0.33,15.44,464.60,0.00,464.60,0.00,76931.20,3,1011,2.42,2.19,1.74,0,11241752,5189576,31.58,45644,1448372,7486092,45.56,3810772,1146924,355256,lo,604.00,604.00,10383.39,10383.39,0.00,0.00,0.00,0.00,0.00,38525.60,80590.00,0.00,85517.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,62.00,11443.20
10:25:06,44.35,0.00,3.04,0.03,0.00,52.59,38.20,0.00,45336.00,1186.81,0.59,15.50,0.38,1.44,38.60,0.00,38.60,0.00,45464.00,6,1012,2.46,2.20,1.75,2,11185256,5246072,31.93,45692,1500256,7494108,45.61,3816376,1195804,310976,lo,589.60,589.60,10382.15,10382.15,0.00,0.00,0.00,0.00,0.00,22663.20,80203.00,0.00,81932.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,66.80,11485.60
