timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:15:58,14.79,0.00,2.57,0.02,0.00,82.61,29.60,0.00,3745.60,126.54,0.04,1.32,0.19,0.56,28.80,0.00,28.80,0.00,3648.00,0,881,0.70,0.36,0.14,1,8346440,8084888,49.20,124564,4689568,6064956,36.91,3675500,4124028,106140,lo,83.80,83.80,107.96,107.96,0.00,0.00,0.00,0.00,0.80,100.00,26719.40,0.00,52506.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.60,4765.60
01:16:03,24.24,0.00,2.77,0.12,0.00,72.86,5.80,1.60,102.40,17.93,0.00,0.41,0.41,0.24,6.60,0.20,6.40,1.60,200.00,2,863,0.96,0.42,0.16,0,8085560,8345768,50.79,124740,4864192,5937156,36.13,3728528,4293068,306740,lo,32.00,32.00,21.06,21.06,0.00,0.00,0.00,0.00,0.00,2046.40,25029.00,0.00,28635.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.80,7777.60
01:16:08,20.99,0.00,1.05,0.05,0.00,77.91,36.00,0.00,4092.80,113.69,0.04,1.16,0.49,1.76,35.80,0.00,35.80,0.00,4091.20,3,885,1.20,0.48,0.18,1,7878748,8552580,52.05,124752,4865332,6567136,39.97,3930520,4294080,312856,lo,917.80,917.80,20853.64,20853.64,0.00,0.00,0.00,0.00,0.00,2359.20,27870.60,0.00,17602.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.60,4931.00
01:16:13,17.56,0.00,1.28,0.00,0.00,81.16,12.20,0.00,4840.00,396.72,0.03,2.23,0.33,0.40,11.40,0.00,11.40,0.00,4720.00,2,964,1.11,0.48,0.18,1,7873976,8557352,52.08,124756,4867368,6564840,39.95,3933704,4295896,314956,lo,72.00,72.00,244.05,244.05,0.00,0.00,0.00,0.00,0.00,81.60,31067.40,0.00,30850.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,5498.80
01:16:18,23.27,0.00,1.83,2.05,0.00,72.85,3.80,0.00,139.20,36.63,0.00,0.63,0.63,0.24,4.40,0.00,4.40,0.00,163.20,3,960,1.18,0.50,0.19,3,7753992,8677336,52.81,124760,4869624,6641948,40.42,4052796,4297900,182700,lo,95.20,95.20,428.12,428.12,0.00,0.00,0.00,0.00,0.00,26976.80,37575.40,0.00,34332.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,6247.00
01:16:23,21.41,0.00,1.78,0.43,0.00,76.38,272.60,0.00,53856.00,197.56,20.77,76.21,0.65,17.60,273.00,0.00,273.00,0.00,53953.60,5,966,1.25,0.53,0.20,0,7865588,8565740,52.13,124776,4872832,6557040,39.91,3937528,4300820,11072,lo,97.40,97.40,428.42,428.42,0.00,0.00,0.00,0.00,0.00,37228.80,40521.20,0.00,47704.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,6467.40
01:16:28,23.77,0.00,1.38,0.03,0.00,74.83,228.40,0.00,74476.80,326.08,18.14,79.41,0.90,20.56,226.80,0.00,226.80,0.00,74457.60,3,954,1.31,0.55,0.21,0,7743556,8687772,52.87,124792,4875052,6664500,40.56,4057944,4302824,16308,lo,128.40,128.40,639.74,639.74,0.00,0.00,0.00,0.00,0.00,723.20,37692.20,0.00,31437.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.60,6428.00
01:16:33,21.29,0.00,1.60,0.03,0.00,77.08,5.40,0.00,1428.80,264.59,0.01,2.37,0.74,0.40,6.60,0.00,6.60,0.00,1352.00,5,966,1.28,0.56,0.21,2,7847556,8583772,52.24,124804,4878232,6528332,39.73,3950724,4305736,19528,lo,93.60,93.60,427.78,427.78,0.00,0.00,0.00,0.00,0.00,78.40,41169.60,0.00,46470.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,6513.80
01:16:38,23.39,0.00,1.48,0.05,0.00,75.08,4.80,0.00,155.20,32.33,0.00,0.33,0.33,0.16,5.00,0.00,5.00,0.00,153.60,1,952,1.34,0.58,0.22,3,7725312,8706016,52.98,124808,4880476,6666004,40.57,4071424,4307736,21792,lo,128.40,128.40,639.73,639.73,0.00,0.00,0.00,0.00,0.00,20.80,37251.40,0.00,31015.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,6280.20
01:16:43,15.28,0.00,1.33,0.05,0.00,83.34,4.00,0.00,147.20,36.80,0.00,0.80,0.80,0.32,3.80,0.00,3.80,0.00,139.20,2,967,1.63,0.66,0.25,1,7758932,8672396,52.78,124812,4933872,6117184,37.23,3985964,4358148,75128,lo,96.00,96.00,427.58,427.58,0.00,0.00,0.00,0.00,0.80,132.00,22043.20,0.00,29114.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.40,6191.60
