timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:50:48,27.05,0.00,1.00,1.35,0.00,70.60,301.00,0.00,5918.40,19.66,0.16,0.52,0.47,14.24,303.40,0.00,303.40,0.00,9233.60,1,832,2.55,2.18,1.79,0,2550568,13880760,84.48,128500,10647696,5360584,32.62,4055440,9340688,194880,lo,26.40,26.40,93.06,93.06,0.00,0.00,0.00,0.00,0.00,7512.00,12391.80,0.00,28623.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5507.00
19:50:53,26.16,0.00,2.00,0.10,0.00,71.74,24.20,0.00,9644.80,398.55,0.06,2.51,0.50,1.20,25.80,0.00,25.80,0.00,9718.40,0,858,2.58,2.19,1.80,0,2196280,14235048,86.63,128932,10657324,5792964,35.26,4397808,9349856,180760,lo,91.60,91.60,1036.77,1036.77,0.00,0.00,0.00,0.00,0.00,10626.40,18497.80,0.00,4864.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.20,4737.60
19:50:58,21.80,0.00,1.25,0.07,0.00,76.88,42.80,38.40,22033.60,515.70,0.30,7.10,0.34,1.44,42.80,0.60,42.20,38.40,22033.60,4,880,2.38,2.16,1.79,0,2178980,14252348,86.74,128944,10711272,5944628,36.18,4380804,9383544,182528,lo,437.00,437.00,8965.80,8965.80,0.00,0.00,0.00,0.00,19.20,9762.40,16467.40,0.20,19398.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,4711.80
19:51:03,23.85,0.00,1.08,0.03,0.00,75.05,11.40,0.00,18459.20,1619.23,0.13,11.02,0.70,0.80,11.40,0.00,11.40,0.00,18459.20,3,963,2.19,2.12,1.78,0,1775020,14656308,89.20,128956,10711960,6463580,39.34,4783884,9382848,137652,lo,70.80,70.80,425.37,425.37,0.00,0.00,0.00,0.00,0.00,72.80,21162.80,0.00,845.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,5397.60
19:51:08,74.97,0.00,0.67,0.00,0.00,24.36,5.40,0.00,9334.40,1728.59,0.04,7.56,0.74,0.40,5.40,0.00,5.40,0.00,9334.40,10,957,2.65,2.22,1.81,0,1655052,14776276,89.93,128968,10711928,6480880,39.44,4908112,9376068,114580,lo,102.00,102.00,2744.74,2744.74,0.00,0.00,0.00,0.00,0.00,4667.20,6364.60,0.00,882.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4500.20
19:51:13,76.63,0.00,0.50,0.00,0.00,22.87,11.40,0.00,18566.40,1628.63,0.14,12.14,0.49,0.56,11.40,0.00,11.40,0.00,18566.40,8,954,3.08,2.31,1.85,0,1677308,14754020,89.79,128976,10711932,6480880,39.44,4885292,9376068,68268,lo,76.40,76.40,1702.81,1702.81,0.00,0.00,0.00,0.00,0.00,9283.20,219.00,0.00,1389.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3715.40
19:51:18,44.34,0.00,0.93,0.00,0.00,54.73,5.80,0.00,161.60,27.86,0.00,0.41,0.41,0.24,5.80,0.00,5.80,0.00,161.60,4,961,2.83,2.28,1.84,0,1743056,14688272,89.39,128984,10711924,6463508,39.34,4821704,9375876,68092,lo,68.40,68.40,374.67,374.67,0.00,0.00,0.00,0.00,0.00,80.80,16129.40,0.00,18626.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,6035.40
19:51:23,74.12,0.00,0.53,0.00,0.00,25.35,4.00,0.00,534.40,133.60,0.00,0.40,0.40,0.16,4.00,0.00,4.00,0.00,534.40,8,961,3.25,2.37,1.87,0,1670136,14761192,89.84,128996,10712176,6479892,39.44,4893928,9376100,67408,lo,102.40,102.40,2831.52,2831.52,0.00,0.00,0.00,0.00,0.00,267.20,4417.20,0.00,1163.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4753.20
19:51:28,77.50,0.00,0.43,0.03,0.00,22.05,6.00,0.00,3772.80,628.80,0.02,3.47,0.53,0.32,6.00,0.00,6.00,0.00,3772.80,8,959,3.63,2.46,1.90,0,1667440,14763888,89.85,129004,10712184,6479892,39.44,4897092,9376104,58084,lo,72.60,72.60,1605.98,1605.98,0.00,0.00,0.00,0.00,0.00,1886.40,176.60,0.00,37.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.20,4452.00
19:51:33,52.91,0.00,1.23,0.00,0.00,45.86,46.40,0.00,22902.40,493.59,0.38,8.24,0.14,0.64,46.40,0.00,46.40,0.00,22902.40,5,963,3.82,2.52,1.92,0,1654048,14777280,89.93,129012,10712440,6474068,39.40,4909804,9376116,1376,lo,88.00,88.00,1282.47,1282.47,0.00,0.00,0.00,0.00,0.00,11451.20,19945.00,0.00,18926.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5567.60
