timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:35:22,20.52,0.00,1.66,0.03,0.00,77.80,13.40,0.00,200.00,14.93,0.01,0.42,0.36,0.48,13.40,0.00,13.40,0.00,241.60,8,867,2.45,2.49,2.12,4,10023160,6408168,39.00,112808,3493140,5709036,34.74,3407364,2761472,2716,lo,99.20,99.20,211.90,211.90,0.00,0.00,0.00,0.00,0.00,120.80,25710.40,0.00,37566.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,5905.20
17:35:27,23.18,0.00,1.03,0.03,0.00,75.76,27.20,0.00,1460.80,53.71,0.04,1.41,0.12,0.32,27.00,0.00,27.00,0.00,1302.40,8,954,2.41,2.48,2.12,0,9658116,6773212,41.22,112816,3493376,6323432,38.48,3771588,2761912,316,lo,41.40,41.40,29.67,29.67,0.00,0.00,0.00,0.00,0.00,651.20,19542.60,0.00,1229.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,4006.40
17:35:32,25.68,0.00,1.61,0.00,0.00,72.71,1.80,0.00,110.40,61.33,0.00,1.78,1.78,0.32,2.00,0.00,2.00,0.00,112.00,7,959,2.30,2.45,2.11,2,9533856,6897472,41.98,112816,3493644,6360388,38.71,3894092,2762004,840,lo,72.60,72.60,15.93,15.93,0.00,0.00,0.00,0.00,0.00,56.00,32164.60,0.00,25706.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.60,6810.00
17:35:37,22.78,0.00,1.63,0.00,0.00,75.59,1.60,0.00,116.80,73.00,0.00,1.50,1.50,0.24,1.60,0.00,1.60,0.00,116.80,4,957,2.28,2.45,2.11,2,9659612,6771716,41.21,112828,3493696,6307828,38.39,3767500,2761984,984,lo,86.00,86.00,17.56,17.56,0.00,0.00,0.00,0.00,0.00,57.60,33550.20,0.00,39621.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,6008.40
17:35:42,24.41,0.00,1.68,0.00,0.00,73.91,19.00,0.00,510.40,26.86,0.01,0.38,0.17,0.32,18.80,0.00,18.80,0.00,510.40,11,960,2.09,2.41,2.10,5,9566200,6865128,41.78,112840,3493836,6331704,38.53,3862364,2762040,336,lo,66.00,66.00,12.57,12.57,0.00,0.00,0.00,0.00,0.00,255.20,30592.00,0.00,25509.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.40,6514.60
17:35:47,23.57,0.00,1.56,0.03,0.00,74.84,3.80,1.60,44.80,12.21,0.00,0.42,0.63,0.24,4.00,0.20,3.80,1.60,129.60,4,981,2.01,2.38,2.09,2,9511884,6919444,42.11,112852,3494076,6575844,40.02,3914492,2762172,808,lo,96.40,96.40,19.71,19.71,0.00,0.00,0.00,0.00,0.80,65.60,28876.20,0.00,25910.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.40,6776.80
17:35:52,27.17,0.00,1.38,0.03,0.00,71.42,23.00,3.20,510.40,22.33,0.00,0.10,0.07,0.16,22.80,0.40,22.40,3.20,424.00,5,960,1.85,2.34,2.08,0,9554276,6877052,41.85,112864,3494152,6330928,38.53,3873244,2762096,384,lo,92.20,92.20,19.24,19.24,0.00,0.00,0.00,0.00,1.60,212.00,21219.40,0.00,23007.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.20,7305.20
17:35:57,26.73,0.00,1.43,0.00,0.00,71.85,5.80,0.00,51.20,8.83,0.00,0.14,0.28,0.16,6.00,0.00,6.00,0.00,136.00,4,982,1.86,2.34,2.08,2,9498676,6932652,42.19,112872,3494424,6563856,39.95,3927276,2762240,912,lo,126.00,126.00,26.43,26.43,0.00,0.00,0.00,0.00,0.00,68.00,19197.40,0.00,16223.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,7024.60
17:36:02,21.78,0.00,1.23,0.05,0.00,76.94,33.80,0.00,510.40,15.10,0.02,0.47,0.28,0.96,33.60,0.00,33.60,0.00,425.60,1,876,1.95,2.35,2.09,2,9659072,6772256,41.22,112880,3494704,6028984,36.69,3765604,2762348,608,lo,132.80,132.80,129.69,129.69,0.00,0.00,0.00,0.00,0.00,260.80,15112.60,0.00,23384.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,5156.40
17:36:07,1.33,0.00,0.13,0.05,0.00,98.50,8.60,0.00,132.80,15.44,0.00,0.47,0.47,0.40,8.80,0.00,8.80,0.00,195.20,1,868,1.79,2.31,2.07,2,9657684,6773644,41.22,112884,3494460,6028984,36.69,3768344,2762188,1192,lo,50.80,50.80,80.39,80.39,0.00,0.00,0.00,0.00,0.00,49.60,296.60,0.00,184.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,1749.60
