timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:14:23,21.70,0.00,1.33,0.00,0.00,76.97,20.00,0.00,8291.20,414.56,0.02,1.08,0.40,0.80,20.00,0.00,20.00,0.00,8291.20,2,853,2.49,1.76,0.93,2,11755252,4676076,28.46,46492,2210692,5268420,32.06,2589916,1894096,317108,lo,551.00,551.00,16071.73,16071.73,0.00,0.00,0.00,0.00,0.00,93.60,26623.60,0.00,51305.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.20,5684.40
21:14:28,27.28,0.00,1.35,0.08,0.00,71.29,4.60,0.00,152.00,33.04,0.00,0.52,0.52,0.24,4.60,0.00,4.60,0.00,152.00,6,814,2.45,1.76,0.93,1,11897480,4533848,27.59,46504,1603720,5991040,36.46,3049568,1304368,3464,lo,322.60,322.60,9934.84,9934.84,0.00,0.00,0.00,0.00,0.00,106.40,26032.20,0.00,33341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.60,4897.20
21:14:33,17.60,0.00,0.90,0.00,0.00,81.50,13.80,0.00,196.80,14.26,0.00,0.29,0.29,0.40,13.80,0.00,13.80,0.00,196.80,2,912,2.25,1.73,0.93,2,11779440,4651888,28.31,46516,1644532,6267556,38.14,3164292,1304456,44288,lo,135.00,135.00,332.42,332.42,0.00,0.00,0.00,0.00,0.00,68.80,18764.00,0.00,14722.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.20,5141.00
21:14:38,23.16,0.00,1.15,0.00,0.00,75.69,2.60,0.00,200.00,76.92,0.00,0.31,0.31,0.08,2.80,0.00,2.80,0.00,283.20,6,938,2.31,1.75,0.94,2,11548756,4882572,29.72,46536,1692664,6316328,38.44,3393792,1304568,92456,lo,262.60,262.60,7899.56,7899.56,0.00,0.00,0.00,0.00,0.00,69.60,22105.40,0.00,13007.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.40,4712.60
21:14:43,22.66,0.00,1.28,0.00,0.00,76.06,2.80,0.00,224.00,80.00,0.00,0.29,0.29,0.08,2.60,0.00,2.60,0.00,140.80,4,944,2.21,1.74,0.94,0,11584188,4847140,29.50,46540,1766652,6253680,38.06,3356824,1304580,165644,lo,474.00,474.00,15784.53,15784.53,0.00,0.00,0.00,0.00,0.00,175.20,20747.20,0.00,26063.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,5528.40
21:14:48,21.21,0.00,1.35,0.00,0.00,77.44,15.00,0.00,265.60,17.71,0.01,0.69,0.16,0.24,15.20,0.00,15.20,0.00,348.80,5,943,2.21,1.74,0.94,2,11565012,4866316,29.62,46552,1847824,6297608,38.33,3372328,1304476,246936,lo,261.00,261.00,7898.35,7898.35,0.00,0.00,0.00,0.00,0.00,87.20,22977.40,0.00,26064.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,5122.20
21:14:53,22.48,0.00,1.28,0.00,0.00,76.25,1.80,0.00,172.80,96.00,0.00,0.89,0.89,0.16,1.60,0.00,1.60,0.00,89.60,7,936,2.11,1.73,0.94,5,11330460,5100868,31.04,46572,1897556,6314736,38.43,3605668,1304588,296608,lo,472.40,472.40,15786.91,15786.91,0.00,0.00,0.00,0.00,0.00,72.00,22192.60,0.00,13000.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,4706.40
21:14:58,25.02,0.00,1.55,0.02,0.00,73.40,1.80,0.00,230.40,128.00,0.00,1.33,1.33,0.24,1.80,0.00,1.80,0.00,230.40,3,948,2.02,1.72,0.94,0,11355632,5075696,30.89,46576,1968724,6273460,38.18,3501472,1382512,324852,lo,469.80,469.80,15784.10,15784.10,0.00,0.00,0.00,0.00,0.00,8626.40,17006.80,0.00,24755.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,7345.40
21:15:03,23.53,0.00,1.95,0.00,0.00,74.52,18.60,0.00,17252.80,927.57,0.05,2.45,0.43,0.80,18.60,0.00,18.60,0.00,17252.80,9,945,1.94,1.70,0.94,0,11351660,5079668,30.91,46600,2047736,6282084,38.23,3347768,1538740,322240,lo,504.20,504.20,16048.05,16048.05,0.00,0.00,0.00,0.00,0.00,16430.40,16515.80,0.00,26458.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,8269.20
21:15:08,26.97,0.00,1.78,0.00,0.00,71.25,22.80,0.00,32860.80,1441.26,0.09,4.14,0.60,1.36,22.80,0.00,22.80,0.00,32860.80,6,937,1.94,1.71,0.95,0,11120144,5311184,32.32,46640,2157568,6270424,38.16,3428712,1684844,327388,lo,976.60,976.60,32188.44,32188.44,0.00,0.00,0.00,0.00,0.00,22400.80,14999.00,0.00,13550.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,7903.00
21:15:13,22.44,0.00,1.48,0.03,0.00,76.05,29.40,0.00,44801.60,1523.86,0.18,6.12,0.65,1.92,29.40,0.00,29.40,0.00,44801.60,3,954,1.87,1.70,0.95,0,11153920,5277408,32.12,46680,2151800,6268264,38.15,3324136,1758096,288372,lo,954.40,954.40,31618.34,31618.34,0.00,0.00,0.00,0.00,0.00,8253.60,15848.20,0.00,22645.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,7173.40
21:15:18,20.12,0.00,1.85,0.05,0.00,77.98,13.20,0.00,16507.20,1250.55,0.03,2.61,0.55,0.72,13.20,0.00,13.20,0.00,16507.20,5,943,1.96,1.72,0.96,0,11216836,5214492,31.74,46720,2216948,6018620,36.63,3115304,1899784,315768,lo,523.40,523.40,16494.03,16494.03,0.00,0.00,0.00,0.00,0.00,10348.80,11989.00,0.00,25732.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,7512.00
21:15:23,14.73,0.00,1.08,0.00,0.00,84.19,40.60,0.00,20590.40,507.15,0.08,2.03,0.39,1.60,41.00,0.00,41.00,0.00,20593.60,1,898,1.96,1.72,0.97,2,11382636,5048692,30.73,46748,2215308,5926344,36.07,2957532,1898332,316016,lo,1026.20,1026.20,32038.53,32038.53,0.00,0.00,0.00,0.00,4.00,80.80,23766.00,0.00,30542.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,5054.60
