timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:35:45,32.73,0.00,2.23,0.03,0.00,65.02,17.60,0.00,34876.80,1981.64,0.36,20.27,0.36,0.64,19.00,0.00,19.00,0.00,35051.20,4,792,7.23,6.42,4.60,0,10122804,6308524,38.39,53212,3423364,5934348,36.12,3030048,3040416,672,lo,19.80,19.80,6.78,6.78,0.00,0.00,0.00,0.00,0.00,17525.60,17740.80,0.00,419221.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,6518.20
18:35:50,30.83,0.00,2.01,0.00,0.00,67.16,8.00,0.00,273.60,34.20,0.00,0.30,0.30,0.24,22.40,0.00,22.40,0.00,30969.60,5,882,7.05,6.39,4.60,0,9652448,6778880,41.26,53232,3423468,7131716,43.40,3498104,3040452,688,lo,4236.60,4236.60,153251.24,153251.24,0.00,0.00,0.00,0.00,0.00,15484.80,60568.60,0.00,14062.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.20,14185.80
18:35:55,78.74,0.00,7.19,0.05,0.00,14.02,16.60,0.00,30892.80,1861.01,0.26,15.66,0.53,0.88,0.80,0.00,0.80,0.00,161.60,2,912,7.45,6.49,4.64,0,7420168,9011160,54.84,53240,3896668,8618100,52.45,5320656,3428520,397512,lo,11296.40,11296.40,415683.28,415683.28,0.00,0.00,0.00,0.00,0.00,80.80,120556.60,0.00,32490.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,5821.37
18:36:00,61.31,0.00,7.57,2.05,0.00,29.07,0.40,0.00,158.40,396.00,0.00,0.00,0.00,0.00,62.40,0.00,62.40,0.00,90112.00,5,904,7.65,6.55,4.67,1,4535136,11896192,72.40,53248,4466564,10769128,65.54,8234244,3383144,746256,lo,111.00,111.00,54.27,54.27,0.00,0.00,0.00,0.00,0.00,45056.00,97370.40,0.00,29437.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3311.20
18:36:05,66.69,0.00,0.66,1.94,0.00,30.70,62.40,0.00,90112.00,1444.10,22.34,358.00,2.87,17.92,29.40,0.00,29.40,0.00,44008.00,8,903,7.76,6.59,4.69,0,4099916,12331412,75.05,53256,4470852,11184024,68.07,8940088,3117032,747192,lo,4.80,4.80,0.63,0.63,0.00,0.00,0.00,0.00,0.00,67507.20,2304.80,0.00,72.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3063.60
18:36:10,59.40,0.00,0.68,2.90,0.00,37.01,102.00,0.00,182304.00,1787.29,69.72,683.51,5.90,60.16,73.00,0.00,73.00,0.00,138336.00,8,902,7.46,6.54,4.69,0,4072124,12359204,75.22,53264,4482656,11184024,68.07,8964768,3118400,303644,lo,221.40,221.40,158.71,158.71,0.00,0.00,0.00,0.00,0.00,23664.80,1218.00,0.00,17677.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3688.60
18:36:15,91.46,0.00,0.53,0.00,0.00,8.01,0.40,0.00,40.00,100.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,176.00,8,902,7.50,6.57,4.71,0,4313440,12117888,73.75,53268,4542520,10870880,66.16,8719628,3118376,363692,lo,269.20,269.20,204.40,204.40,0.00,0.00,0.00,0.00,0.00,88.00,950.20,0.00,3424.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3692.80
18:36:20,91.37,0.00,0.38,0.00,0.00,8.25,0.40,0.00,176.00,440.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,161.60,8,902,7.46,6.58,4.72,0,4227652,12203676,74.27,53276,4600076,10893876,66.30,8806528,3117408,421296,lo,340.00,340.00,224.83,224.83,0.00,0.00,0.00,0.00,0.00,80.80,2059.40,0.00,3557.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,3287.60
18:36:25,89.22,0.00,0.55,0.00,0.00,10.23,0.40,0.00,161.60,404.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,150.40,8,903,7.50,6.60,4.74,0,4150544,12280784,74.74,53284,4669964,10893876,66.30,8878932,3118276,491232,lo,311.00,311.00,254.99,254.99,0.00,0.00,0.00,0.00,0.00,75.20,461.00,0.00,3677.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3538.40
18:36:30,88.98,0.00,0.73,0.00,0.00,10.30,0.40,0.00,150.40,376.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,155.20,8,903,7.54,6.62,4.76,0,4060856,12370472,75.29,53292,4730892,10872760,66.17,8970860,3118592,552188,lo,323.80,323.80,233.55,233.55,0.00,0.00,0.00,0.00,0.00,77.60,1895.20,0.00,3318.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2637.20
18:36:35,81.83,0.00,1.40,0.43,0.00,16.34,53.00,0.00,97427.20,1838.25,34.81,447.44,7.23,38.32,64.20,0.00,64.20,0.00,116878.40,8,902,7.42,6.61,4.76,0,4006192,12425136,75.62,53300,4777572,10872760,66.17,9022204,3117420,307252,lo,263.60,263.60,231.11,231.11,0.00,0.00,0.00,0.00,0.00,58439.20,399.00,0.00,3066.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3020.60
18:36:40,89.77,0.00,0.60,0.00,0.00,9.63,15.40,0.00,19732.80,1281.35,0.16,730.29,0.26,0.40,4.40,0.00,4.40,0.00,289.60,9,902,7.47,6.64,4.78,0,3930708,12500620,76.08,53308,4848400,10872760,66.17,9094136,3119132,377844,lo,264.20,264.20,238.57,238.57,0.00,0.00,0.00,0.00,0.00,144.80,392.40,0.00,3152.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2738.20
18:36:45,87.26,0.00,0.63,0.00,0.00,12.12,14.40,0.00,19704.00,1368.33,0.14,9.72,0.33,0.48,14.20,0.00,14.20,0.00,19712.00,8,902,7.51,6.66,4.80,0,3836424,12594904,76.65,53316,4904112,10872760,66.17,9187976,3119856,384796,lo,343.60,343.60,250.36,250.36,0.00,0.00,0.00,0.00,0.00,9856.00,4278.60,0.00,2987.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,5340.20
18:36:50,90.34,0.00,1.73,0.00,0.00,7.93,13.60,0.00,22905.60,1684.24,0.19,14.29,0.53,0.72,13.80,0.00,13.80,0.00,22905.60,10,906,7.39,6.65,4.80,0,4187840,12243488,74.51,53324,4941692,10504532,63.93,8833092,3117452,365608,lo,7231.60,7231.60,259736.41,259736.41,0.00,0.00,0.00,0.00,0.00,11452.80,587.60,0.00,33119.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,5573.40
18:36:55,93.87,0.00,3.03,0.08,0.00,3.03,16.60,0.00,28280.00,1703.61,0.26,15.76,0.43,0.72,16.40,0.00,16.40,0.00,28272.00,8,905,7.60,6.70,4.83,0,4000444,12430884,75.65,53328,5345196,10377580,63.16,8635952,3494356,698888,lo,4572.40,4572.40,167442.74,167442.74,0.00,0.00,0.00,0.00,0.00,14136.00,27804.00,0.00,23070.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1989.80
18:37:00,91.92,0.00,1.08,0.00,0.00,7.01,14.40,0.00,24252.80,1684.22,0.22,15.28,0.39,0.56,14.40,0.00,14.40,0.00,24238.40,2,897,7.63,6.72,4.85,0,3313620,13117708,79.83,53336,5482884,10916152,66.43,9253500,3559944,776392,lo,29.00,29.00,26.13,26.13,0.00,0.00,0.00,0.00,0.00,12119.20,5525.60,0.00,7495.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1823.80
18:37:05,86.35,0.00,2.80,0.05,0.00,10.79,56.80,0.00,78366.40,1379.69,24.58,432.83,3.46,19.68,112.40,0.00,112.40,0.00,170184.00,8,896,7.50,6.71,4.86,1,2869644,13561684,82.54,53344,5795780,10953128,66.66,9587376,3664232,683988,lo,7.19,7.19,0.85,0.85,0.00,0.00,0.00,0.00,0.00,131757.60,2610.40,0.00,149.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1747.20
18:37:10,78.58,0.00,3.76,1.17,0.00,16.49,150.20,0.00,244065.60,1624.94,92.46,532.66,5.51,82.72,106.60,0.00,106.60,0.00,176889.60,8,896,7.54,6.73,4.87,0,2390488,14040840,85.45,53348,6258592,11084680,67.46,9712952,4006056,685252,lo,5.80,5.80,3.06,3.06,0.00,0.00,0.00,0.00,0.00,41779.20,279.40,0.00,43.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1584.80
18:37:15,83.15,0.00,2.92,2.03,0.00,11.90,23.00,0.00,38763.20,1685.36,0.93,556.87,0.49,1.12,81.40,0.00,81.40,0.00,147360.00,2,896,7.58,6.76,4.89,2,2206500,14224828,86.57,53348,6447860,11262916,68.55,10088236,3811000,504292,lo,8.20,8.20,5.28,5.28,0.00,0.00,0.00,0.00,0.00,76343.20,5750.20,0.00,43254.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1938.20
18:37:20,81.28,0.00,1.38,0.00,0.00,17.34,73.60,0.00,138713.60,1884.70,28.98,401.50,5.52,40.64,4.80,0.00,4.80,0.00,5465.60,8,896,7.61,6.78,4.91,0,2846952,13584376,82.67,53360,5896052,10860632,66.10,9608344,3664292,268740,lo,18.80,18.80,15.52,15.52,0.00,0.00,0.00,0.00,0.00,69.60,12113.20,0.00,25718.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,1455.20
18:37:25,76.47,0.00,0.15,0.03,0.00,23.35,2.00,0.00,139.20,69.60,0.00,0.40,0.40,0.08,0.60,0.00,0.60,0.00,25.60,8,897,7.08,6.68,4.89,0,2861072,13570256,82.59,53368,5907840,11256348,68.51,9601632,3656564,280548,lo,6.80,6.80,1.02,1.02,0.00,0.00,0.00,0.00,0.00,12.80,716.60,0.00,310.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1665.40
18:37:30,83.75,0.00,0.67,0.00,0.00,15.57,0.60,0.00,25.60,42.67,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,60.80,8,897,7.16,6.70,4.90,0,2460856,13970472,85.02,53376,6049540,11252648,68.48,9964964,3690500,422320,lo,4.80,4.80,2.65,2.65,0.00,0.00,0.00,0.00,0.00,30.40,13464.00,0.00,443.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1674.00
18:37:35,69.38,0.00,0.20,0.00,0.00,30.42,0.40,0.00,60.80,152.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,38.40,1,896,7.22,6.72,4.92,0,2364220,14067108,85.61,53380,6158704,11230076,68.35,9995152,3753592,531516,lo,4.80,4.80,0.63,0.63,0.00,0.00,0.00,0.00,0.00,19.20,18.40,0.00,3736.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1500.40
