timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:31:01,22.69,0.00,1.25,1.55,0.00,74.51,458.60,13006.40,180.80,28.76,0.16,0.35,0.30,13.76,453.80,451.60,2.20,12940.80,180.80,3,932,6.88,6.93,6.26,0,4987656,11443672,69.65,38488,8256632,6323632,38.49,7294620,3890704,680,lo,15.60,15.60,3.06,3.06,0.00,0.00,0.00,0.00,6783.20,90.40,33043.00,18.40,16941.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,9174.40
11:31:06,52.00,0.00,4.35,1.73,0.00,41.92,174.80,29161.60,30779.20,342.91,5.49,31.40,0.86,15.12,179.60,146.60,33.00,29227.20,30779.20,13,957,6.41,6.83,6.23,1,2719880,13711448,83.45,38492,8483028,8396792,51.10,9408400,4037016,77304,lo,15207.20,15207.20,505410.38,505410.38,0.00,0.00,0.00,0.00,14636.00,15389.60,98192.20,0.20,6796.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,12915.00
11:31:11,75.45,0.00,6.73,0.03,0.00,17.79,5.00,72.00,67.20,27.84,0.00,0.48,0.32,0.16,5.00,4.40,0.60,72.00,67.20,8,956,6.70,6.88,6.25,1,2462168,13969160,85.02,38496,8539732,8394484,51.09,9617608,4086512,133832,lo,42750.60,42750.60,1398056.34,1398056.34,0.00,0.00,0.00,0.00,36.00,33.60,20266.20,0.00,5362.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.40,13731.60
11:31:16,86.54,0.00,5.07,0.00,0.00,8.39,0.40,0.00,99.20,248.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,99.20,2,954,6.88,6.92,6.27,1,2242256,14189072,86.35,38500,8751620,8399908,51.12,9651904,4271428,345872,lo,38033.00,38033.00,1273328.78,1273328.78,0.00,0.00,0.00,0.00,0.00,49.60,2531.80,0.00,4654.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.80,12026.20
11:31:21,72.67,0.00,3.82,0.00,0.00,23.50,14.00,72.00,251.20,23.09,0.00,0.29,0.29,0.40,14.00,4.20,9.80,72.00,251.20,12,971,6.49,6.83,6.24,1,2336972,14094356,85.78,38508,8485200,8531932,51.92,9789076,4038780,78624,lo,21986.40,21986.40,748857.51,748857.51,0.00,0.00,0.00,0.00,36.00,125.60,10215.20,0.00,21442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.20,14511.80
11:31:26,79.19,0.00,3.71,0.00,0.00,17.11,0.80,0.00,139.20,174.00,0.00,2.00,1.00,0.08,0.60,0.00,0.60,0.00,128.00,5,967,6.13,6.75,6.22,0,2342740,14088588,85.74,38516,8485260,8543584,52.00,9782864,4038780,79024,lo,27110.40,27110.40,931235.32,931235.32,0.00,0.00,0.00,0.00,0.00,64.00,1646.40,0.00,4654.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,11462.20
11:31:31,73.85,0.00,3.04,0.20,0.00,22.92,68.00,1436.80,152.00,23.36,0.03,0.45,0.28,1.92,67.60,66.40,1.20,1436.80,32.00,8,967,6.28,6.77,6.23,0,2170096,14261232,86.79,38524,8646796,8539388,51.97,9813268,4180768,236944,lo,16908.00,16908.00,578925.29,578925.29,0.00,0.00,0.00,0.00,718.40,16.00,598.40,0.00,1920.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,12658.00
11:31:36,81.62,0.00,3.78,0.03,0.00,14.58,33.00,0.00,30889.60,936.05,0.50,15.25,0.19,0.64,33.00,0.00,33.00,0.00,30916.80,8,968,6.42,6.79,6.24,1,1968648,14462680,88.02,38536,8851368,8546756,52.02,9835012,4359824,364748,lo,23147.20,23147.20,794976.04,794976.04,0.00,0.00,0.00,0.00,0.00,15458.40,3281.40,0.00,4698.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.60,11569.80
11:31:41,73.58,0.00,3.48,0.03,0.00,22.91,17.00,840.00,67.20,53.36,0.02,1.08,0.42,0.72,17.40,16.20,1.20,840.00,169.60,8,970,6.23,6.75,6.23,4,1606992,14824336,90.22,38544,9054636,8877480,54.03,10412412,4143864,565788,lo,16997.20,16997.20,582682.24,582682.24,0.00,0.00,0.00,0.00,420.00,84.80,9106.40,5.00,6935.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,11398.00
11:31:46,82.16,0.00,3.60,0.00,0.00,14.24,1.20,49.60,222.40,226.67,0.00,2.00,1.33,0.16,1.00,0.40,0.60,49.60,132.80,8,968,6.37,6.77,6.24,0,1405512,15025816,91.45,38548,9237892,8872616,54.00,10451244,4304320,748988,lo,22938.20,22938.20,782412.79,782412.79,0.00,0.00,0.00,0.00,24.80,66.40,2334.00,0.40,3066.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.20,12195.20
11:31:51,73.48,0.00,3.67,0.00,0.00,22.84,0.40,0.00,19.20,48.00,0.00,0.00,2.00,0.08,0.80,0.00,0.80,0.00,110.40,8,970,6.50,6.79,6.25,3,1506464,14924864,90.83,38556,9019600,9011924,54.85,10543804,4111924,530660,lo,17685.00,17685.00,602855.05,602855.05,0.00,0.00,0.00,0.00,0.00,55.20,6624.60,0.00,28995.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,10950.40
11:31:56,80.95,0.00,3.89,0.00,0.00,15.16,12.60,0.00,339.20,26.92,0.00,0.19,0.13,0.16,12.60,0.00,12.60,0.00,339.20,8,968,6.62,6.81,6.26,1,1299172,15132156,92.09,38564,9209832,9026596,54.94,10582276,4279628,720372,lo,23111.00,23111.00,797447.18,797447.18,0.00,0.00,0.00,0.00,0.00,169.60,2179.20,0.00,3429.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.20,12185.80
11:32:01,77.63,0.00,3.77,0.00,0.00,18.60,14.80,1.60,25467.20,1720.86,0.23,15.62,0.32,0.48,14.80,0.20,14.60,1.60,25467.20,8,960,6.81,6.85,6.27,4,1003732,15427596,93.89,38572,9394256,9031640,54.97,11112992,4045164,841672,lo,19950.40,19950.40,684029.98,684029.98,0.00,0.00,0.00,0.00,0.00,12733.60,951.00,0.00,5477.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,11302.00
11:32:06,72.04,0.00,5.04,0.03,0.00,22.90,44.40,0.00,76323.20,1718.99,15.66,352.67,3.28,14.56,44.40,0.00,44.40,0.00,76323.20,8,962,7.07,6.90,6.29,0,784100,15647228,95.23,38580,9597372,9015864,54.87,11152824,4224128,854484,lo,21330.40,21330.40,727527.14,727527.14,0.00,0.00,0.00,0.00,0.80,38161.60,7254.40,0.00,3667.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,10528.40
11:32:11,76.60,0.00,4.61,0.00,0.00,18.79,43.80,0.00,79016.00,1804.02,15.68,357.88,3.16,13.84,43.80,0.00,43.80,0.00,79016.00,9,962,6.58,6.80,6.26,1,594884,15836444,96.38,38588,9780684,9013736,54.86,11179656,4384568,840628,lo,19846.20,19846.20,680062.97,680062.97,0.00,0.00,0.00,0.00,0.00,39508.00,1100.00,0.00,2826.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.20,10275.60
11:32:16,73.71,0.00,3.74,0.00,0.00,22.55,1.00,0.00,182.40,182.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,182.40,8,962,6.69,6.82,6.27,3,808468,15622860,95.08,38596,9539836,9108792,55.44,11178860,4173556,599624,lo,20011.40,20011.40,685896.68,685896.68,0.00,0.00,0.00,0.00,0.00,91.20,2672.00,0.00,29128.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.80,12398.20
