timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:33:01,36.24,0.00,6.12,5.82,0.00,51.81,921.20,10008.00,64.00,10.93,0.23,0.25,0.13,12.24,919.36,906.19,13.17,9988.02,63.87,6,709,1.66,2.05,2.46,0,1423388,2622428,64.82,22756,403636,3920788,96.91,2155468,342832,9636,lo,177.84,177.84,2909.09,2909.09,0.00,0.00,0.00,0.00,5004.00,1709.60,7274.80,18.80,52002.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,3535.60
14:33:06,52.35,0.00,10.09,0.30,0.00,37.26,281.00,12763.20,43337.60,199.65,1.05,3.72,0.31,8.64,281.00,58.00,223.00,12763.20,43337.60,5,678,1.77,2.07,2.46,2,1314028,2731788,67.52,22916,571320,3624088,89.58,2103680,455228,102312,lo,23.40,23.40,15.89,15.89,0.00,0.00,0.00,0.00,6381.60,22975.20,22656.40,0.20,32193.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,2659.20
14:33:11,41.94,0.00,4.94,4.54,0.00,48.59,560.40,652.80,36836.80,66.90,1.02,1.82,0.23,12.72,560.40,47.00,513.40,652.80,36836.80,7,684,1.79,2.07,2.46,0,1274408,2771408,68.50,22932,575652,3658296,90.42,2141140,457148,45944,lo,1145.40,1145.40,153.83,153.83,0.00,0.00,0.00,0.00,326.40,16127.20,4021.80,0.00,4377.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,206.80,10451.00
14:33:16,78.91,0.00,6.05,5.15,0.00,9.89,247.80,1955.20,50139.20,210.23,6.51,3.92,0.55,13.68,247.80,102.40,145.40,1955.20,50139.20,1,770,1.89,2.08,2.46,2,939524,3106292,76.78,23768,605408,4155896,102.72,2476232,467544,128,lo,725.80,725.80,20871.23,20871.23,0.00,0.00,0.00,0.00,980.80,29908.00,17895.00,1.20,9023.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3286.80
14:33:21,73.27,0.00,4.30,4.00,0.00,18.42,24.60,150.40,12089.60,497.56,5.22,437.82,3.58,8.80,24.60,8.00,16.60,150.40,12089.60,4,834,1.90,2.08,2.46,2,379276,3666540,90.63,23808,636960,4950288,122.36,3003108,496564,33880,lo,250.80,250.80,6077.72,6077.72,0.00,0.00,0.00,0.00,72.00,566.40,28264.00,0.00,2417.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,7028.60
14:33:26,78.61,0.00,7.83,0.00,0.00,13.55,93.40,99.20,107174.40,1148.54,1.30,13.92,0.26,2.40,94.00,1.00,93.00,99.20,107179.20,5,834,1.98,2.10,2.46,6,109376,3936440,97.30,23832,894100,4945256,122.23,3024112,738360,24128,lo,1849.40,1849.40,51333.59,51333.59,0.00,0.00,0.00,0.00,49.60,53607.20,30023.80,0.40,37787.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.91,12979.42
14:33:31,71.59,0.00,7.83,0.20,0.00,20.38,139.40,739.20,77905.60,564.17,5.13,36.81,0.39,5.44,140.20,68.60,71.60,739.20,77912.00,2,795,2.07,2.11,2.47,0,449672,3596144,88.89,24912,951696,4454212,110.09,2633456,792436,62432,lo,1602.60,1602.60,46136.82,46136.82,0.00,0.00,0.00,0.00,369.60,38959.20,23718.60,2.00,59511.20,131.20,0.00,129.80,98.93,0.00,0.00,0,0,0.00,0,0.00,25.77,7421.24
14:33:36,86.06,0.00,8.63,0.10,0.00,5.22,89.40,4.80,89769.60,1004.19,1.52,16.98,0.24,2.16,89.40,0.60,88.80,4.80,89899.20,7,821,2.30,2.16,2.48,1,150488,3895328,96.28,24880,1082956,4692536,115.98,2827116,911988,104788,lo,2087.80,2087.80,52535.01,52535.01,0.00,0.00,0.00,0.00,2.40,44881.60,39122.80,0.00,47504.80,82.00,0.00,82.00,100.00,0.00,0.00,0,0,0.00,0,0.00,27.60,11404.00
14:33:41,82.58,0.00,10.31,1.60,0.00,5.51,143.40,448.00,140051.20,979.77,2.78,19.39,0.52,7.44,143.80,4.60,139.20,448.00,139931.20,2,789,2.44,2.19,2.49,2,543108,3502708,86.58,23504,966980,4317272,106.71,2579984,794852,10264,lo,1888.80,1888.80,51024.94,51024.94,0.00,0.00,0.00,0.00,224.00,70024.80,31729.40,2.20,72114.60,13310.40,0.00,13304.80,99.96,0.00,0.00,0,0,0.00,0,0.00,25.20,9480.40
14:33:46,87.70,0.00,8.57,0.00,0.00,3.73,43.40,51.20,42400.00,978.14,0.64,14.71,0.37,1.60,43.60,1.80,41.80,51.20,42523.20,6,806,2.56,2.22,2.50,0,387400,3658416,90.42,22924,1064224,4457496,110.18,2643892,884584,113268,lo,1479.00,1479.00,41404.01,41404.01,0.00,0.00,0.00,0.00,25.60,21196.80,34134.20,0.40,42690.60,5566.60,0.00,5562.60,99.93,0.00,0.00,0,0,0.00,0,0.00,26.40,10309.20
