timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:35:03,65.45,0.00,3.84,0.20,0.00,30.51,34.20,476.80,297.60,22.64,0.01,0.30,0.23,0.80,35.60,31.20,4.40,476.80,193.60,2,709,2.52,2.39,2.21,0,1157040,2888776,71.40,5664,784292,3762560,93.00,2129368,631972,1820,lo,22.40,22.40,3.77,3.77,0.00,0.00,0.00,0.00,238.40,87.20,23491.00,3.80,56185.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.60,3431.80
11:35:08,72.13,0.00,3.22,0.20,0.00,24.45,13.40,3.20,209.60,15.88,0.00,0.36,0.36,0.48,13.40,0.40,13.00,3.20,184.00,1,800,2.48,2.38,2.21,0,1098200,2947616,72.86,5712,503724,4248700,105.01,2465752,351572,3280,lo,108.40,108.40,252.88,252.88,0.00,0.00,0.00,0.00,1.60,104.80,18999.00,0.00,16175.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.80,3131.80
11:35:13,74.17,0.00,3.80,0.00,0.00,22.02,0.80,0.00,78.40,98.00,0.00,1.00,1.00,0.08,0.80,0.00,0.80,0.00,160.00,4,853,2.60,2.41,2.22,0,585852,3459964,85.52,5732,507240,4821040,119.16,2974608,351936,6972,lo,484.60,484.60,16202.91,16202.91,0.00,0.00,0.00,0.00,0.00,39.20,26716.40,0.00,1103.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.20,4176.80
11:35:18,79.38,0.00,5.63,0.00,0.00,14.99,63.40,0.00,48427.20,763.84,0.66,10.47,0.23,1.44,61.00,0.00,61.00,0.00,48313.60,4,839,2.96,2.48,2.25,0,802412,3243404,80.17,5744,622776,4532908,112.04,2758604,351852,2204,lo,293.60,293.60,8114.64,8114.64,0.00,0.00,0.00,0.00,0.00,24213.60,22928.80,0.00,39271.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.60,4598.40
11:35:23,90.66,0.00,5.52,0.00,0.00,3.82,1.60,30.40,107.20,86.00,0.00,1.00,1.00,0.16,4.00,0.60,3.40,30.40,204.80,4,847,2.88,2.47,2.24,0,573940,3471876,85.81,5756,701936,4672884,115.50,2986700,351920,81748,lo,724.20,724.20,24305.59,24305.59,0.00,0.00,0.00,0.00,15.20,53.60,33082.40,0.20,25646.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,4813.80
11:35:28,71.36,0.00,5.03,0.00,0.00,23.62,46.80,1.60,48227.20,1030.53,0.58,12.29,0.32,1.52,45.60,0.20,45.40,1.60,48299.20,2,850,2.65,2.43,2.23,0,589476,3456340,85.43,5772,774624,4602996,113.77,2942524,380248,40740,lo,457.20,457.20,15071.83,15071.83,0.00,0.00,0.00,0.00,0.80,24104.80,21260.40,0.00,26016.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,3544.00
11:35:33,80.34,0.00,5.95,0.10,0.00,13.61,52.40,3.20,54033.60,1031.24,3.52,67.25,3.28,17.20,53.40,0.40,53.00,3.20,54049.60,3,847,2.68,2.44,2.24,0,492544,3553272,87.83,5788,893352,4548164,112.42,2958004,462148,65940,lo,763.20,763.20,25158.87,25158.87,0.00,0.00,0.00,0.00,1.60,27024.80,20355.20,0.00,24415.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,5249.00
11:35:38,91.04,0.00,6.95,0.00,0.00,2.01,52.20,0.00,50561.60,968.61,1.79,34.36,2.64,13.76,50.00,0.00,50.00,0.00,50539.20,3,845,2.70,2.45,2.24,0,417072,3628744,89.69,5800,968292,4551836,112.51,2845972,649056,62392,lo,1287.20,1287.20,40270.47,40270.47,0.00,0.00,0.00,0.00,0.00,25270.40,16300.80,0.00,25976.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,8468.80
11:35:43,89.66,0.00,6.53,0.00,0.00,3.82,45.20,6.40,48579.20,1074.90,0.66,14.55,0.28,1.28,46.40,0.80,45.60,6.40,48585.60,3,818,2.65,2.44,2.24,0,496092,3549724,87.74,5820,1030244,4381788,108.30,2631904,785632,62732,lo,962.00,962.00,32093.30,32093.30,0.00,0.00,0.00,0.00,3.20,24291.20,16562.60,0.00,30357.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,7223.20
11:35:48,73.21,0.00,5.24,0.20,0.00,21.35,64.20,4.80,49313.60,768.20,0.76,11.86,0.24,1.52,64.20,0.40,63.80,3.20,49321.60,0,786,2.43,2.40,2.23,0,477096,3568720,88.21,5840,1106136,4253684,105.14,2501056,935420,60216,lo,989.20,989.20,31908.16,31908.16,0.00,0.00,0.00,0.00,2.40,24660.80,12727.60,0.00,21886.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,7130.60
