timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:39:26,2.72,0.00,0.40,0.40,0.00,96.48,65.00,1248.00,7520.00,134.89,0.12,1.82,0.15,0.96,65.00,46.20,18.80,1248.00,7520.00,0,707,2.58,2.76,2.72,0,1041108,3004708,74.27,5936,771208,3948660,97.60,2299192,579516,11176,lo,21.00,21.00,5.40,5.40,0.00,0.00,0.00,0.00,624.80,3756.80,633.00,6.40,19761.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,1524.00
15:39:31,58.65,0.00,3.42,2.21,0.00,35.71,243.40,3515.20,208.00,15.30,0.13,0.55,0.20,4.96,243.40,240.40,3.00,3515.20,208.00,2,704,2.77,2.79,2.73,0,1253784,2792032,69.01,9872,748564,3683780,91.05,2110972,557732,11516,lo,28.40,28.40,87.86,87.86,0.00,0.00,0.00,0.00,1757.60,70.40,19229.60,7.60,29669.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.60,3538.80
15:39:36,67.87,0.00,3.82,7.23,0.00,21.08,724.20,27432.00,100.80,38.02,0.27,0.37,0.31,22.72,724.20,722.40,1.80,27432.00,100.80,6,756,2.63,2.76,2.72,0,930556,3115260,77.00,10444,806704,4069312,100.58,2390592,599272,1820,lo,13.00,13.00,2.82,2.82,0.00,0.00,0.00,0.00,13688.62,101.40,22228.14,39.52,8650.10,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,4435.20
15:39:41,83.96,0.00,2.12,6.76,0.00,7.16,407.20,3688.00,4900.80,21.09,0.20,0.49,0.45,18.16,408.40,141.60,266.80,3688.00,4918.40,0,767,2.82,2.80,2.74,1,681920,3363896,83.15,12660,819436,4348220,107.47,2633292,604720,2908,lo,21.20,21.20,2.84,2.84,0.00,0.00,0.00,0.00,1844.00,2429.60,12867.60,0.00,1073.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4381.40
15:39:46,71.36,0.00,2.59,5.09,0.00,20.96,431.60,8297.60,1569.60,22.86,0.15,0.36,0.32,13.92,430.40,343.80,86.60,8297.60,1552.00,2,770,2.68,2.77,2.73,0,579588,3466228,85.67,13308,840348,4415336,109.13,2727604,612096,1664,lo,25.20,25.20,3.43,3.43,0.00,0.00,0.00,0.00,4112.80,840.00,4398.20,0.40,406.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4103.80
15:39:51,86.28,0.00,4.84,1.31,0.00,7.57,232.60,45401.60,30803.20,327.62,0.53,2.30,0.44,10.32,232.60,212.20,20.40,45401.60,30803.20,4,781,2.62,2.76,2.72,0,133652,3912164,96.70,13336,1068212,4648908,114.91,3027852,756148,78612,lo,1085.20,1085.20,31475.21,31475.21,0.00,0.00,0.00,0.00,22583.20,15401.60,11066.80,0.00,5110.80,2346.00,0.00,1961.40,83.61,0.00,0.00,0,0,0.00,0,0.00,3.00,5498.40
15:39:56,92.10,0.00,3.65,0.00,0.00,4.26,131.00,62307.20,272.00,477.70,0.12,0.94,0.87,11.44,131.00,127.60,3.40,62307.20,272.00,2,781,2.57,2.75,2.72,0,125120,3920696,96.91,13120,1071852,4648908,114.91,3031368,762112,80860,lo,1390.00,1390.00,42269.97,42269.97,0.00,0.00,0.00,0.00,31000.00,136.00,399.80,0.00,8096.00,9365.80,0.00,7761.60,82.87,0.00,0.00,0,0,0.00,0,0.00,1.40,3139.80
15:40:01,91.58,0.00,3.85,0.00,0.00,4.56,293.40,84534.40,272.00,289.05,0.27,0.93,0.52,15.20,293.40,291.40,2.00,84534.40,272.00,2,783,2.53,2.73,2.71,0,110328,3935488,97.27,12680,1084668,4648908,114.91,3070100,738292,83080,lo,1457.00,1457.00,44783.69,44783.69,0.00,0.00,0.00,0.00,42284.80,90.40,192.40,0.00,10567.00,11469.20,0.00,10066.40,87.77,0.00,0.00,0,0,0.00,0,0.00,1.40,3250.00
15:40:06,91.98,0.00,3.76,0.10,0.00,4.16,770.00,86464.00,168.00,112.51,0.52,0.68,0.16,12.32,770.80,768.80,2.00,86561.60,168.00,2,783,2.48,2.72,2.71,0,107148,3938668,97.35,11836,1086076,4648908,114.91,3056956,754200,85688,lo,1551.20,1551.20,47612.24,47612.24,0.00,0.00,0.00,0.00,43231.20,71.20,174.00,0.00,11390.40,12321.20,0.00,10929.80,88.71,0.00,0.00,0,0,0.00,0,0.00,0.60,3197.40
15:40:11,91.91,0.00,3.79,0.00,0.00,4.30,782.20,86371.20,244.80,110.73,0.72,0.92,0.20,15.36,781.40,779.20,2.20,86273.60,244.80,2,782,2.44,2.71,2.71,0,141460,3904356,96.50,11200,1051160,4648908,114.91,3042072,735196,88012,lo,1535.60,1535.60,47177.00,47177.00,0.00,0.00,0.00,0.00,43136.80,136.00,157.60,0.00,13241.40,14270.00,0.00,12699.40,88.99,0.00,0.00,0,0,0.00,0,0.00,0.60,3208.20
15:40:16,90.82,0.00,4.18,0.10,0.00,4.90,742.80,83046.40,313.60,112.22,0.51,0.69,0.16,12.00,742.80,732.40,10.40,83046.40,313.60,2,782,2.49,2.71,2.71,0,112804,3933012,97.21,10652,1078052,4648908,114.91,3034824,771228,90356,lo,1535.20,1535.20,47112.92,47112.92,0.00,0.00,0.00,0.00,41524.80,160.80,176.60,0.00,9539.80,10391.60,0.00,9198.20,88.52,0.00,0.00,0,0,0.00,0,0.00,0.60,3085.60
15:40:21,91.79,0.00,3.49,0.00,0.00,4.72,766.20,83310.40,30768.00,148.89,0.85,1.11,0.17,13.20,767.20,749.60,17.60,83409.60,30768.00,2,777,2.45,2.70,2.70,0,112252,3933564,97.23,10208,1076408,4648908,114.91,3027544,778944,16296,lo,1534.80,1534.80,46475.60,46475.60,0.00,0.00,0.00,0.00,41655.20,15374.40,200.00,0.00,10999.00,11708.40,0.00,10662.60,91.07,0.00,0.00,0,0,0.00,0,0.00,0.60,3031.00
