timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:16:22,7.08,0.00,0.55,0.00,0.00,92.37,17.20,0.00,30752.00,1787.91,0.30,17.58,0.37,0.64,12.80,0.00,12.80,0.00,249.60,2,740,3.09,3.20,3.11,0,1427212,6747108,82.54,57720,4298820,4451784,54.46,3192420,3304976,10652,lo,6.20,6.20,2.27,2.27,0.00,0.00,0.00,0.00,0.00,124.80,7014.20,0.00,1956.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.40,1576.60
15:16:27,47.46,0.00,2.34,0.05,0.00,50.15,14.20,0.00,220.80,15.55,0.00,0.23,0.23,0.32,4.80,0.00,4.80,0.00,184.00,7,794,3.00,3.18,3.10,0,1079752,7094568,86.79,57728,4298568,4835532,59.16,3536956,3304872,10124,lo,18.20,18.20,3.29,3.29,0.00,0.00,0.00,0.00,0.00,92.00,34221.20,0.00,16904.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,4173.60
15:16:32,58.38,0.00,1.76,3.16,0.00,36.71,295.40,0.00,5697.60,19.29,0.16,0.54,0.50,14.80,318.00,0.00,318.00,0.00,6102.40,2,819,3.00,3.18,3.10,0,830140,7344180,89.84,59852,4292392,5303628,64.88,3790768,3297364,1436,lo,30.20,30.20,3.98,3.98,0.00,0.00,0.00,0.00,0.00,3051.20,13623.60,0.00,1844.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.40,5656.80
15:16:37,56.49,0.00,2.78,0.10,0.00,40.63,71.60,284.80,31481.60,443.66,0.52,7.24,0.38,2.72,46.00,1.00,45.00,284.80,30939.20,4,835,3.16,3.21,3.11,0,403452,7770868,95.06,59980,4446688,5551544,67.91,4141028,3374120,77756,lo,584.80,584.80,20403.38,20403.38,0.00,0.00,0.00,0.00,142.40,15469.60,14204.80,0.00,2886.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.80,7531.20
15:16:42,87.75,0.00,3.18,0.00,0.00,9.08,0.40,0.00,134.40,336.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,134.40,4,840,3.23,3.22,3.12,0,219524,7954796,97.31,59988,4529124,5559740,68.01,4241656,3456264,160436,lo,1515.80,1515.80,47757.98,47757.98,0.00,0.00,0.00,0.00,0.00,67.20,4656.00,0.00,4610.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,5741.40
15:16:47,86.41,0.00,2.83,0.00,0.00,10.76,0.40,0.00,105.60,264.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,129.60,4,838,3.29,3.24,3.12,0,208724,7965596,97.45,59996,4534884,5559740,68.01,4246864,3462040,166240,lo,2578.00,2578.00,81277.19,81277.19,0.00,0.00,0.00,0.00,0.00,64.80,442.60,0.00,594.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,5755.40
15:16:52,85.12,0.00,3.29,0.00,0.00,11.59,1.80,0.00,148.80,82.67,0.00,0.44,0.44,0.08,1.60,0.00,1.60,0.00,134.40,4,838,3.35,3.25,3.13,0,199212,7975108,97.56,60008,4539332,5559740,68.01,4251688,3465984,170688,lo,2730.40,2730.40,84363.91,84363.91,0.00,0.00,0.00,0.00,0.00,67.20,299.40,0.00,501.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,6073.80
15:16:57,84.98,0.00,3.02,0.00,0.00,12.00,1.60,0.00,128.00,80.00,0.00,0.00,0.00,0.00,16.20,0.00,16.20,0.00,396.80,4,838,3.40,3.26,3.13,0,191680,7982640,97.66,60016,4543688,5559740,68.01,4255004,3470304,175052,lo,2752.00,2752.00,83862.63,83862.63,0.00,0.00,0.00,0.00,0.00,198.40,284.80,0.00,491.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,6023.60
15:17:02,82.98,0.00,2.27,0.00,0.00,14.75,17.40,8.00,409.60,24.00,0.00,0.00,0.00,0.00,3.80,0.40,3.40,8.00,356.80,2,837,3.29,3.24,3.12,0,165576,8008744,97.97,60024,4548348,5559740,68.01,4276216,3474624,179008,lo,2507.60,2507.60,77221.41,77221.41,0.00,0.00,0.00,0.00,4.00,178.40,1517.00,0.20,896.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,5748.00
15:17:07,72.76,0.00,2.22,0.00,0.00,25.03,2.80,0.00,342.40,122.29,0.00,0.29,0.29,0.08,33.00,0.00,33.00,0.00,30806.40,4,845,3.50,3.29,3.14,0,135216,8039104,98.35,59904,4472060,5662984,69.28,4539088,3243484,247152,lo,452.40,452.40,9918.95,9918.95,0.00,0.00,0.00,0.00,0.00,15402.40,6641.20,0.00,10802.00,7240.20,0.00,7236.60,99.95,0.00,0.00,0,0,0.00,0,0.00,1.00,4390.00
