timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:01:08,18.26,0.00,1.01,0.00,0.00,80.73,6.00,16.00,176.00,32.00,0.00,0.00,0.00,0.00,6.00,2.00,4.00,16.00,176.00,5,820,1.13,0.56,0.21,0,12913772,3386840,20.78,44640,708416,5999896,36.81,2961292,263116,61720,lo,22.00,22.00,2.31,2.31,0.00,0.00,0.00,0.00,8.00,88.00,23128.00,0.00,279.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4511.00
13:01:09,14.93,0.00,5.14,0.00,0.00,79.92,4.00,8.00,136.00,36.00,0.01,2.00,2.00,0.80,4.00,1.00,3.00,8.00,136.00,7,779,1.36,0.62,0.23,0,13257064,3043548,18.67,44752,754972,5204012,31.93,2564012,308452,108284,lo,23.00,23.00,2.30,2.30,0.00,0.00,0.00,0.00,4.00,68.00,47362.00,0.00,144465.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,70.00,5763.00
13:01:10,10.72,0.00,5.11,0.00,0.00,84.16,7.00,24.00,16.00,5.71,0.01,1.14,1.14,0.80,7.00,3.00,4.00,24.00,16.00,5,782,1.36,0.62,0.23,3,13051964,3248648,19.93,44932,802784,5231192,32.09,2699356,356864,156240,lo,40.00,40.00,54.92,54.92,0.00,0.00,0.00,0.00,12.00,16.00,34023.00,0.00,13668.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2814.00
13:01:11,18.27,0.00,3.13,3.00,0.00,75.59,30.00,0.00,22888.00,762.93,1.12,37.20,1.87,5.60,30.00,0.00,30.00,0.00,22888.00,4,782,1.36,0.62,0.23,0,12929544,3371068,20.68,45044,847792,5290248,32.45,2767388,400556,206152,lo,14.00,14.00,2.22,2.22,0.00,0.00,0.00,0.00,0.00,11436.00,17379.00,0.00,706.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4911.00
13:01:12,15.20,0.00,0.75,0.13,0.00,83.92,27.00,24.00,104.00,4.74,0.02,0.74,0.74,2.00,27.00,3.00,24.00,24.00,104.00,5,788,1.36,0.62,0.23,0,12901948,3398664,20.85,45056,847836,5255648,32.24,2794068,400584,206196,lo,120.00,120.00,14.62,14.62,0.00,0.00,0.00,0.00,12.00,52.00,7054.00,0.00,562.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3675.00
13:01:13,1.88,0.00,0.62,0.50,0.00,97.00,74.00,8.00,656.00,8.97,0.06,0.86,0.86,6.40,74.00,1.00,73.00,8.00,656.00,3,789,1.36,0.62,0.23,0,12900600,3400012,20.86,45068,847944,5263128,32.29,2794580,400668,206140,lo,259.00,259.00,34.17,34.17,0.00,0.00,0.00,0.00,4.00,328.00,2131.00,0.00,1676.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,4866.00
13:01:14,10.41,0.00,1.88,0.00,0.00,87.70,22.00,16.00,88.00,4.73,0.01,0.55,0.55,1.20,22.00,2.00,20.00,16.00,88.00,9,788,1.25,0.61,0.23,0,12843076,3457536,21.21,45076,899668,5263128,32.29,2803076,449568,257996,lo,2339.00,2339.00,51980.12,51980.12,0.00,0.00,0.00,0.00,8.00,44.00,1655.00,0.00,12808.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,9434.00
13:01:15,5.11,0.00,0.50,0.25,0.00,94.15,34.00,16.00,128.00,4.24,0.02,0.47,0.47,1.60,34.00,2.00,32.00,16.00,128.00,6,787,1.25,0.61,0.23,0,12838800,3461812,21.24,45084,899800,5263128,32.29,2806984,449732,258128,lo,112.00,112.00,127.64,127.64,0.00,0.00,0.00,0.00,8.00,1444.00,1294.00,0.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3142.00
13:01:16,13.52,0.00,2.00,0.88,0.00,83.60,19.00,8.00,7784.00,410.11,0.28,14.74,2.11,4.00,19.00,1.00,18.00,8.00,7784.00,6,820,1.25,0.61,0.23,0,12731248,3569364,21.90,45128,951872,5608492,34.41,2862588,498452,312072,lo,1583.00,1583.00,52047.25,52047.25,0.00,0.00,0.00,0.00,4.00,2512.00,19945.00,0.00,6515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,78.00,5314.00
13:01:17,28.14,0.00,2.01,0.00,0.00,69.85,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,4,821,1.25,0.61,0.23,0,12606736,3693876,22.66,45140,935212,5800468,35.58,3002508,482620,312084,lo,18.00,18.00,3.16,3.16,0.00,0.00,0.00,0.00,12.00,0.00,36797.00,0.00,5316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,8346.00
13:01:18,33.96,0.00,1.13,0.00,0.00,64.91,6.00,0.00,656.00,109.33,0.00,0.67,0.67,0.40,6.00,0.00,6.00,0.00,656.00,5,836,1.25,0.61,0.23,0,12438476,3862136,23.69,45140,935216,5858496,35.94,3171580,482608,311768,lo,60.00,60.00,7.74,7.74,0.00,0.00,0.00,0.00,0.00,328.00,44341.00,0.00,2064.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,5334.00
13:01:19,28.91,0.00,1.13,0.13,0.00,69.84,45.00,280.00,40.00,7.11,0.13,2.84,0.36,1.60,45.00,35.00,10.00,280.00,40.00,1,883,1.15,0.60,0.23,0,12400364,3900248,23.93,45280,935364,6035892,37.03,3207184,482712,311920,lo,64.00,64.00,128.94,128.94,0.00,0.00,0.00,0.00,140.00,20.00,10057.00,0.00,882.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,4192.00
