timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:26:57,9.02,0.00,0.38,0.25,0.00,90.35,62.00,24.00,14896.00,240.65,0.27,4.39,0.97,6.00,62.00,3.00,59.00,24.00,14896.00,0,733,1.05,1.29,1.81,0,11219004,5081608,31.17,95996,2143324,5350408,32.82,3516160,1308732,150224,lo,125.00,125.00,28.46,28.46,0.00,0.00,0.00,0.00,12.00,7448.00,1826.00,0.00,1825.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,4389.00
21:26:58,19.62,0.00,2.77,0.25,0.00,77.36,9.00,24.00,752.00,86.22,0.01,1.33,1.33,1.20,9.00,3.00,6.00,24.00,752.00,3,719,1.13,1.30,1.81,0,11528176,4772436,29.28,96020,2143436,5022384,30.81,3211684,1308864,150452,lo,12.00,12.00,0.87,0.87,0.00,0.00,0.00,0.00,12.00,376.00,40318.00,0.00,113287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,92.00,7173.00
21:26:59,32.79,0.00,0.88,0.00,0.00,66.33,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,1,718,1.13,1.30,1.81,0,11451592,4849020,29.75,96032,2143436,5156440,31.63,3288024,1308864,150452,lo,6.00,6.00,0.57,0.57,0.00,0.00,0.00,0.00,12.00,0.00,19078.00,0.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4769.00
21:27:00,21.86,0.00,1.26,1.88,0.00,75.00,133.00,16.00,2736.00,20.69,0.17,1.29,1.17,15.60,133.00,2.00,131.00,16.00,2736.00,2,725,1.13,1.30,1.81,0,11484060,4816552,29.55,96324,2026296,5138436,31.52,3367436,1198140,119928,lo,6.00,6.00,3.54,3.54,0.00,0.00,0.00,0.00,8.00,1368.00,21536.00,0.00,30008.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5003.00
21:27:01,35.47,0.00,1.26,0.00,0.00,63.27,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,2,726,1.13,1.30,1.81,0,11421456,4879156,29.93,96336,2026304,5146000,31.57,3429336,1198140,119936,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,12.00,0.00,18819.00,0.00,2945.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5076.00
21:27:02,24.72,0.00,1.37,0.12,0.00,73.78,196.00,32.00,2272.00,11.76,0.89,4.53,0.12,2.40,196.00,4.00,192.00,32.00,2272.00,1,688,1.13,1.30,1.81,0,11844768,4455844,27.34,96348,2025700,4454560,27.33,3007468,1198056,117960,lo,49.00,49.00,5.52,5.52,0.00,0.00,0.00,0.00,16.00,1136.00,10773.00,0.00,116734.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,4324.00
21:27:03,16.86,0.00,0.88,0.13,0.00,82.14,13.00,24.00,40.00,4.92,0.03,2.15,2.15,2.80,13.00,3.00,10.00,24.00,40.00,3,689,1.20,1.31,1.82,0,11858028,4442584,27.25,96360,2005148,4470692,27.43,3011268,1181104,97448,lo,76.00,76.00,174.69,174.69,0.00,0.00,0.00,0.00,12.00,20.00,3269.00,0.00,6932.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5072.00
21:27:04,24.88,0.00,1.12,0.25,0.00,73.75,21.00,24.00,72.00,4.57,0.03,1.33,1.33,2.80,21.00,3.00,18.00,24.00,72.00,2,691,1.20,1.31,1.82,0,11840760,4459852,27.36,96372,2005184,4532664,27.81,3030764,1181096,97484,lo,56.00,56.00,12.78,12.78,0.00,0.00,0.00,0.00,12.00,36.00,5077.00,0.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3958.00
21:27:05,19.53,0.00,1.99,1.74,0.00,76.74,225.00,24.00,1960.00,8.82,0.20,0.91,0.91,20.40,225.00,3.00,222.00,24.00,1960.00,0,693,1.20,1.31,1.82,0,11819120,4481492,27.49,96396,2019500,4533180,27.81,3037564,1194640,112240,lo,1272.00,1272.00,14276.41,14276.41,0.00,0.00,0.00,0.00,12.00,980.00,4308.00,0.00,5932.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,110.00,11891.00
21:27:06,2.38,0.00,0.38,0.50,0.00,96.75,67.00,24.00,264.00,4.30,0.07,1.07,1.07,7.20,67.00,3.00,64.00,24.00,264.00,0,692,1.20,1.31,1.82,0,11816112,4484500,27.51,96408,2021404,4533180,27.81,3038680,1196376,114168,lo,291.00,291.00,1888.50,1888.50,0.00,0.00,0.00,0.00,12.00,132.00,769.00,0.00,1248.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,3390.00
21:27:07,0.87,0.00,0.37,0.25,0.00,98.50,26.00,16.00,104.00,4.62,0.02,0.62,0.62,1.60,26.00,2.00,24.00,16.00,104.00,0,693,1.20,1.31,1.82,0,11814036,4486576,27.52,96416,2022344,4540052,27.85,3039084,1197280,115108,lo,144.00,144.00,919.95,919.95,0.00,0.00,0.00,0.00,8.00,52.00,1415.00,0.00,1155.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,2103.00
