timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:21:25,10.15,0.00,1.38,0.13,0.00,88.35,31.00,8.00,168.00,5.68,0.02,0.26,0.39,1.20,31.00,1.00,30.00,8.00,168.00,3,703,0.78,1.45,1.70,1,28251204,4564472,13.91,101152,1798548,5889608,17.95,3341224,952108,177760,lo,140.00,140.00,26.91,26.91,0.00,0.00,0.00,0.00,4.00,396.00,19284.00,0.00,104894.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,5960.00
21:21:26,29.46,0.00,2.23,0.62,0.00,67.70,6.00,8.00,704.00,118.67,0.02,4.67,3.33,2.00,6.00,1.00,5.00,8.00,704.00,7,719,0.78,1.45,1.70,0,28108648,4707028,14.34,101164,1798688,5944524,18.11,3484392,952244,178016,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,4.00,40.00,53169.00,0.00,15661.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,8216.00
21:21:27,15.45,0.00,1.51,2.76,0.00,80.28,565.00,8.00,8776.00,15.55,1.27,2.24,0.81,46.00,565.00,1.00,564.00,8.00,8776.00,3,720,0.78,1.45,1.70,1,28205948,4609728,14.05,101880,1660900,5813752,17.72,3520396,822112,139700,lo,8.00,8.00,3.60,3.60,0.00,0.00,0.00,0.00,4.00,4392.00,11057.00,0.00,35561.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,6870.00
21:21:28,30.16,0.00,0.75,0.25,0.00,68.84,60.00,0.00,912.00,15.20,0.07,1.20,0.93,5.60,58.00,0.00,58.00,0.00,904.00,8,726,0.80,1.45,1.69,1,28164808,4650868,14.17,101956,1661008,5813752,17.72,3561284,822208,139676,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,452.00,10331.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6045.00
21:21:29,38.24,0.00,1.49,0.37,0.00,59.90,42.00,0.00,520.00,12.38,0.02,0.57,0.57,2.40,44.00,0.00,44.00,0.00,528.00,3,715,0.80,1.45,1.69,0,28131900,4683776,14.27,101956,1661100,5922048,18.05,3593500,822300,139772,lo,5.00,5.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,260.00,12465.00,0.00,4615.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5109.00
21:21:30,16.42,0.00,0.75,0.00,0.00,82.83,5.00,0.00,80.00,16.00,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,80.00,3,689,0.80,1.45,1.69,0,28621396,4194280,12.78,101960,1660496,5059848,15.42,3105652,822216,139168,lo,52.00,52.00,6.12,6.12,0.00,0.00,0.00,0.00,0.00,40.00,5331.00,0.00,127442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3266.00
21:21:31,25.94,0.00,1.25,0.25,0.00,72.56,39.00,0.00,616.00,15.79,0.04,1.03,1.03,4.00,39.00,0.00,39.00,0.00,616.00,4,690,0.80,1.45,1.69,0,28603524,4212152,12.84,101972,1639984,5141496,15.67,3142364,804980,118752,lo,145.00,145.00,119.18,119.18,0.00,0.00,0.00,0.00,0.00,308.00,10529.00,0.00,5894.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,6587.00
21:21:32,9.67,0.00,0.25,0.00,0.00,90.08,39.00,0.00,208.00,5.33,0.02,0.51,0.51,2.00,39.00,0.00,39.00,0.00,208.00,2,692,0.80,1.45,1.69,0,28588580,4227096,12.88,101972,1644584,5141496,15.67,3152512,809352,123340,lo,297.00,297.00,4600.74,4600.74,0.00,0.00,0.00,0.00,0.00,104.00,3462.00,0.00,2016.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,4651.00
21:21:33,1.00,0.00,0.37,0.12,0.00,98.50,26.00,16.00,104.00,4.62,0.02,0.62,0.62,1.60,26.00,2.00,24.00,16.00,104.00,2,693,0.73,1.42,1.68,0,28585464,4230212,12.89,101984,1646652,5141496,15.67,3153748,811304,125408,lo,186.00,186.00,2065.03,2065.03,0.00,0.00,0.00,0.00,8.00,52.00,538.00,0.00,921.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2663.00
21:21:34,1.00,0.00,0.25,0.13,0.00,98.62,16.00,0.00,64.00,4.00,0.01,0.50,0.50,0.80,16.00,0.00,16.00,0.00,64.00,2,693,0.73,1.42,1.68,0,28583480,4232196,12.90,101984,1647264,5148840,15.69,3154628,811880,126020,lo,89.00,89.00,610.28,610.28,0.00,0.00,0.00,0.00,0.00,32.00,1503.00,0.00,1109.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2209.00
21:21:35,1.00,0.00,0.50,0.12,0.00,98.38,24.00,0.00,104.00,4.33,0.01,0.50,0.50,1.20,24.00,0.00,24.00,0.00,104.00,2,692,0.73,1.42,1.68,0,28582488,4233188,12.90,101984,1647780,5148840,15.69,3155524,812356,126540,lo,114.00,114.00,509.52,509.52,0.00,0.00,0.00,0.00,0.00,52.00,438.00,0.00,551.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2013.00
