timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:35:02,17.11,0.00,2.77,0.25,0.00,79.87,4.00,8.00,80.00,22.00,0.02,6.00,6.00,2.40,6.00,1.00,5.00,8.00,96.00,4,734,1.71,1.16,1.27,0,26439660,6376016,19.43,136272,3220040,5944456,18.11,3808572,2241028,147036,lo,12.00,12.00,0.87,0.87,0.00,0.00,0.00,0.00,4.00,420.00,43984.00,0.00,110859.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,91.00,8957.00
21:35:03,30.54,0.00,1.75,0.38,0.00,67.33,20.00,8.00,1504.00,75.60,0.02,1.20,1.20,2.40,18.00,1.00,17.00,8.00,1488.00,2,738,1.65,1.15,1.27,0,26411976,6403700,19.51,136316,3102832,5876688,17.91,3946452,2130436,147016,lo,6.00,6.00,3.43,3.43,0.00,0.00,0.00,0.00,4.00,372.00,36599.00,0.00,30041.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5595.00
21:35:04,26.29,0.00,1.38,1.26,0.00,71.07,255.00,0.00,172896.00,678.02,15.10,33.00,0.69,17.60,255.00,0.00,255.00,0.00,172896.00,4,743,1.65,1.15,1.27,0,26374640,6441036,19.63,136380,3102840,5885800,17.94,3984032,2130404,1756,lo,5.00,5.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,145492.00,10638.00,0.00,1046.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5648.00
21:35:05,30.35,0.00,0.62,0.12,0.00,68.91,69.00,16.00,118104.00,1711.88,13.11,286.84,3.83,26.40,69.00,2.00,67.00,16.00,118104.00,3,746,1.65,1.15,1.27,0,26338292,6477384,19.74,136388,3102844,6011176,18.32,4020628,2130404,1768,lo,28.00,28.00,3.57,3.57,0.00,0.00,0.00,0.00,8.00,8.00,12884.00,0.00,3903.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4935.00
21:35:06,16.19,0.00,0.88,0.00,0.00,82.94,5.00,24.00,8.00,6.40,0.00,0.80,0.80,0.40,5.00,3.00,2.00,24.00,8.00,4,736,1.65,1.15,1.27,0,26319916,6495760,19.79,136400,3102852,6032660,18.38,4038100,2130396,1800,lo,31.00,31.00,4.52,4.52,0.00,0.00,0.00,0.00,12.00,4.00,5902.00,0.00,1178.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4837.00
21:35:07,27.82,0.00,1.38,0.25,0.00,70.55,32.00,16.00,128.00,4.50,0.02,0.75,0.75,2.40,32.00,2.00,30.00,16.00,128.00,9,712,1.65,1.15,1.27,0,26777316,6038360,18.40,136408,3106516,5210888,15.88,3579556,2134044,6068,lo,234.00,234.00,3774.29,3774.29,0.00,0.00,0.00,0.00,8.00,68.00,11178.00,0.00,127062.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,7058.00
21:35:08,7.58,0.00,1.86,1.49,0.00,89.07,273.00,8.00,1136.00,4.19,0.18,0.67,0.67,18.40,273.00,1.00,272.00,8.00,1136.00,1,710,1.60,1.15,1.27,0,26782880,6032796,18.38,136412,3098344,5210888,15.88,3578744,2129236,18552,lo,1451.00,1451.00,13189.59,13189.59,0.00,0.00,0.00,0.00,4.00,564.00,2113.00,0.00,10621.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,138.00,12621.00
21:35:09,0.50,0.00,0.25,0.50,0.00,98.75,26.00,16.00,872.00,34.15,0.03,1.08,0.92,2.40,26.00,2.00,24.00,16.00,872.00,1,710,1.60,1.15,1.27,0,26782732,6032944,18.38,136432,3098608,5210888,15.88,3578812,2129476,18944,lo,76.00,76.00,260.17,260.17,0.00,0.00,0.00,0.00,8.00,436.00,120.00,0.00,418.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,1589.00
21:35:10,1.89,0.00,0.50,0.25,0.00,97.36,80.00,0.00,336.00,4.20,0.06,0.80,0.80,6.40,80.00,0.00,80.00,0.00,336.00,1,711,1.60,1.15,1.27,0,26767960,6047716,18.43,136432,3112040,5214388,15.89,3580072,2142140,32384,lo,900.00,900.00,13444.78,13444.78,0.00,0.00,0.00,0.00,0.00,168.00,1722.00,0.00,4638.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,5418.00
21:35:11,0.25,0.00,0.25,0.38,0.00,99.12,18.00,16.00,64.00,4.44,0.03,1.78,1.78,3.20,18.00,2.00,16.00,16.00,64.00,1,710,1.60,1.15,1.27,0,26765620,6050056,18.44,136440,3114280,5214388,15.89,3580360,2144248,34624,lo,166.00,166.00,2245.16,2245.16,0.00,0.00,0.00,0.00,8.00,32.00,154.00,0.00,884.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,1952.00
