timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:06:07,29.93,0.00,2.24,0.50,0.00,67.33,50.00,32.00,1144.00,23.52,0.03,0.56,0.48,2.40,50.00,4.00,46.00,32.00,1144.00,2,731,2.40,2.51,2.58,0,5934176,10366980,63.60,235708,7091884,5367276,32.93,3834468,6134916,155732,lo,6.00,6.00,0.98,0.98,0.00,0.00,0.00,0.00,16.00,356.00,28618.00,0.00,37169.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,4895.00
14:06:08,23.44,0.00,2.00,0.50,0.00,74.06,5.00,24.00,72.00,19.20,0.01,1.60,1.60,0.80,5.00,3.00,2.00,24.00,72.00,3,729,2.37,2.50,2.57,0,6014572,10286584,63.10,235732,7091888,5206104,31.94,3754468,6134916,155932,lo,17.00,17.00,1.59,1.59,0.00,0.00,0.00,0.00,12.00,248.00,19101.00,0.00,37515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,2862.00
14:06:09,38.75,0.00,4.50,0.50,0.00,56.25,4.00,16.00,72.00,22.00,0.02,5.00,5.00,2.00,4.00,2.00,2.00,16.00,72.00,2,727,2.37,2.50,2.57,0,5905464,10395692,63.77,235740,7091896,5486092,33.65,3863876,6134912,155940,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,8.00,40.00,34311.00,0.00,6168.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,5094.00
14:06:10,52.38,0.00,3.01,0.25,0.00,44.36,4.00,24.00,8.00,8.00,0.02,4.00,4.00,1.60,4.00,3.00,1.00,24.00,8.00,6,778,2.37,2.50,2.57,0,5726996,10574160,64.87,235752,7091940,5802812,35.60,4040348,6134940,155984,lo,38.00,38.00,11.30,11.30,0.00,0.00,0.00,0.00,11.88,3.96,45741.58,0.00,1593.07,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.47,4990.10
14:06:11,89.00,0.00,4.00,0.00,0.00,7.00,5.00,32.00,120.00,30.40,0.03,5.60,5.60,2.80,5.00,4.00,1.00,32.00,120.00,4,781,2.37,2.50,2.57,0,5568612,10732544,65.84,235768,7092008,6038252,37.04,4197780,6134948,155996,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,16.00,60.00,43735.00,0.00,3432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,5436.00
14:06:12,64.57,0.00,7.79,0.25,0.00,27.39,24.00,24.00,30784.00,1283.67,4.60,32.83,3.67,8.80,24.00,3.00,21.00,24.00,30784.00,2,803,2.37,2.50,2.57,7,5268396,11032760,67.68,235784,7229396,6180864,37.92,4417404,6211608,216740,lo,2099.00,2099.00,76739.63,76739.63,0.00,0.00,0.00,0.00,12.00,76876.00,40081.00,0.00,13905.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,14617.00
14:06:13,58.90,0.00,3.26,2.26,0.00,35.59,64.00,8.00,123096.00,1923.50,2.68,101.31,1.75,11.20,64.00,1.00,63.00,8.00,123096.00,4,809,2.26,2.48,2.56,0,5096544,11204612,68.74,235792,7245304,6353004,38.97,4589620,6211512,232692,lo,350.00,350.00,9901.99,9901.99,0.00,0.00,0.00,0.00,4.00,64.00,41565.00,0.00,2107.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4362.00
14:06:14,15.46,0.00,1.25,0.00,0.00,83.29,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,16.00,0.00,0,818,2.26,2.48,2.56,0,5025720,11275436,69.17,235800,7245308,6369420,39.07,4659680,6211512,232696,lo,57.00,57.00,20.33,20.33,0.00,0.00,0.00,0.00,8.00,0.00,19023.00,0.00,1768.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2706.00
14:06:15,0.50,0.00,0.00,1.26,0.00,98.24,3.00,24.00,0.00,8.00,0.05,17.33,17.33,5.20,3.00,3.00,0.00,24.00,0.00,0,817,2.26,2.48,2.56,0,5029364,11271792,69.15,235812,7245312,6372224,39.09,4654768,6211512,232700,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,12.00,0.00,1306.00,0.00,2099.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1484.00
14:06:16,0.00,0.00,0.00,0.50,0.00,99.50,3.00,24.00,0.00,8.00,0.02,5.33,5.33,1.60,3.00,3.00,0.00,24.00,0.00,0,816,2.26,2.48,2.56,0,5029256,11271900,69.15,235824,7245312,6372224,39.09,4654784,6211512,232700,lo,15.00,15.00,1.69,1.69,0.00,0.00,0.00,0.00,12.00,0.00,47.00,0.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1354.00
