timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:44:27,33.25,0.00,2.00,0.00,0.00,64.75,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,1,774,2.98,2.74,2.55,0,493596,7550024,93.86,166076,4400476,5395056,67.07,3555260,3705860,396048,lo,4.00,4.00,0.47,0.47,0.00,0.00,0.00,0.00,0.00,40.00,21990.00,0.00,35447.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,4660.00
13:44:28,23.50,0.00,2.75,0.00,0.00,73.75,1.00,0.00,64.00,64.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,64.00,1,757,2.98,2.75,2.55,0,559712,7483908,93.04,166076,4400444,5175912,64.35,3488140,3705824,396016,lo,18.00,18.00,1.69,1.69,0.00,0.00,0.00,0.00,0.00,32.00,21689.00,0.00,36482.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,2259.00
13:44:29,62.47,0.00,4.03,0.50,0.00,33.00,112.00,1464.00,90392.00,820.14,9.38,20.57,2.43,27.20,115.00,59.00,56.00,1544.00,90392.00,7,777,2.98,2.75,2.55,0,423504,7620116,94.73,166084,4402880,5495688,68.32,3623004,3707840,320520,lo,33.00,33.00,5.46,5.46,0.00,0.00,0.00,0.00,776.00,78100.00,39778.00,0.00,3160.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,5946.00
13:44:30,80.40,0.00,5.28,1.01,0.00,13.32,73.00,168.00,70456.00,967.45,2.58,132.27,1.70,12.40,70.00,5.00,65.00,88.00,70456.00,2,757,2.98,2.75,2.55,0,725764,7317856,90.98,166112,4404860,5033616,62.58,3319880,3707652,320544,lo,1973.00,1973.00,58175.00,58175.00,0.00,0.00,0.00,0.00,40.00,2324.00,21040.00,0.00,99671.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,6246.00
13:44:31,53.05,0.00,6.60,0.51,0.00,39.85,53.00,0.00,224.00,4.23,0.02,0.45,0.45,2.40,53.00,0.00,53.00,0.00,224.00,4,788,2.98,2.75,2.55,0,587264,7456356,92.70,166112,4405428,5318072,66.12,3456320,3708288,321096,lo,405.00,405.00,953.87,953.87,0.00,0.00,0.00,0.00,0.00,112.00,41798.00,0.00,6829.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,124.00,8048.00
13:44:32,59.25,0.00,4.00,0.00,0.00,36.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,789,2.98,2.75,2.55,0,490792,7552828,93.90,166112,4405424,5428536,67.49,3552828,3708152,321092,lo,34.00,34.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,25532.00,0.00,1242.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4979.00
13:44:33,53.87,0.00,3.49,0.00,0.00,42.64,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,3,803,2.82,2.72,2.54,0,360648,7682972,95.52,166116,4405428,5612856,69.78,3682656,3707796,321096,lo,76.00,76.00,8.34,8.34,0.00,0.00,0.00,0.00,4.00,0.00,33026.00,0.00,895.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,3810.00
13:44:34,77.61,0.00,2.99,0.00,0.00,19.40,35.00,8.00,6120.00,175.09,0.14,4.11,0.46,1.60,37.00,1.00,36.00,8.00,6128.00,2,850,2.82,2.72,2.54,0,293492,7750128,96.35,166120,4405576,5712724,71.02,3748296,3707768,318272,lo,59.00,59.00,127.63,127.63,0.00,0.00,0.00,0.00,4.00,3064.00,22157.00,0.00,5670.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,4404.00
13:44:35,3.75,0.00,0.50,0.25,0.00,95.50,4.00,0.00,744.00,186.00,0.01,2.00,2.00,0.80,2.00,0.00,2.00,0.00,736.00,0,851,2.82,2.72,2.54,0,284116,7759504,96.47,166120,4405580,5713792,71.04,3757748,3707756,318468,lo,24.00,24.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,368.00,3562.00,0.00,791.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,1806.00
13:44:36,9.73,0.00,1.50,0.00,0.00,88.78,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,6,857,2.82,2.72,2.54,0,257380,7786240,96.80,166124,4405672,5713792,71.04,3783868,3707796,318552,lo,65.00,65.00,13.28,13.28,0.00,0.00,0.00,0.00,4.00,0.00,10865.00,0.00,1783.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,2750.00
