timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:38:37,12.09,0.00,1.26,0.50,0.00,86.15,89.00,16.00,1104.00,12.58,0.08,0.85,0.40,3.60,89.00,2.00,87.00,16.00,1104.00,0,670,2.41,2.38,1.97,0,865192,7178428,89.24,20848,4400136,4613704,57.36,4845680,2163740,1384,lo,125.00,125.00,31.54,31.54,0.00,0.00,0.00,0.00,8.00,552.00,812.00,0.00,29677.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3738.00
20:38:38,47.36,0.00,6.30,0.00,0.00,46.35,5.00,16.00,80.00,19.20,0.02,1.60,3.20,1.60,5.00,2.00,3.00,16.00,80.00,3,657,2.41,2.38,1.97,4,1165624,6877996,85.51,20868,4400212,4314608,53.64,4552896,2159680,1524,lo,12.00,12.00,0.87,0.87,0.00,0.00,0.00,0.00,8.00,564.00,43322.00,0.00,114010.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,86.00,6754.00
20:38:39,50.75,0.00,1.75,3.50,0.00,44.00,127.00,0.00,3504.00,27.59,0.12,1.10,0.88,11.20,127.00,0.00,127.00,0.00,3504.00,1,657,2.41,2.38,1.97,0,1095100,6948520,86.39,21164,4400212,4460672,55.46,4626228,2156216,1904,lo,5.00,5.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,1228.00,17718.00,0.00,377.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3885.00
20:38:40,50.13,0.00,3.27,0.00,0.00,46.60,9.00,8.00,40.00,5.33,0.01,0.89,0.89,0.80,9.00,1.00,8.00,8.00,40.00,4,664,2.37,2.37,1.97,0,974120,7069500,87.89,21168,4400192,4478532,55.68,4747080,2156100,1900,lo,8.00,8.00,1.21,1.21,0.00,0.00,0.00,0.00,4.00,20.00,31425.00,0.00,793.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3921.00
20:38:41,57.14,0.00,2.01,0.00,0.00,40.85,7.00,24.00,16.00,5.71,0.01,1.14,1.14,0.80,7.00,3.00,4.00,24.00,16.00,2,635,2.37,2.37,1.97,0,1325768,6717852,83.52,21176,4399592,3866544,48.07,4396472,2156032,1916,lo,50.00,50.00,5.82,5.82,0.00,0.00,0.00,0.00,12.00,8.00,13792.00,0.00,101915.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,3632.00
20:38:42,33.33,0.00,1.00,0.00,0.00,65.66,8.00,16.00,32.00,6.00,0.01,1.00,1.00,0.80,8.00,2.00,6.00,16.00,32.00,10,636,2.37,2.37,1.97,0,1327988,6715632,83.49,21184,4377736,3874616,48.17,4411476,2138744,1548,lo,21.00,21.00,2.35,2.35,0.00,0.00,0.00,0.00,8.00,16.00,5001.00,0.00,5782.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2755.00
20:38:43,53.38,0.00,2.01,0.50,0.00,44.11,34.00,16.00,136.00,4.47,0.02,0.59,0.59,2.00,34.00,2.00,32.00,16.00,136.00,4,637,2.37,2.37,1.97,0,1299824,6743796,83.84,21188,4378940,3922004,48.76,4440272,2139824,2748,lo,190.00,190.00,1175.45,1175.45,0.00,0.00,0.00,0.00,8.00,68.00,7625.00,0.00,783.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4948.00
20:38:44,24.43,0.00,3.78,3.78,0.00,68.01,317.00,80.00,1992.00,6.54,0.18,0.57,0.57,18.00,318.00,10.00,308.00,80.00,1992.00,1,642,2.37,2.37,1.97,0,1278788,6764832,84.10,21208,4396124,3926220,48.81,4444960,2155472,19992,lo,1604.00,1604.00,17077.07,17077.07,0.00,0.00,0.00,0.00,40.00,992.00,5183.00,1.00,7656.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,158.00,12531.00
20:38:45,17.22,0.00,4.05,3.54,0.00,75.19,297.00,48.00,1208.00,4.23,0.18,0.59,0.59,17.60,296.00,6.00,290.00,48.00,1208.00,0,638,2.26,2.35,1.97,0,1211488,6832132,84.94,21208,4461652,3926220,48.81,4452612,2214852,85496,lo,3704.00,3704.00,65563.90,65563.90,0.00,0.00,0.00,0.00,24.00,608.00,1989.00,0.00,18441.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,149.00,13249.00
20:38:46,1.25,0.00,0.75,0.25,0.00,97.74,43.00,24.00,168.00,4.47,0.01,0.19,0.19,0.80,43.00,3.00,40.00,24.00,168.00,0,639,2.26,2.35,1.97,0,1207008,6836612,84.99,21216,4465804,3926220,48.81,4453092,2218744,89656,lo,321.00,321.00,4143.97,4143.97,0.00,0.00,0.00,0.00,12.00,84.00,306.00,0.00,1511.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,2399.00
20:38:47,3.01,0.00,0.50,1.00,0.00,95.49,82.00,0.00,432.00,5.27,0.06,0.68,0.68,5.60,82.00,0.00,82.00,0.00,432.00,1,640,2.26,2.35,1.97,0,1204512,6839108,85.03,21216,4467784,3926220,48.81,4453584,2220580,91588,lo,350.00,350.00,1955.76,1955.76,0.00,0.00,0.00,0.00,0.00,216.00,561.00,0.00,1279.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,3157.00
20:38:48,24.81,0.00,3.32,2.30,0.00,69.57,193.00,8.00,800.00,4.19,0.13,0.68,0.68,13.20,193.00,1.00,192.00,8.00,800.00,4,639,2.26,2.35,1.97,0,1171484,6872136,85.44,21228,4496060,3923920,48.78,4459984,2247252,119868,lo,2603.00,2603.00,28437.41,28437.41,0.00,0.00,0.00,0.00,4.00,400.00,3420.00,0.00,9069.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,98.00,14210.00
20:38:49,13.03,0.00,1.00,0.25,0.00,85.71,5.00,16.00,304.00,64.00,0.01,1.60,1.60,0.80,5.00,2.00,3.00,16.00,304.00,1,640,2.26,2.35,1.97,0,1169156,6874464,85.46,21244,4496068,3923920,48.78,4462564,2247252,119888,lo,805.00,805.00,215.79,215.79,0.00,0.00,0.00,0.00,8.00,152.00,2032.00,0.00,1558.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,7170.00
20:38:50,17.51,0.00,16.75,0.00,0.00,65.74,6.00,16.00,16.00,5.33,0.00,0.67,0.67,0.40,6.00,2.00,4.00,16.00,16.00,2,648,2.40,2.38,1.98,0,1065952,6977668,86.75,22132,4595840,3929152,48.85,4464420,2346720,219660,lo,5958.00,5958.00,105534.44,105534.44,0.00,0.00,0.00,0.00,8.00,8.00,26268.00,0.00,30751.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,907.00,20931.00
20:38:51,52.42,0.00,4.58,0.00,0.00,43.00,3.00,16.00,8.00,8.00,0.00,1.33,1.33,0.40,3.00,2.00,1.00,16.00,8.00,2,667,2.40,2.38,1.98,0,953108,7090512,88.15,22212,4613640,4222732,52.50,4563404,2361572,237004,lo,361.00,361.00,11357.30,11357.30,0.00,0.00,0.00,0.00,8.00,4.00,41590.00,0.00,12755.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,164.00,6658.00
20:38:52,54.61,0.00,2.49,0.00,0.00,42.89,12.00,8.00,240.00,20.67,0.00,0.33,0.33,0.40,12.00,1.00,11.00,8.00,240.00,7,677,2.40,2.38,1.98,0,855200,7188420,89.37,22216,4613636,4295140,53.40,4661060,2361544,236888,lo,69.00,69.00,9.03,9.03,0.00,0.00,0.00,0.00,4.00,120.00,24673.00,0.00,328.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3110.00
20:38:53,76.50,0.00,3.00,0.00,0.00,20.50,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,3,719,2.40,2.38,1.98,0,716392,7327228,91.09,22256,4613644,4483364,55.74,4798616,2361520,236928,lo,12.00,12.00,1.68,1.68,0.00,0.00,0.00,0.00,8.00,0.00,37282.00,0.00,3016.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,3162.00
20:38:54,29.82,0.00,0.75,0.25,0.00,69.17,23.00,16.00,712.00,31.65,0.06,1.91,0.87,2.00,23.00,2.00,21.00,16.00,712.00,2,729,2.40,2.38,1.98,2,672336,7371284,91.64,22272,4613936,4507860,56.04,4841412,2361784,237180,lo,93.00,93.00,290.04,290.04,0.00,0.00,0.00,0.00,8.00,1424.00,11914.00,0.00,894.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,2599.00
20:38:55,1.50,0.00,0.50,0.75,0.00,97.25,4.00,0.00,2144.00,536.00,0.03,10.00,3.00,1.20,4.00,0.00,4.00,0.00,2144.00,1,726,2.21,2.34,1.97,0,667952,7375668,91.70,22276,4613944,4507860,56.04,4846148,2361784,238352,lo,28.00,28.00,4.22,4.22,0.00,0.00,0.00,0.00,0.00,4.00,1268.00,0.00,247.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1465.00
