timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:05:31,83.12,0.00,3.53,0.00,0.00,13.35,3.00,8.00,80.00,29.33,0.00,0.00,0.00,0.00,3.00,1.00,2.00,8.00,80.00,4,807,2.56,2.60,1.83,0,3439104,4604516,57.24,77388,1689200,5441748,67.65,3279208,1154764,77636,lo,55.00,55.00,5.47,5.47,0.00,0.00,0.00,0.00,4.00,40.00,33499.00,0.00,324.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.76,4089.11
13:05:32,37.41,0.00,2.00,8.98,0.00,51.62,421.00,8.00,9328.00,22.18,0.48,1.13,1.05,44.40,417.00,1.00,416.00,8.00,9256.00,0,808,2.56,2.60,1.83,1,3407840,4635780,57.63,78072,1691056,5468948,67.99,3308752,1156248,78420,lo,35.00,35.00,5.96,5.96,0.00,0.00,0.00,0.00,4.00,4700.00,6495.00,0.00,242.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,6630.00
13:05:33,36.78,0.00,1.51,4.53,0.00,57.18,272.00,16.00,4352.00,16.06,0.33,1.22,0.99,26.80,276.00,2.00,274.00,16.00,4424.00,1,809,2.56,2.60,1.83,0,3373880,4669740,58.06,78604,1691164,5547776,68.97,3341836,1156248,77820,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,8.00,2140.00,14251.00,0.00,5340.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4995.00
13:05:34,49.49,0.00,2.02,6.06,0.00,42.42,283.00,0.00,5312.00,18.77,0.28,0.98,0.98,27.60,280.00,0.00,280.00,0.00,5240.00,3,807,2.56,2.60,1.83,0,3366720,4676900,58.14,79044,1692132,5559012,69.11,3349244,1155848,78644,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,2656.00,2976.00,0.00,988.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5644.00
13:05:35,38.32,0.00,1.02,8.88,0.00,51.78,482.00,32.00,8232.00,17.15,0.45,0.94,0.86,41.60,485.00,4.00,481.00,32.00,8304.00,4,808,2.56,2.60,1.83,0,3362644,4680976,58.19,79744,1692792,5556096,69.07,3352104,1155996,78700,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,16.00,4120.00,2526.00,0.00,1572.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6908.00
13:05:36,44.25,0.00,2.25,3.00,0.00,50.50,180.00,264.00,3296.00,19.78,0.54,3.00,0.64,11.60,180.00,33.00,147.00,264.00,3296.00,2,806,2.44,2.58,1.82,0,3345284,4698336,58.41,80096,1693068,5564032,69.17,3370892,1156144,78304,lo,49.00,49.00,6.39,6.39,0.00,0.00,0.00,0.00,132.00,1644.00,5818.00,0.00,1173.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,4361.00
13:05:37,40.75,0.00,2.25,0.00,0.00,57.00,1.00,8.00,0.00,8.00,0.01,12.00,12.00,1.20,1.00,1.00,0.00,8.00,0.00,1,805,2.44,2.58,1.82,0,3326980,4716640,58.64,80100,1693068,5580240,69.37,3389232,1156132,78316,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,0.00,4609.00,0.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5281.00
13:05:38,53.02,0.00,1.76,0.75,0.00,44.47,74.00,16.00,1144.00,15.68,0.11,1.46,1.19,8.80,74.00,2.00,72.00,16.00,1144.00,7,804,2.44,2.58,1.82,0,3307652,4735968,58.88,80232,1693080,5580240,69.37,3408216,1156128,78216,lo,37.00,37.00,5.21,5.21,0.00,0.00,0.00,0.00,8.00,572.00,4758.00,0.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5047.00
13:05:39,53.38,0.00,2.01,0.25,0.00,44.36,7.00,16.00,136.00,21.71,0.01,1.71,1.71,1.20,7.00,2.00,5.00,16.00,136.00,1,804,2.44,2.58,1.82,0,3274916,4768704,59.29,80240,1693148,5619180,69.86,3440284,1156096,78240,lo,31.00,31.00,4.55,4.55,0.00,0.00,0.00,0.00,8.00,68.00,10047.00,0.00,1498.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4481.00
13:05:40,54.29,0.00,7.32,0.00,0.00,38.38,76.00,0.00,153352.00,2017.79,6.87,90.42,2.21,16.80,76.00,0.00,76.00,0.00,153352.00,2,811,2.44,2.58,1.82,0,3029144,5014476,62.34,80240,1846452,5706696,70.95,3606132,1232736,154868,lo,2055.00,2055.00,76766.48,76766.48,0.00,0.00,0.00,0.00,0.00,76676.00,23718.00,0.00,15850.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,14365.00
13:05:41,54.41,0.00,2.77,0.00,0.00,42.82,88.00,8.00,1360.00,15.55,0.13,1.45,0.05,0.40,88.00,1.00,87.00,8.00,1360.00,1,815,2.40,2.57,1.82,0,2931492,5112128,63.56,80244,1846452,5786832,71.94,3703220,1232660,153980,lo,55.00,55.00,32.65,32.65,0.00,0.00,0.00,0.00,4.00,680.00,27005.00,0.00,2319.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4682.00
13:05:42,67.34,0.00,3.04,0.00,0.00,29.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,826,2.40,2.57,1.82,0,2897368,5146252,63.98,80244,1846548,5803308,72.15,3738424,1232668,154116,lo,266.00,266.00,392.59,392.59,0.00,0.00,0.00,0.00,0.00,0.00,9861.00,0.00,1054.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,9017.00
13:05:43,60.41,0.00,3.86,1.54,0.00,34.19,128.00,8.00,1808.00,14.19,0.10,0.75,0.69,8.80,128.00,1.00,127.00,8.00,1808.00,1,754,2.40,2.57,1.82,0,3394836,4648784,57.79,80272,1769876,5231040,65.03,3246876,1228060,154504,lo,668.00,668.00,203.17,203.17,0.00,0.00,0.00,0.00,4.00,904.00,5832.00,0.00,130561.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,11384.00
13:05:44,1.51,0.00,1.26,0.25,0.00,96.98,5.00,16.00,128.00,28.80,0.01,2.40,2.40,1.20,5.00,2.00,3.00,16.00,128.00,0,707,2.40,2.57,1.82,0,3910236,4133384,51.39,80280,1769792,4498648,55.93,2733980,1228012,154468,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,8.00,64.00,2690.00,0.00,130090.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,1714.00
13:05:45,0.25,0.00,0.50,0.00,0.00,99.25,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,0,708,2.40,2.57,1.82,0,3920420,4123200,51.26,80292,1769792,4492840,55.86,2724100,1227764,154476,lo,7.00,7.00,1.75,1.75,0.00,0.00,0.00,0.00,12.00,0.00,1311.00,0.00,3444.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,1283.00
13:05:46,0.25,0.00,0.25,0.00,0.00,99.50,0.00,0.00,0.00,0.00,2.59,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0,708,2.21,2.52,1.81,0,3920232,4123388,51.26,80292,1769792,4492840,55.86,2724128,1227744,77860,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,76616.00,184.00,0.00,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,1239.00
13:05:47,0.25,0.00,0.25,0.00,0.00,99.50,75.00,0.00,153232.00,2043.09,5.13,102.93,1.60,12.00,75.00,0.00,75.00,0.00,153232.00,0,707,2.21,2.52,1.81,0,3920280,4123340,51.26,80292,1769792,4492840,55.86,2724152,1227736,77860,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1115.00
13:05:48,0.25,0.00,0.00,0.25,0.00,99.50,2.00,0.00,392.00,196.00,0.01,4.00,4.00,0.80,0.00,0.00,0.00,0.00,0.00,0,707,2.21,2.52,1.81,0,3920280,4123340,51.26,80304,1769792,4492840,55.86,2724160,1227728,77916,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,196.00,31.00,0.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1094.00
13:05:49,30.20,0.00,2.79,0.00,0.00,67.01,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,3.00,0.00,3.00,0.00,400.00,1,725,2.21,2.52,1.81,0,3850956,4192664,52.12,80304,1769824,4714112,58.61,2795612,1227752,77948,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,4.00,22256.00,0.00,2677.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,4477.00
13:05:50,26.05,0.00,1.49,0.00,0.00,72.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,725,2.21,2.52,1.81,0,3793140,4250480,52.84,80304,1769824,4839504,60.17,2853284,1227744,77948,lo,20.00,20.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,14423.00,0.00,2843.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2127.00
