timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:40:26,40.05,0.00,2.27,0.25,0.00,57.43,4.00,16.00,480.00,124.00,0.00,1.00,1.00,0.40,4.00,2.00,2.00,16.00,480.00,0,777,2.45,2.42,2.41,0,847988,7195632,89.46,163432,4026500,5536232,68.83,3590564,3328084,325232,lo,20.00,20.00,2.56,2.56,0.00,0.00,0.00,0.00,8.00,0.00,20781.00,0.00,409.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3556.00
13:40:27,25.25,0.00,3.28,0.25,0.00,71.21,7.00,24.00,144.00,24.00,0.01,1.71,1.71,1.20,7.00,3.00,4.00,24.00,144.00,2,775,2.45,2.42,2.41,0,899472,7144148,88.82,163444,4026496,5465800,67.95,3539912,3328080,325232,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,12.00,72.00,31582.00,0.00,41904.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,4301.00
13:40:28,44.58,0.00,3.78,0.00,0.00,51.64,2.00,8.00,64.00,36.00,0.00,2.00,2.00,0.40,2.00,1.00,1.00,8.00,64.00,1,753,2.33,2.40,2.40,0,1207044,6836576,84.99,163448,4026408,4874476,60.60,3233312,3328016,325144,lo,26.00,26.00,2.75,2.75,0.00,0.00,0.00,0.00,4.00,32.00,20358.00,0.00,97281.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,4597.00
13:40:29,78.89,0.00,5.28,0.00,0.00,15.83,22.00,0.00,648.00,29.45,0.00,0.18,0.18,0.40,22.00,0.00,22.00,0.00,648.00,8,796,2.33,2.40,2.40,0,979304,7064316,87.83,163448,4026024,5193596,64.57,3460700,3327844,324484,lo,95.00,95.00,128.06,128.06,0.00,0.00,0.00,0.00,0.00,324.00,63064.00,0.00,4793.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,5992.00
13:40:30,90.61,0.00,2.79,0.00,0.00,6.60,1.00,16.00,0.00,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,16.00,0.00,3,808,2.33,2.40,2.40,4,894388,7149232,88.88,163456,4026032,5331232,66.28,3545320,3327840,324488,lo,6.00,6.00,0.72,0.72,0.00,0.00,0.00,0.00,8.00,304.00,22333.00,1.00,616.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,5888.00
13:40:31,67.25,0.00,3.78,0.25,0.00,28.72,6.00,8.00,736.00,124.00,0.02,2.67,2.67,1.60,6.00,1.00,5.00,8.00,736.00,2,823,2.33,2.40,2.40,0,728608,7315012,90.94,163456,4026104,5477712,68.10,3709920,3327844,324600,lo,99.00,99.00,17.07,17.07,0.00,0.00,0.00,0.00,4.00,64.00,44425.00,1.00,3435.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,4713.00
13:40:32,44.19,0.00,8.84,0.00,0.00,46.97,76.00,0.00,153352.00,2017.79,9.72,127.95,2.63,20.00,76.00,0.00,76.00,0.00,153352.00,4,831,2.33,2.40,2.40,0,460216,7583404,94.28,163456,4179400,5647752,70.21,3896572,3404436,401220,lo,2076.00,2076.00,76776.02,76776.02,0.00,0.00,0.00,0.00,0.00,76676.00,33374.00,0.00,15479.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,15979.00
13:40:33,65.39,0.00,3.05,0.00,0.00,31.55,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,7,836,2.31,2.39,2.40,0,368780,7674840,95.42,163464,4179404,5748280,71.46,3987364,3404388,401224,lo,318.00,318.00,3960.51,3960.51,0.00,0.00,0.00,0.00,8.00,0.00,20864.00,0.00,853.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,6867.00
13:40:34,94.49,0.00,3.26,0.00,0.00,2.26,14.00,8.00,528.00,38.29,0.04,2.86,0.57,0.80,14.00,1.00,13.00,8.00,528.00,5,835,2.31,2.39,2.40,0,349804,7693816,95.65,163468,4179408,5748220,71.46,4003692,3404372,401028,lo,3653.00,3653.00,133403.03,133403.03,0.00,0.00,0.00,0.00,4.00,264.00,6635.00,0.00,2307.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5431.00
13:40:35,92.68,0.00,3.28,0.00,0.00,4.04,4.00,32.00,0.00,8.00,0.02,5.00,5.00,2.00,4.00,4.00,0.00,32.00,0.00,4,840,2.31,2.39,2.40,1,346504,7697116,95.69,163488,4179488,5753632,71.53,4007316,3404400,401112,lo,3547.00,3547.00,124387.28,124387.28,0.00,0.00,0.00,0.00,16.00,212.00,2155.00,0.00,1162.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5021.00
