timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:53:59,22.43,0.00,1.88,0.13,0.00,75.56,6.00,8.00,616.00,104.00,0.02,3.33,2.67,1.60,16.00,1.00,15.00,8.00,696.00,2,833,2.04,2.11,2.19,0,58052148,7793656,11.84,165444,4210052,8197928,12.45,3917328,3493316,401308,lo,6.00,6.00,0.54,0.54,0.00,0.00,0.00,0.00,4.00,40.00,40933.00,0.00,52564.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,6550.00
13:54:00,10.89,0.00,1.50,0.00,0.00,87.61,4.00,0.00,144.00,36.00,0.01,3.00,3.00,1.20,4.00,0.00,4.00,0.00,144.00,5,831,2.04,2.11,2.19,0,58157100,7688704,11.68,165444,4209992,8101428,12.30,3812488,3493244,401252,lo,23.00,23.00,2.56,2.56,0.00,0.00,0.00,0.00,0.00,72.00,34595.00,0.00,58963.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,70.00,4154.00
13:54:01,24.31,0.00,1.51,0.00,0.00,74.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,841,2.04,2.11,2.19,0,57992572,7853232,11.93,165444,4209996,8150224,12.38,3975744,3493240,401268,lo,6.00,6.00,1.69,1.69,0.00,0.00,0.00,0.00,0.00,0.00,43136.00,0.00,2194.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,5822.00
13:54:02,40.15,0.00,2.62,0.00,0.00,57.23,81.19,0.00,52491.09,646.54,2.62,19.17,0.93,7.52,74.00,0.00,74.00,0.00,34248.00,7,894,1.88,2.07,2.17,0,57827680,8018124,12.18,165444,4210032,8646076,13.13,4140696,3493272,360148,lo,44.00,44.00,11.30,11.30,0.00,0.00,0.00,0.00,0.00,40844.00,45222.00,0.00,2171.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,6793.00
13:54:03,56.37,0.00,2.14,0.00,0.00,41.49,17.00,0.00,29128.00,1713.41,0.23,76.71,1.18,2.00,23.00,0.00,23.00,0.00,47440.00,8,906,1.88,2.07,2.17,3,57619788,8226016,12.49,165448,4210036,8868512,13.47,4348272,3493264,360152,lo,6.00,6.00,0.98,0.98,0.00,0.00,0.00,0.00,0.00,228.00,51427.00,0.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,10427.00
13:54:04,33.00,0.00,1.25,0.12,0.00,65.63,5.00,16.00,128.00,28.80,0.00,0.80,0.80,0.40,7.00,2.00,5.00,16.00,584.00,11,929,1.88,2.07,2.17,0,57515816,8329988,12.65,165460,4210112,8827912,13.41,4451000,3493276,360376,lo,126.00,126.00,60.34,60.34,0.00,0.00,0.00,0.00,8.00,64.00,26119.00,0.00,538.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,7929.00
13:54:05,40.03,0.00,4.80,0.00,0.00,55.18,78.00,16.00,153352.00,1966.26,5.48,70.21,1.18,9.20,78.00,2.00,76.00,16.00,153352.00,3,938,1.88,2.07,2.17,0,57206628,8639176,13.12,165468,4363404,9092732,13.81,4678192,3569816,436992,lo,2072.00,2072.00,76760.59,76760.59,0.00,0.00,0.00,0.00,8.00,76676.00,42535.00,0.00,17817.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,16278.00
13:54:06,74.87,0.00,1.01,0.13,0.00,23.99,3.00,24.00,0.00,8.00,0.04,14.67,14.67,4.40,3.00,3.00,0.00,24.00,0.00,13,939,1.88,2.07,2.17,0,57173080,8672724,13.17,165480,4363400,9092732,13.81,4710868,3569808,436992,lo,1222.00,1222.00,35605.46,35605.46,0.00,0.00,0.00,0.00,12.00,0.00,9484.00,0.00,1641.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,9782.00
13:54:07,92.13,0.00,2.62,0.00,0.00,5.24,2.00,16.00,0.00,8.00,6.68,0.00,28.00,5.60,1.98,1.98,0.00,15.84,0.00,8,939,2.61,2.22,2.22,0,57171612,8674192,13.17,165488,4363404,9134488,13.87,4709052,3569808,315736,lo,4575.00,4575.00,157807.43,157807.43,0.00,0.00,0.00,0.00,8.00,121256.00,2655.00,0.00,3103.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.94,8278.22
13:54:08,87.94,0.00,2.64,0.13,0.00,9.30,130.00,16.00,243120.00,1870.28,50.97,443.45,5.75,74.80,130.00,2.00,128.00,16.00,243120.00,11,944,2.61,2.22,2.22,1,57169588,8676216,13.18,165500,4363572,9134488,13.87,4713976,3569868,315904,lo,3624.00,3624.00,130704.67,130704.67,0.00,0.00,0.00,0.00,8.00,304.00,1459.00,0.00,972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,9272.00
