timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:06:59,63.96,0.00,0.51,11.42,0.00,24.11,393.00,0.00,7056.00,17.95,0.49,1.24,1.21,47.60,391.00,0.00,391.00,0.00,7048.00,4,746,3.38,3.27,2.94,0,23917668,8898552,27.12,188144,5484708,6234904,19.00,3887824,4636952,29652,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,3692.00,1333.00,0.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4285.00
14:07:00,60.30,0.00,1.51,3.77,0.00,34.42,219.00,0.00,4128.00,18.85,0.24,1.11,1.10,24.00,216.00,0.00,216.00,0.00,4032.00,4,748,3.38,3.27,2.94,0,23884684,8931536,27.22,188432,5485068,6390844,19.47,3920788,4637048,29616,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,1720.00,9827.00,0.00,744.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3425.00
14:07:01,48.74,0.00,1.26,2.01,0.00,47.99,114.00,0.00,2688.00,23.58,0.12,1.05,0.84,9.60,114.00,0.00,114.00,0.00,2688.00,1,750,3.38,3.27,2.94,0,23868160,8948060,27.27,188540,5485192,6390844,19.47,3937456,4637052,29192,lo,32.00,32.00,4.18,4.18,0.00,0.00,0.00,0.00,0.00,1388.00,4068.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3571.00
14:07:02,53.13,0.00,1.75,2.01,0.00,43.11,78.00,8.00,1056.00,13.64,0.13,1.69,1.49,11.60,78.00,1.00,77.00,8.00,1056.00,6,751,3.19,3.23,2.93,0,23846752,8969468,27.33,188608,5485252,6390844,19.47,3959004,4637048,29084,lo,89.00,89.00,20.11,20.11,0.00,0.00,0.00,0.00,4.00,476.00,7295.00,0.00,1460.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,4998.00
14:07:03,44.39,0.00,2.00,0.25,0.00,53.37,25.00,8.00,96.00,4.16,0.02,0.80,0.80,2.00,25.00,1.00,24.00,8.00,96.00,0,754,3.19,3.23,2.93,0,23814148,9002072,27.43,188612,5502404,6390844,19.47,3975348,4653272,46236,lo,716.00,716.00,17195.98,17195.98,0.00,0.00,0.00,0.00,4.00,48.00,4613.00,0.00,5536.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4656.00
14:07:04,25.82,0.00,4.56,0.76,0.00,68.86,142.00,0.00,17888.00,125.97,1.50,10.54,0.39,5.60,142.00,0.00,142.00,0.00,17888.00,4,779,3.19,3.23,2.93,0,23780048,9036172,27.54,188620,5520136,6992576,21.31,3991856,4669764,54908,lo,778.00,778.00,17624.56,17624.56,0.00,0.00,0.00,0.00,0.00,8944.00,16577.00,0.00,7206.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,102.00,5244.00
14:07:05,58.42,0.00,3.83,0.00,0.00,37.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,779,3.19,3.23,2.93,0,23649420,9166800,27.93,188620,5520132,7047208,21.47,4122404,4669528,54932,lo,15.00,15.00,2.21,2.21,0.00,0.00,0.00,0.00,0.00,0.00,34468.00,0.00,443.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.95,4843.56
14:07:06,55.81,0.00,3.03,0.00,0.00,41.16,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,3,792,3.19,3.23,2.93,0,23562288,9253932,28.20,188624,5520140,7023628,21.40,4208864,4669524,54944,lo,63.00,63.00,7.75,7.75,0.00,0.00,0.00,0.00,4.00,0.00,20436.00,0.00,985.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,3367.00
14:07:07,78.61,0.00,3.73,0.25,0.00,17.41,7.00,0.00,776.00,110.86,0.01,1.14,0.57,0.40,7.00,0.00,7.00,0.00,776.00,3,794,3.17,3.23,2.93,0,23388640,9427580,28.73,188636,5520148,7206576,21.96,4382564,4669512,55284,lo,15.00,15.00,2.27,2.27,0.00,0.00,0.00,0.00,0.00,388.00,43668.00,0.00,2082.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2537.00
14:07:08,41.60,0.00,0.75,0.00,0.00,57.64,9.00,8.00,32.00,4.44,0.02,2.67,2.67,2.40,9.00,1.00,8.00,8.00,32.00,0,841,3.17,3.23,2.93,0,23370436,9445784,28.78,188640,5520392,7238844,22.06,4400000,4669644,55544,lo,88.00,88.00,233.87,233.87,0.00,0.00,0.00,0.00,8.00,16.00,3086.00,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,3100.00
