timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:25:38,92.48,0.00,2.01,0.00,0.00,5.51,6.93,0.00,253.47,36.57,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,256.00,7,806,2.43,2.75,2.96,0,22865576,9950644,30.32,234292,6081812,6941448,21.15,4355868,5193688,77412,lo,40.00,40.00,4.16,4.16,0.00,0.00,0.00,0.00,0.00,126.73,22482.18,0.00,490.10,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,4079.00
14:25:39,61.87,0.00,2.78,7.32,0.00,28.03,281.00,0.00,7088.00,25.22,0.31,1.11,1.11,31.20,276.00,0.00,276.00,0.00,6984.00,0,810,2.43,2.75,2.96,1,22813136,10003084,30.48,234440,6083000,7019172,21.39,4405876,5194796,77488,lo,47.00,47.00,6.65,6.65,0.00,0.00,0.00,0.00,0.00,3876.00,15660.00,0.00,5148.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5029.00
14:25:40,35.19,0.00,1.27,8.10,0.00,55.44,411.00,0.00,6624.00,16.12,0.51,1.25,1.04,42.80,416.00,0.00,416.00,0.00,6728.00,1,814,2.43,2.75,2.96,0,22805804,10010416,30.50,234872,6083772,6995516,21.32,4412596,5195172,77592,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,0.00,2980.00,3190.00,0.00,868.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,5669.00
14:25:41,69.33,0.00,1.25,3.49,0.00,25.94,101.00,0.00,1992.00,19.72,0.12,1.19,1.23,12.40,100.00,0.00,100.00,0.00,1984.00,3,812,2.43,2.75,2.96,0,22780864,10035356,30.58,234928,6084008,6995516,21.32,4438260,5194440,77792,lo,6.00,6.00,1.69,1.69,0.00,0.00,0.00,0.00,0.00,1240.00,8325.00,0.00,2135.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3009.00
14:25:42,49.62,0.00,2.53,10.13,0.00,37.72,481.00,0.00,8168.00,16.98,0.54,1.11,1.06,50.80,476.00,0.00,476.00,0.00,8080.00,1,812,2.32,2.72,2.95,1,22777268,10038952,30.59,235496,6085004,6995516,21.32,4442532,5194832,78504,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,4280.00,811.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6059.00
14:25:43,38.83,0.00,0.51,6.35,0.00,54.31,393.00,0.00,7448.00,18.95,0.57,1.47,0.78,30.80,399.00,0.00,399.00,0.00,7544.00,1,814,2.32,2.72,2.95,0,22771904,10044316,30.61,235904,6085664,6995516,21.32,4447284,5195068,77524,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,0.00,3284.00,2574.00,0.00,957.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4987.00
14:25:44,37.63,0.00,1.01,0.00,0.00,61.36,8.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,32.00,1,816,2.32,2.72,2.95,0,22754108,10062112,30.66,235904,6085672,7035768,21.44,4464096,5195060,77536,lo,50.00,50.00,6.44,6.44,0.00,0.00,0.00,0.00,0.00,16.00,6351.00,0.00,1944.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,3503.00
14:25:45,48.73,0.00,1.78,0.25,0.00,49.24,17.00,0.00,360.00,21.18,0.03,1.65,1.41,2.40,17.00,0.00,17.00,0.00,360.00,1,815,2.32,2.72,2.95,0,22740112,10076108,30.70,235904,6085680,7035768,21.44,4478780,5195052,77544,lo,6.00,6.00,0.74,0.74,0.00,0.00,0.00,0.00,0.00,192.00,4058.00,0.00,576.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6342.00
14:25:46,71.25,0.00,1.78,0.25,0.00,26.72,58.00,0.00,976.00,16.83,0.08,1.31,1.10,6.40,58.00,0.00,58.00,0.00,976.00,1,816,2.32,2.72,2.95,0,22705532,10110688,30.81,235984,6085692,7075412,21.56,4512784,5195040,77588,lo,59.00,59.00,8.68,8.68,0.00,0.00,0.00,0.00,0.00,476.00,10865.00,0.00,1571.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3842.00
14:25:47,49.87,0.00,7.52,0.00,0.00,42.61,76.00,0.00,153352.00,2017.79,7.22,95.05,2.05,15.60,76.00,0.00,76.00,0.00,153352.00,7,822,2.21,2.69,2.94,0,22486960,10329260,31.48,235984,6239056,7110544,21.67,4652036,5271712,154216,lo,2059.00,2059.00,76808.30,76808.30,0.00,0.00,0.00,0.00,0.00,76676.00,16151.00,0.00,14088.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,16039.00
14:25:48,65.58,0.00,1.51,0.00,0.00,32.91,11.00,0.00,176.00,16.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,176.00,2,827,2.21,2.69,2.94,0,22404176,10412044,31.73,235984,6239056,7287308,22.21,4735208,5271628,154128,lo,42.00,42.00,28.70,28.70,0.00,0.00,0.00,0.00,0.00,88.00,22604.00,0.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3907.00
14:25:49,73.45,0.00,2.84,0.00,0.00,23.71,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,40.00,7,844,2.21,2.69,2.94,0,22386220,10430000,31.78,235984,6239056,7319448,22.30,4752908,5271620,154176,lo,527.00,527.00,9214.14,9214.14,0.00,0.00,0.00,0.00,0.00,20.00,5317.00,0.00,2964.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,6390.00
14:25:50,93.47,0.00,2.26,0.00,0.00,4.27,30.00,0.00,136.00,4.53,0.02,0.53,0.53,1.60,30.00,0.00,30.00,0.00,136.00,4,848,2.21,2.69,2.94,0,22379784,10436436,31.80,235984,6248940,7353180,22.41,4750196,5280932,164064,lo,539.00,539.00,10526.26,10526.26,0.00,0.00,0.00,0.00,0.00,68.00,3455.00,0.00,3748.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,6194.00
14:25:51,72.36,0.00,2.76,1.26,0.00,23.62,98.00,0.00,1288.00,13.14,0.10,0.98,0.94,9.20,98.00,0.00,98.00,0.00,1288.00,3,799,2.21,2.69,2.94,0,22435720,10380500,31.63,235992,6182292,7353180,22.41,4683064,5290124,174132,lo,1069.00,1069.00,18772.81,18772.81,0.00,0.00,0.00,0.00,0.00,644.00,7667.00,0.00,26165.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,9470.00
