timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:04:01,36.27,0.00,3.02,0.00,0.00,60.71,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,0,775,3.26,2.94,2.78,0,23931860,8884360,27.07,173712,5179236,7184796,21.89,4162944,4366344,1544,lo,20.00,20.00,2.45,2.45,0.00,0.00,0.00,0.00,16.00,0.00,30710.00,0.00,81066.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2482.00
14:04:02,38.15,0.00,4.99,0.25,0.00,56.61,22.77,31.68,728.71,33.39,0.01,0.35,0.35,0.79,23.00,4.00,19.00,32.00,736.00,1,737,3.26,2.94,2.78,0,24432672,8383548,25.55,173724,5179128,6294040,19.18,3665856,4366268,1340,lo,26.00,26.00,2.73,2.73,0.00,0.00,0.00,0.00,12.00,368.00,53177.00,0.00,171022.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,73.00,4904.00
14:04:03,49.01,0.00,3.71,0.25,0.00,47.03,11.00,24.00,32.00,5.09,0.02,1.82,1.82,2.00,11.00,3.00,8.00,24.00,32.00,2,761,3.26,2.94,2.78,0,24593436,8222784,25.06,173740,4917932,6172988,18.81,3765560,4105464,1524,lo,51.00,51.00,288.56,288.56,0.00,0.00,0.00,0.00,12.00,16.00,23111.00,0.00,67326.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,5238.00
14:04:04,86.55,0.00,4.57,0.00,0.00,8.88,8.00,24.00,664.00,86.00,0.01,1.50,1.50,1.20,8.00,3.00,5.00,24.00,664.00,6,793,3.26,2.94,2.78,0,24435732,8380488,25.54,173760,4915376,6762152,20.61,3926448,4102976,1616,lo,36.00,36.00,11.23,11.23,0.00,0.00,0.00,0.00,11.88,328.71,44829.70,0.00,2568.32,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,4528.00
14:04:05,92.77,0.00,2.99,0.25,0.00,3.99,4.00,24.00,120.00,36.00,0.02,4.00,4.00,1.60,4.00,3.00,1.00,24.00,120.00,3,798,3.26,2.94,2.78,0,24282436,8533784,26.00,173772,4915384,6940932,21.15,4079760,4102976,1624,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,60.00,38951.00,0.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4124.00
14:04:06,70.13,0.00,6.84,0.00,0.00,23.04,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,3.00,3.00,0.00,24.00,0.00,3,821,3.40,2.98,2.79,0,24128060,8688160,26.48,173784,4938080,6971072,21.24,4208964,4125520,24260,lo,1273.00,1273.00,44535.52,44535.52,0.00,0.00,0.00,0.00,12.00,0.00,31194.00,0.00,14036.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,9955.00
14:04:07,68.77,0.00,5.29,0.00,0.00,25.94,143.00,24.00,154304.00,1079.22,7.13,49.85,1.23,17.60,143.00,3.00,140.00,24.00,154304.00,5,824,3.40,2.98,2.79,0,23884256,8931964,27.22,173796,5068748,7009460,21.36,4396364,4179556,77544,lo,900.00,900.00,32256.92,32256.92,0.00,0.00,0.00,0.00,12.00,77152.00,35768.00,0.00,5406.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8150.00
14:04:08,87.59,0.00,5.06,0.00,0.00,7.34,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,7,828,3.40,2.98,2.79,0,23866384,8949836,27.27,173808,5068748,7164380,21.83,4414012,4179556,77560,lo,4350.00,4350.00,157218.35,157218.35,0.00,0.00,0.00,0.00,12.00,0.00,2913.00,0.00,2341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,5234.00
14:04:09,79.60,0.00,4.53,0.25,0.00,15.62,11.00,24.00,496.00,47.27,0.03,2.91,1.45,1.60,11.00,3.00,8.00,24.00,496.00,6,829,3.40,2.98,2.79,0,23868400,8947820,27.27,173860,5072036,7197256,21.93,4407608,4181968,81048,lo,5300.00,5300.00,193255.11,193255.11,0.00,0.00,0.00,0.00,12.00,248.00,1798.00,0.00,4504.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,9105.00
14:04:10,88.28,0.00,10.22,0.00,0.00,1.50,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,4,830,3.40,2.98,2.79,0,23749580,9066640,27.63,173928,5182036,7207580,21.96,4420512,4285916,191064,lo,5645.00,5645.00,207925.49,207925.49,0.00,0.00,0.00,0.00,16.00,0.00,4705.00,0.00,22906.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5156.00
