timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:04:17,48.76,0.00,5.97,0.00,0.00,45.27,17.00,88.00,2808.00,170.35,0.08,4.47,1.65,2.80,17.00,7.00,10.00,88.00,2808.00,6,618,2.56,1.09,0.43,0,13799324,2502104,15.35,44144,654536,4343124,26.64,2110848,264880,10460,lo,39.00,39.00,4.08,4.08,0.00,0.00,0.00,0.00,43.56,47.52,19092.08,0.00,52153.47,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,2321.00
12:04:18,68.00,0.00,18.00,0.00,0.00,14.00,6.00,8.00,24.00,5.33,0.00,0.67,0.67,0.40,6.00,1.00,5.00,8.00,24.00,2,617,2.56,1.09,0.43,0,13612528,2688900,16.49,44172,710104,4411736,27.06,2230572,318604,66008,lo,36.00,36.00,263.60,263.60,0.00,0.00,0.00,0.00,4.00,12.00,30554.00,0.00,1114.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2857.00
12:04:19,34.17,0.00,21.61,0.00,0.00,44.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,617,2.56,1.09,0.43,0,13359436,2941992,18.05,44172,804688,4411736,27.06,2367832,410640,160592,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,33703.00,0.00,329.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1640.00
12:04:20,69.70,0.00,10.10,0.00,0.00,20.20,10.00,8.00,4288.00,429.60,0.04,4.40,1.20,1.20,10.00,1.00,9.00,8.00,4288.00,2,619,2.56,1.09,0.43,0,13243028,3058400,18.76,44372,846236,4411736,27.06,2432868,451204,200016,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,2144.00,16951.00,0.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2186.00
12:04:21,91.96,0.00,2.51,0.50,0.00,5.03,21.00,8.00,88.00,4.57,0.22,0.76,1.14,2.40,21.00,1.00,20.00,8.00,88.00,4,627,2.51,1.11,0.44,0,13210752,3090676,18.96,44376,846252,4474572,27.45,2465084,451112,200056,lo,84.00,84.00,10.19,10.19,0.00,0.00,0.00,0.00,4.00,14960.00,9171.00,0.00,1054.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,2570.00
12:04:22,78.50,0.00,7.00,4.00,0.00,10.50,119.80,0.00,29908.91,249.65,1.68,15.64,1.06,12.67,121.00,0.00,121.00,0.00,30208.00,6,627,2.51,1.11,0.44,0,13145856,3155572,19.36,44432,887712,4474572,27.45,2488680,490224,255056,lo,2165.00,2165.00,42578.46,42578.46,0.00,0.00,0.00,0.00,0.00,188.00,6641.00,0.00,10129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,9459.00
12:04:23,89.34,0.00,3.05,0.51,0.00,7.11,36.00,0.00,144.00,4.00,0.02,0.67,0.67,2.40,36.00,0.00,36.00,0.00,144.00,3,631,2.51,1.11,0.44,0,13070404,3231024,19.82,44444,898368,4558656,27.96,2553756,500256,265720,lo,612.00,612.00,9576.57,9576.57,0.00,0.00,0.00,0.00,0.00,72.00,20261.00,0.00,5517.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,4076.00
12:04:24,95.00,0.00,5.00,0.00,0.00,0.00,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,5,633,2.51,1.11,0.44,0,12999388,3302040,20.26,44476,950284,4558656,27.96,2574760,548948,317580,lo,1469.00,1469.00,52033.08,52033.08,0.00,0.00,0.00,0.00,4.00,0.00,6924.00,0.00,3140.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,2233.00
12:04:25,88.89,0.00,5.05,0.00,0.00,6.06,4.00,0.00,2120.00,530.00,0.02,5.00,4.00,1.60,4.00,0.00,4.00,0.00,2120.00,3,645,2.51,1.11,0.44,0,12916512,3384916,20.76,44488,950316,4969488,30.48,2657028,548920,316728,lo,14.00,14.00,2.13,2.13,0.00,0.00,0.00,0.00,0.00,1060.00,23506.00,0.00,1789.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,3204.00
12:04:26,89.50,0.00,3.00,0.00,0.00,7.50,0.00,0.00,496.00,0.00,0.01,0.00,0.00,0.80,1.00,0.00,1.00,0.00,496.00,2,648,2.39,1.11,0.44,0,12840828,3460600,21.23,44488,950324,5098320,31.28,2732572,548804,316736,lo,13.00,13.00,1.71,1.71,0.00,0.00,0.00,0.00,0.00,252.00,19044.00,0.00,401.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2365.00
