timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:47:10,31.66,0.00,2.01,1.01,0.00,65.33,29.00,0.00,664.00,22.90,0.04,1.24,0.97,2.80,29.00,0.00,29.00,0.00,664.00,2,633,2.46,2.76,2.57,0,617308,15684120,96.21,61248,12557312,5112584,31.36,8746976,6487580,1764,lo,81.00,81.00,22.81,22.81,0.00,0.00,0.00,0.00,0.00,324.00,1702.00,0.00,2554.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2860.00
20:47:11,43.00,0.00,9.50,0.00,0.00,47.50,13.00,0.00,120.00,9.23,0.02,1.23,1.23,1.60,13.00,0.00,13.00,0.00,120.00,3,620,2.46,2.76,2.57,0,1074384,15227044,93.41,61248,12439920,4799888,29.44,8402952,6376824,1796,lo,64.00,64.00,10.49,10.49,0.00,0.00,0.00,0.00,0.00,64.00,19930.00,0.00,129410.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,74.00,3355.00
20:47:12,88.89,0.00,6.06,0.00,0.00,5.05,30.00,240.00,0.00,8.00,0.03,0.93,0.27,0.80,30.00,30.00,0.00,240.00,0.00,3,619,2.46,2.76,2.57,0,992188,15309240,93.91,61372,12440056,4799888,29.44,8484828,6376956,1932,lo,6.00,6.00,0.57,0.57,0.00,0.00,0.00,0.00,4.00,4.00,21761.00,0.00,3798.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2919.00
20:47:13,94.47,0.00,2.51,0.00,0.00,3.02,6.00,16.00,208.00,37.33,0.00,0.00,0.00,0.00,6.00,2.00,4.00,16.00,208.00,2,619,2.46,2.76,2.57,0,957964,15343464,94.12,61380,12440060,4956172,30.40,8518708,6376956,1832,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,124.00,104.00,9782.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2724.00
20:47:14,72.36,0.00,3.52,9.05,0.00,15.08,124.00,0.00,3144.00,25.35,0.20,1.61,1.45,18.00,124.00,0.00,124.00,0.00,3144.00,2,625,2.43,2.75,2.57,0,883996,15417432,94.58,61660,12440064,4907712,30.11,8593092,6376760,1932,lo,6.00,6.00,1.08,1.08,0.00,0.00,0.00,0.00,0.00,1572.00,19636.00,0.00,763.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.94,2499.01
20:47:15,80.40,0.00,6.53,0.00,0.00,13.07,8.00,0.00,40.00,5.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,40.00,2,595,2.43,2.75,2.57,0,1221324,15080104,92.51,61660,12439444,4233152,25.97,8257192,6376680,1920,lo,26.00,26.00,2.74,2.74,0.00,0.00,0.00,0.00,0.00,20.00,11283.00,0.00,95669.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3002.00
20:47:16,96.48,0.00,3.02,0.00,0.00,0.50,11.00,24.00,32.00,5.09,0.00,0.36,0.36,0.40,11.00,3.00,8.00,24.00,32.00,2,597,2.43,2.75,2.57,0,1220620,15080808,92.51,61672,12418840,4233152,25.97,8274404,6360388,2900,lo,95.00,95.00,1172.92,1172.92,0.00,0.00,0.00,0.00,12.00,16.00,5531.00,0.00,6109.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3810.00
20:47:17,96.02,0.00,1.99,0.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,598,2.43,2.75,2.57,0,1199076,15102352,92.64,61680,12418784,4303000,26.40,8296320,6360416,2856,lo,6.00,6.00,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,6761.00,0.00,1360.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3244.00
20:47:18,69.04,0.00,1.52,0.00,0.00,29.44,69.00,8.00,984.00,14.38,0.14,1.97,0.35,2.40,69.00,1.00,68.00,8.00,984.00,1,601,2.43,2.75,2.57,0,1186752,15114676,92.72,61680,12418792,4315428,26.47,8308368,6360420,2124,lo,32.00,32.00,3.75,3.75,0.00,0.00,0.00,0.00,4.00,492.00,4420.00,0.00,804.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,1787.00
20:47:19,76.50,0.00,1.50,0.00,0.00,22.00,4.00,8.00,680.00,172.00,0.02,6.00,5.00,2.00,4.00,1.00,3.00,8.00,680.00,3,600,2.31,2.72,2.56,0,1174244,15127184,92.80,61696,12418800,4315428,26.47,8320964,6360420,2448,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,340.00,3226.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1810.00
