timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:34:23,7.53,0.00,0.63,0.25,0.00,91.59,50.00,16.00,912.00,18.56,0.03,0.64,0.64,3.20,50.00,2.00,48.00,16.00,912.00,1,760,1.75,1.58,1.69,0,9075060,7225552,44.33,124092,4001860,5272580,32.35,4002448,2906284,407968,lo,131.00,131.00,29.63,29.63,0.00,0.00,0.00,0.00,8.00,456.00,1848.00,0.00,2069.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,4905.00
21:34:24,19.62,0.00,2.25,0.12,0.00,78.00,6.00,24.00,80.00,17.33,0.00,0.67,0.67,0.40,6.00,3.00,3.00,24.00,80.00,2,746,1.75,1.58,1.69,0,9388848,6911764,42.40,124108,4001968,4967196,30.47,3693208,2906416,408168,lo,12.00,12.00,0.88,0.88,0.00,0.00,0.00,0.00,12.00,40.00,42350.00,0.00,115393.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,92.00,7143.00
21:34:25,34.88,0.00,1.25,1.25,0.00,62.62,36.00,288.00,0.00,8.00,2.52,70.00,3.33,12.00,36.00,36.00,0.00,288.00,0.00,2,746,1.75,1.58,1.69,0,9274644,7025968,43.10,124256,4001972,5089992,31.23,3807980,2906416,408196,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,144.00,0.00,31491.00,0.00,29542.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5090.00
21:34:26,25.09,0.00,1.38,0.88,0.00,72.65,140.00,16.00,3216.00,23.09,0.14,1.00,0.86,12.00,140.00,2.00,138.00,16.00,3216.00,3,752,1.75,1.58,1.69,0,9319716,6980896,42.83,124520,3884852,5080584,31.17,3873028,2795652,408308,lo,9.00,9.00,3.61,3.61,0.00,0.00,0.00,0.00,8.00,1608.00,13992.00,0.00,262.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4803.00
21:34:27,41.93,0.00,0.75,0.25,0.00,57.07,2.00,16.00,0.00,8.00,0.02,10.00,10.00,2.00,2.00,2.00,0.00,16.00,0.00,2,754,1.85,1.60,1.70,0,9264240,7036372,43.17,124528,3884856,5166080,31.69,3928292,2795652,408312,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,8.00,0.00,18787.00,0.00,4246.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4657.00
21:34:28,14.32,0.00,0.50,0.13,0.00,85.05,73.00,16.00,125112.00,1714.08,4.88,66.79,1.42,10.40,73.00,2.00,71.00,16.00,125112.00,1,715,1.85,1.60,1.70,0,9690668,6609944,40.55,124540,3884248,4435368,27.21,3502244,2795568,345800,lo,55.00,55.00,6.11,6.11,0.00,0.00,0.00,0.00,8.00,62556.00,4668.00,0.00,111956.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2562.00
21:34:29,29.95,0.00,1.38,0.38,0.00,68.30,26.00,16.00,104.00,4.62,0.04,1.38,1.38,3.60,26.00,2.00,24.00,16.00,104.00,9,717,1.85,1.60,1.70,0,10020104,6280508,38.53,124548,3545880,4431312,27.18,3393684,2585816,283596,lo,124.00,124.00,337.06,337.06,0.00,0.00,0.00,0.00,8.00,52.00,7690.00,0.00,89373.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6728.00
21:34:30,27.33,0.00,2.90,1.89,0.00,67.88,466.00,16.00,1936.00,4.19,0.27,0.58,0.58,27.20,466.00,2.00,464.00,16.00,1936.00,0,720,1.85,1.60,1.70,0,9954536,6346076,38.93,124556,3599680,4497836,27.59,3408116,2636620,337400,lo,3814.00,3814.00,53776.51,53776.51,0.00,0.00,0.00,0.00,8.00,968.00,4807.00,0.00,16177.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,230.00,24613.00
21:34:31,2.62,0.00,0.75,0.50,0.00,96.13,76.00,16.00,1016.00,13.58,0.06,0.84,0.74,5.60,75.00,1.00,74.00,8.00,1016.00,0,720,1.85,1.60,1.70,0,9928668,6371944,39.09,124572,3625304,4499552,27.60,3409780,2660800,363092,lo,1441.00,1441.00,25671.88,25671.88,0.00,0.00,0.00,0.00,8.00,508.00,1577.00,0.00,7596.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,6714.00
21:34:32,0.38,0.00,0.13,0.25,0.00,99.25,18.00,16.00,64.00,4.44,0.02,0.89,0.89,1.60,19.00,3.00,16.00,24.00,64.00,0,719,1.70,1.58,1.69,0,9928560,6372052,39.09,124584,3625348,4499552,27.60,3409824,2660844,363136,lo,68.00,68.00,36.58,36.58,0.00,0.00,0.00,0.00,8.00,32.00,133.00,0.00,341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,1606.00
21:34:33,7.28,0.00,0.25,0.38,0.00,92.10,64.00,16.00,408.00,6.62,0.05,0.75,0.75,4.80,63.00,1.00,62.00,8.00,408.00,1,720,1.70,1.58,1.69,0,9915012,6385600,39.17,124588,3630200,4497132,27.59,3419092,2665352,367936,lo,421.00,421.00,4842.35,4842.35,0.00,0.00,0.00,0.00,8.00,204.00,3949.00,0.00,2492.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,3569.00
21:34:34,0.50,0.00,0.13,0.25,0.00,99.12,19.00,24.00,64.00,4.63,0.02,1.26,1.26,2.40,20.00,4.00,16.00,32.00,64.00,0,720,1.70,1.58,1.69,0,9918780,6381832,39.15,124604,3632080,4497132,27.59,3413076,2667116,369816,lo,153.00,153.00,1881.36,1881.36,0.00,0.00,0.00,0.00,12.00,32.00,252.00,0.00,2458.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,1959.00
