timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:44:00,10.28,0.00,1.63,0.25,0.00,87.84,6.00,16.00,144.00,26.67,0.02,4.00,4.00,2.40,6.00,2.00,4.00,16.00,144.00,1,832,3.04,2.45,2.39,0,8971596,7329016,44.96,164284,4205724,5796296,35.56,3534888,3494464,400632,lo,11.00,11.00,0.98,0.98,0.00,0.00,0.00,0.00,8.00,72.00,34885.00,0.00,43914.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,67.00,4929.00
13:44:01,24.62,0.00,1.01,0.00,0.00,74.37,4.00,24.00,8.00,8.00,0.02,4.00,5.00,2.00,5.00,3.00,2.00,24.00,384.00,3,851,3.04,2.45,2.39,2,8892584,7408028,45.45,164296,4205728,5912908,36.27,3613384,3494464,400636,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,0.00,21605.00,0.00,1149.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,5511.00
13:44:02,55.74,0.00,2.87,0.37,0.00,41.02,6.00,24.00,392.00,69.33,0.01,2.67,2.00,1.20,5.00,3.00,2.00,24.00,16.00,3,895,3.27,2.50,2.41,0,8603368,7697244,47.22,164320,4205772,6498220,39.86,3901004,3494500,400824,lo,35.00,35.00,11.01,11.01,0.00,0.00,0.00,0.00,12.00,200.00,76159.00,0.00,3124.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,8210.00
13:44:03,51.69,0.00,2.37,0.12,0.00,45.82,37.00,24.00,63336.00,1712.43,6.99,65.30,2.59,9.60,40.00,3.00,37.00,24.00,69856.00,2,918,3.27,2.50,2.41,0,8485368,7815244,47.94,164332,4205780,6613032,40.57,4017872,3494488,319996,lo,43.00,43.00,5.47,5.47,0.00,0.00,0.00,0.00,12.00,80836.00,29763.00,0.00,579.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,10931.00
13:44:04,35.56,0.00,1.26,0.00,0.00,63.18,59.00,24.00,98464.00,1669.29,1.00,94.37,0.95,5.60,56.00,3.00,53.00,24.00,91944.00,5,932,3.27,2.50,2.41,0,8378476,7922136,48.60,164344,4205848,6655536,40.83,4124232,3494496,320004,lo,113.00,113.00,70.15,70.15,0.00,0.00,0.00,0.00,12.00,64.00,28367.00,0.00,2002.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,6495.00
13:44:05,29.49,0.00,4.77,0.00,0.00,65.75,78.00,16.00,153352.00,1966.26,6.98,89.54,1.90,14.80,78.00,2.00,76.00,16.00,153352.00,5,929,3.27,2.50,2.41,0,8079332,8221280,50.44,164352,4359140,6882180,42.22,4341124,3571040,396620,lo,2052.00,2052.00,76747.64,76747.64,0.00,0.00,0.00,0.00,8.00,76676.00,39737.00,0.00,17462.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,16809.00
13:44:06,77.06,0.00,1.65,0.00,0.00,21.29,3.00,24.00,0.00,8.00,0.00,0.00,1.33,0.40,4.00,3.00,1.00,24.00,520.00,9,937,3.27,2.50,2.41,2,8039492,8261120,50.68,164364,4359140,6898468,42.32,4380096,3571040,396620,lo,2505.00,2505.00,82469.45,82469.45,0.00,0.00,0.00,0.00,12.00,0.00,10087.00,0.00,707.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,11318.00
13:44:07,92.52,0.00,2.92,0.00,0.00,4.56,5.00,24.00,528.00,110.40,0.01,3.20,2.40,1.20,4.00,3.00,1.00,24.00,8.00,9,937,3.65,2.60,2.44,0,8045252,8255360,50.64,164384,4359140,6898468,42.32,4373916,3571036,396784,lo,6463.00,6463.00,241452.15,241452.15,0.00,0.00,0.00,0.00,12.00,264.00,314.00,0.00,2831.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8393.00
13:44:08,53.16,0.00,2.78,0.76,0.00,43.31,53.00,24.00,13208.00,249.66,8.15,8.30,2.26,12.00,53.00,3.00,50.00,24.00,13208.00,0,865,3.65,2.60,2.44,1,8510276,7790336,47.79,164396,4282532,6305536,38.68,3918436,3566560,275372,lo,584.00,584.00,217.26,217.26,0.00,0.00,0.00,0.00,12.00,121608.00,15559.00,0.00,132053.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,93.00,16005.00
13:44:09,12.78,0.00,2.01,2.01,0.00,83.21,141.00,40.00,230168.00,1632.68,29.86,266.47,4.03,56.80,141.00,5.00,136.00,40.00,230168.00,5,831,3.65,2.60,2.44,0,8907156,7393456,45.36,164416,4282452,5792588,35.54,3523760,3566564,275424,lo,13.00,13.00,18.43,18.43,0.00,0.00,0.00,0.00,20.00,80.00,32139.00,0.00,126455.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,88.00,5777.00
