timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:13:07,66.25,0.00,2.78,1.52,0.00,29.46,149.00,16.00,4864.00,32.75,0.14,0.97,0.94,14.00,144.00,2.00,142.00,16.00,4760.00,3,919,2.37,2.39,1.67,1,27432232,5383444,16.41,77964,1690544,7266456,22.14,4005220,1153280,77608,lo,66.00,66.00,8.57,8.57,0.00,0.00,0.00,0.00,8.00,2384.00,39228.00,0.00,4155.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,5981.00
13:13:08,19.12,0.00,0.88,4.50,0.00,75.50,545.00,8.00,8672.00,15.93,0.52,0.96,0.83,45.20,550.00,1.00,549.00,8.00,8776.00,3,925,2.37,2.39,1.67,0,27439928,5375748,16.38,78900,1691352,7284232,22.20,3996580,1153688,77716,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,4384.00,2944.00,0.00,5310.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,7728.00
13:13:09,31.87,0.00,0.88,1.51,0.00,65.75,193.00,24.00,3616.00,18.86,0.18,0.91,0.89,17.20,193.00,3.00,190.00,24.00,3616.00,3,918,2.37,2.39,1.67,0,27409164,5406512,16.48,79208,1692016,7341652,22.37,4028360,1153140,78280,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,1808.00,8769.00,0.00,924.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,6616.00
13:13:10,20.38,0.00,1.00,5.12,0.00,73.50,545.00,24.00,9104.00,16.75,0.56,1.03,0.93,50.80,542.00,3.00,539.00,24.00,9080.00,2,919,2.34,2.38,1.67,1,27446132,5369544,16.36,79996,1692896,7368744,22.45,3990764,1153428,78572,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,12.00,4540.00,1912.00,0.00,11515.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8781.00
13:13:11,23.77,0.00,1.13,1.26,0.00,73.84,166.00,8.00,3488.00,21.06,0.16,0.99,0.67,11.20,169.00,1.00,168.00,8.00,3512.00,4,921,2.34,2.38,1.67,0,27434460,5381216,16.40,80200,1693256,7354152,22.41,4001616,1153584,78268,lo,49.00,49.00,6.39,6.39,0.00,0.00,0.00,0.00,4.00,1756.00,5508.00,0.00,1911.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,5486.00
13:13:12,19.47,0.00,0.88,0.00,0.00,79.65,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,3,917,2.34,2.38,1.67,0,27419180,5396496,16.44,80208,1693260,7367704,22.45,4016604,1153576,78276,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,8.00,0.00,5911.00,0.00,1642.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,7087.00
13:13:13,39.06,0.00,0.88,0.76,0.00,59.29,73.00,16.00,1080.00,15.01,0.08,1.15,1.04,7.60,73.00,2.00,71.00,16.00,1080.00,7,916,2.34,2.38,1.67,0,27388816,5426860,16.54,80336,1693272,7367704,22.45,4047960,1153568,78184,lo,59.00,59.00,8.82,8.82,0.00,0.00,0.00,0.00,8.00,540.00,8064.00,0.00,243.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,6711.00
13:13:14,30.29,0.00,1.13,0.25,0.00,68.34,39.00,288.00,128.00,10.67,0.14,3.69,0.41,1.60,39.00,36.00,3.00,288.00,128.00,4,919,2.34,2.38,1.67,0,27375672,5440004,16.58,80480,1693348,7383916,22.50,4061332,1153572,78200,lo,60.00,60.00,62.79,62.79,0.00,0.00,0.00,0.00,144.00,64.00,5589.00,0.00,2476.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,8539.00
13:13:15,34.34,0.00,4.28,0.00,0.00,61.38,76.00,0.00,153352.00,2017.79,7.87,103.58,1.95,14.80,76.00,0.00,76.00,0.00,153352.00,5,922,2.39,2.39,1.68,0,27104216,5711460,17.40,80496,1846640,7626496,23.24,4253480,1230092,154816,lo,2052.00,2052.00,76759.21,76759.21,0.00,0.00,0.00,0.00,0.00,76676.00,29804.00,0.00,14052.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,18810.00
13:13:16,41.60,0.00,1.88,0.13,0.00,56.39,4.00,32.00,0.00,8.00,0.04,10.00,10.00,4.00,4.00,4.00,0.00,32.00,0.00,10,934,2.39,2.39,1.68,0,27046488,5769188,17.58,80512,1846644,7639688,23.28,4310800,1230068,154820,lo,211.00,211.00,213.26,213.26,0.00,0.00,0.00,0.00,16.00,0.00,15153.00,0.00,755.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,11838.00
