timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:44:53,51.26,0.00,2.02,0.00,0.00,46.72,78.00,24.00,17080.00,219.28,0.80,10.26,0.26,2.00,78.00,3.00,75.00,24.00,17080.00,0,723,1.67,0.99,0.41,0,12971716,3329440,20.42,46336,709940,5852920,35.90,2922580,263640,53332,lo,26.00,26.00,2.35,2.35,0.00,0.00,0.00,0.00,12.00,8540.00,25247.00,0.00,911.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3386.00
12:44:54,26.53,0.00,6.89,0.00,0.00,66.58,6.00,24.00,136.00,26.67,0.00,0.00,0.00,0.00,6.00,3.00,3.00,24.00,136.00,1,686,1.67,0.99,0.41,0,13351532,2949624,18.09,46428,732480,5078524,31.15,2516564,285928,75876,lo,26.00,26.00,2.91,2.91,0.00,0.00,0.00,0.00,12.00,68.00,39539.00,0.00,139152.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,3849.00
12:44:55,26.88,0.00,10.55,1.26,0.00,61.31,5.00,8.00,16.00,4.80,0.31,0.80,4.00,2.00,5.00,1.00,4.00,8.00,16.00,0,690,1.67,0.99,0.41,6,13192600,3108556,19.07,46464,758588,5105248,31.32,2630464,312600,102120,lo,44.00,44.00,55.34,55.34,0.00,0.00,0.00,0.00,4.00,8.00,29937.00,0.00,14378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2544.00
12:44:56,18.66,0.00,9.95,2.24,0.00,69.15,26.00,16.00,16632.00,640.31,0.68,38.00,2.00,5.20,26.00,2.00,24.00,16.00,16632.00,2,689,1.67,0.99,0.41,0,13037784,3263372,20.02,46524,849320,5105248,31.32,2676828,401148,201068,lo,11.00,11.00,1.82,1.82,0.00,0.00,0.00,0.00,8.00,8316.00,11164.00,0.00,357.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2024.00
12:44:57,61.21,0.00,2.52,0.00,0.00,36.27,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,1,691,1.67,0.99,0.41,0,12959680,3341476,20.50,46536,849324,5164048,31.68,2755012,401100,201072,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,12.00,0.00,20195.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3520.00
12:44:58,21.89,0.00,1.74,0.50,0.00,75.87,68.00,16.00,1072.00,16.00,0.04,0.65,0.65,4.40,68.00,2.00,66.00,16.00,1072.00,0,696,1.69,1.00,0.42,0,12941560,3359596,20.61,46544,849420,5113260,31.37,2772032,401168,200760,lo,255.00,255.00,32.49,32.49,0.00,0.00,0.00,0.00,8.00,536.00,5146.00,0.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,3954.00
12:44:59,46.70,0.00,4.31,1.52,0.00,47.46,84.00,16.00,336.00,4.19,0.06,0.67,0.67,5.60,84.00,2.00,82.00,16.00,336.00,2,696,1.69,1.00,0.42,0,12879060,3422096,20.99,46556,901436,5138852,31.52,2784228,450312,252784,lo,2555.00,2555.00,52119.82,52119.82,0.00,0.00,0.00,0.00,8.00,168.00,5609.00,0.00,14617.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,10148.00
12:45:00,26.88,0.00,2.01,1.01,0.00,70.10,7.00,16.00,24.00,5.71,0.25,1.14,3.43,2.40,7.00,2.00,5.00,16.00,24.00,0,709,1.69,1.00,0.42,6,12788472,3512684,21.55,46592,953172,5167008,31.70,2823472,498812,304644,lo,1599.00,1599.00,51942.05,51942.05,0.00,0.00,0.00,0.00,8.00,8.00,12497.00,0.00,3339.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.72,3503.96
12:45:01,53.13,0.00,5.01,0.75,0.00,41.10,19.00,16.00,13936.00,734.32,0.41,34.32,2.32,4.40,19.00,2.00,17.00,16.00,13936.00,4,730,1.69,1.00,0.42,0,12675372,3625784,22.24,46604,953400,5618500,34.47,2935260,498948,311504,lo,49.00,49.00,110.88,110.88,0.00,0.00,0.00,0.00,8.00,6972.00,31859.00,0.00,3062.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,6268.00
12:45:02,54.89,0.00,3.26,0.00,0.00,41.85,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,16.00,0.00,1,733,1.69,1.00,0.42,0,12620112,3681044,22.58,46608,953396,5693404,34.93,2989776,498876,311504,lo,48.00,48.00,6.72,6.72,0.00,0.00,0.00,0.00,8.00,0.00,15472.00,0.00,1771.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,3570.00
