timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:18:56,35.93,0.00,4.77,0.50,0.00,58.79,17.00,0.00,2608.00,153.41,0.05,2.82,1.65,2.80,17.00,0.00,17.00,0.00,2608.00,3,666,2.62,2.32,2.42,0,10585828,5715328,35.06,110392,2875004,4901784,30.07,3465056,1987964,237580,lo,24.00,24.00,1.98,1.98,0.00,0.00,0.00,0.00,0.00,1304.00,36465.00,0.00,110759.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,5531.00
21:18:57,75.81,0.00,2.24,0.00,0.00,21.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,667,2.62,2.32,2.42,0,10629072,5672084,34.80,110392,2757884,5045012,30.95,3531312,1877388,120468,lo,6.00,6.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,19582.00,0.00,30131.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3318.00
21:18:58,47.49,0.00,1.76,3.77,0.00,46.98,137.00,8.00,2960.00,21.66,0.21,1.55,1.34,18.40,137.00,1.00,136.00,8.00,2960.00,4,674,2.62,2.32,2.42,0,10546532,5754624,35.30,110680,2757884,5026024,30.83,3614840,1877196,120392,lo,7.00,7.00,0.62,0.62,0.00,0.00,0.00,0.00,4.00,1480.00,22378.00,0.00,278.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4147.00
21:18:59,65.34,0.00,1.50,0.00,0.00,33.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,673,2.62,2.32,2.42,0,10482316,5818840,35.70,110680,2757884,5042832,30.94,3678708,1877196,120392,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,16613.00,0.00,652.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2866.00
21:19:00,69.17,0.00,2.76,0.00,0.00,28.07,8.00,16.00,672.00,86.00,0.02,2.50,2.50,2.00,8.00,2.00,6.00,16.00,672.00,1,641,2.62,2.32,2.42,0,10889628,5411528,33.20,110688,2757280,4375924,26.84,3272144,1877120,119524,lo,38.00,38.00,4.08,4.08,0.00,0.00,0.00,0.00,8.00,336.00,10729.00,0.00,112958.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2883.00
21:19:01,37.69,0.00,1.26,0.25,0.00,60.80,15.00,24.00,48.00,4.80,0.01,0.80,0.80,1.20,15.00,3.00,12.00,24.00,48.00,3,644,2.65,2.33,2.43,0,10896464,5404692,33.16,110700,2736724,4377440,26.85,3282736,1860332,98984,lo,67.00,67.00,247.03,247.03,0.00,0.00,0.00,0.00,12.00,24.00,6068.00,0.00,7300.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4001.00
21:19:02,61.11,0.00,1.01,0.00,0.00,37.88,5.00,24.00,8.00,6.40,0.00,0.00,0.00,0.00,5.00,3.00,2.00,24.00,8.00,1,643,2.65,2.33,2.43,0,10879616,5421540,33.26,110712,2736732,4455148,27.33,3300428,1860332,98992,lo,31.00,31.00,4.58,4.58,0.00,0.00,0.00,0.00,12.00,4.00,4568.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3511.00
21:19:03,64.14,0.00,4.04,1.77,0.00,30.05,97.00,8.00,984.00,10.23,0.11,1.11,1.07,10.40,113.00,1.00,112.00,8.00,1048.00,1,647,2.65,2.33,2.43,0,10862160,5438996,33.37,110728,2744540,4455148,27.33,3309884,1867680,106820,lo,518.00,518.00,6683.62,6683.62,0.00,0.00,0.00,0.00,4.00,492.00,2873.00,0.00,2299.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,5380.00
21:19:04,23.45,0.00,3.35,5.15,0.00,68.04,384.00,0.00,1608.00,4.19,0.29,0.75,0.75,28.80,368.00,0.00,368.00,0.00,1544.00,0,647,2.65,2.33,2.43,0,10814064,5487092,33.66,110728,2790540,4455148,27.33,3314636,1911060,152820,lo,3192.00,3192.00,47072.13,47072.13,0.00,0.00,0.00,0.00,0.00,804.00,2594.00,0.00,14507.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,201.00,15100.00
21:19:05,6.52,0.00,2.26,4.01,0.00,87.22,471.29,0.00,193829.70,411.28,15.31,32.49,0.67,31.68,476.00,0.00,476.00,0.00,195768.00,0,647,2.65,2.33,2.43,0,10785008,5516148,33.84,110728,2819160,4466344,27.40,3316708,1938116,83520,lo,1589.00,1589.00,28640.78,28640.78,0.00,0.00,0.00,0.00,0.00,97884.00,1911.00,0.00,8773.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,69.00,6147.00
