timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:19:23,38.10,0.00,3.51,0.00,0.00,58.40,8.00,24.00,168.00,24.00,0.01,1.00,1.00,0.80,8.00,3.00,5.00,24.00,168.00,4,726,1.97,2.59,2.60,0,11288796,5012360,30.75,123816,2330040,5146220,31.57,3101440,1693540,154560,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,12.00,84.00,27212.00,0.00,37516.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,4468.00
13:19:24,29.00,0.00,1.50,0.00,0.00,69.50,4.00,24.00,64.00,22.00,0.01,3.00,3.00,1.20,4.00,3.00,1.00,24.00,64.00,1,721,1.82,2.55,2.59,0,11368960,4932196,30.26,123828,2330012,4828428,29.62,3019832,1693500,154536,lo,21.00,21.00,2.94,2.94,0.00,0.00,0.00,0.00,12.00,32.00,16897.00,0.00,36566.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,2094.00
13:19:25,41.48,0.00,3.05,0.25,0.00,55.22,11.00,64.00,408.00,42.91,0.01,0.73,0.73,0.80,11.00,6.00,5.00,64.00,408.00,2,726,1.82,2.55,2.59,0,11254500,5046656,30.96,123840,2330068,5274280,32.36,3134152,1693372,154604,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,32.00,204.00,38514.00,0.00,7770.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,4760.00
13:19:26,50.51,0.00,2.28,0.00,0.00,47.21,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,3.00,3.00,0.00,24.00,0.00,5,757,1.82,2.55,2.59,0,11172372,5128784,31.46,123852,2330076,5270004,32.33,3215712,1693364,154612,lo,9.00,9.00,1.14,1.14,0.00,0.00,0.00,0.00,12.00,0.00,20907.00,0.00,410.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,4502.00
13:19:27,90.50,0.00,5.75,0.00,0.00,3.75,3.00,16.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00,24.00,8.00,6,779,1.82,2.55,2.59,0,10939696,5361460,32.89,123864,2330112,5684644,34.87,3447164,1693356,154648,lo,34.00,34.00,10.67,10.67,0.00,0.00,0.00,0.00,12.00,4.00,62340.00,0.00,3789.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.77,4557.43
13:19:28,81.31,0.00,3.79,0.00,0.00,14.90,15.00,32.00,888.00,61.33,0.01,0.53,0.53,0.80,14.00,3.00,11.00,24.00,888.00,4,792,1.82,2.55,2.59,0,10867708,5433448,33.33,123880,2330176,5904120,36.22,3518828,1693328,154268,lo,35.00,35.00,8.89,8.89,0.00,0.00,0.00,0.00,12.00,444.00,18314.00,0.00,506.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4196.00
13:19:29,57.93,0.00,10.33,0.50,0.00,31.23,78.00,16.00,153352.00,1966.26,6.94,89.03,1.59,12.40,78.00,2.00,76.00,16.00,153352.00,6,809,1.83,2.54,2.58,0,10554212,5746944,35.25,123888,2483472,6027976,36.98,3751504,1770060,230888,lo,2115.00,2115.00,76757.27,76757.27,0.00,0.00,0.00,0.00,8.00,76676.00,43159.00,0.00,17021.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,14346.00
13:19:30,63.66,0.00,2.51,0.25,0.00,33.58,3.00,24.00,0.00,8.00,0.02,5.33,5.33,1.60,5.00,3.00,2.00,24.00,440.00,5,820,1.83,2.54,2.58,0,10445148,5856008,35.92,123900,2483472,6170120,37.85,3860916,1769988,230888,lo,135.00,135.00,92.10,92.10,0.00,0.00,0.00,0.00,12.00,220.00,30954.00,0.00,3206.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4090.00
13:19:31,76.63,0.00,4.02,0.75,0.00,18.59,63.00,1032.00,440.00,23.37,0.04,0.70,0.70,4.40,61.00,61.00,0.00,1032.00,0.00,5,825,1.83,2.54,2.58,0,10354296,5946860,36.48,124112,2484088,6170120,37.85,3951012,1770184,231052,lo,865.00,865.00,634.12,634.12,0.00,0.00,0.00,0.00,516.00,0.00,22748.00,0.00,387.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,9470.00
13:19:32,91.88,0.00,3.55,0.00,0.00,4.57,24.00,408.00,0.00,17.00,0.03,1.17,1.17,2.80,26.00,26.00,0.00,424.00,0.00,5,825,1.83,2.54,2.58,0,10349272,5951884,36.51,124200,2484308,6170120,37.85,3955408,1770100,231220,lo,878.00,878.00,464.71,464.71,0.00,0.00,0.00,0.00,212.00,0.00,2968.00,0.00,1977.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,6487.00
