timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:50:55,45.48,0.00,1.26,3.27,0.00,50.00,179.00,8.00,3240.00,18.15,0.18,1.03,0.89,16.00,178.00,1.00,177.00,8.00,3248.00,0,749,2.93,3.15,2.96,1,1370252,6673368,82.96,182664,3583832,5064104,62.96,3379540,3009544,29476,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,4.00,1668.00,4252.00,0.00,214.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4044.00
13:50:56,45.34,0.00,1.26,1.76,0.00,51.64,81.00,8.00,1944.00,24.10,0.10,1.23,0.99,8.00,100.00,1.00,99.00,8.00,2424.00,1,752,2.93,3.15,2.96,0,1349496,6694124,83.22,182768,3583864,5065952,62.98,3399076,3009532,29024,lo,43.00,43.00,5.18,5.18,0.00,0.00,0.00,0.00,4.00,1168.00,6055.00,0.00,769.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4318.00
13:50:57,56.14,0.00,1.25,0.25,0.00,42.36,48.00,8.00,600.00,12.67,0.06,1.25,0.92,4.40,46.00,1.00,45.00,8.00,592.00,1,753,2.85,3.14,2.96,0,1324340,6719280,83.54,182820,3583904,5106800,63.49,3424408,3009528,28968,lo,78.00,78.00,18.92,18.92,0.00,0.00,0.00,0.00,4.00,296.00,6778.00,0.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3947.00
13:50:58,63.75,0.00,2.25,1.00,0.00,33.00,41.00,8.00,168.00,4.29,0.04,1.07,1.07,4.40,43.00,1.00,42.00,8.00,176.00,0,752,2.85,3.14,2.96,0,1292952,6750668,83.93,182824,3601264,5122612,63.69,3438884,3025892,46328,lo,805.00,805.00,17414.80,17414.80,0.00,0.00,0.00,0.00,4.00,88.00,4992.00,0.00,4605.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,5437.00
13:50:59,40.30,0.00,3.53,0.00,0.00,56.17,8.00,24.00,24.00,6.00,0.01,1.00,1.00,0.80,8.00,3.00,5.00,24.00,24.00,1,778,2.85,3.14,2.96,0,1198804,6844816,85.10,182836,3618784,5409616,67.25,3516000,3042212,63828,lo,705.00,705.00,17407.25,17407.25,0.00,0.00,0.00,0.00,12.00,12.00,23320.00,0.00,4028.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,93.00,6908.00
13:51:00,56.82,0.00,2.53,0.00,0.00,40.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,783,2.85,3.14,2.96,0,1121784,6921836,86.05,182836,3618776,5475392,68.07,3592592,3041980,63820,lo,38.00,38.00,4.77,4.77,0.00,0.00,0.00,0.00,0.00,0.00,20875.00,0.00,988.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2910.00
13:51:01,66.75,0.00,2.27,0.00,0.00,30.98,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,3.00,3.00,0.00,24.00,0.00,3,799,2.85,3.14,2.96,0,981996,7061624,87.79,182848,3618784,5616620,69.83,3732296,3041932,63828,lo,43.00,43.00,5.79,5.79,0.00,0.00,0.00,0.00,12.00,0.00,35686.00,0.00,1596.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,3127.00
13:51:02,82.96,0.00,2.51,0.50,0.00,14.04,11.00,24.00,632.00,59.64,0.01,1.09,1.09,1.20,11.00,3.00,8.00,24.00,632.00,8,849,2.87,3.13,2.96,0,918620,7125000,88.58,182872,3619052,5710812,71.00,3793908,3042036,64208,lo,83.00,83.00,232.30,232.30,0.00,0.00,0.00,0.00,12.00,316.00,17595.00,0.00,2192.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,63.00,3696.00
13:51:03,11.31,0.00,0.50,0.00,0.00,88.19,5.00,24.00,8.00,6.40,0.00,0.80,0.80,0.40,4.00,2.00,2.00,16.00,8.00,0,846,2.87,3.13,2.96,0,911292,7132328,88.67,182884,3619024,5710812,71.00,3801224,3042064,64180,lo,16.00,16.00,2.64,2.64,0.00,0.00,0.00,0.00,12.00,4.00,3503.00,0.00,369.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,1756.00
13:51:04,14.61,0.00,1.26,0.00,0.00,84.13,16.00,24.00,13864.00,868.00,0.36,22.50,3.50,5.60,17.00,4.00,13.00,32.00,13864.00,3,868,2.87,3.13,2.96,0,875804,7167816,89.11,182900,3619288,6059072,75.33,3835284,3041968,57480,lo,76.00,76.00,37.76,37.76,0.00,0.00,0.00,0.00,12.00,6932.00,11896.00,0.00,4307.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,2985.00
