timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:59:15,65.23,0.00,1.52,6.60,0.00,26.65,380.00,24.00,6944.00,18.34,0.37,0.97,0.93,35.20,354.00,3.00,351.00,24.00,6488.00,2,749,2.99,3.43,3.23,1,1373028,6670592,82.93,205636,3535284,5032700,62.57,3460236,2921220,3040,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,3280.00,8866.00,0.00,2378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4801.00
13:59:16,57.54,0.00,1.01,6.78,0.00,34.67,323.00,24.00,5760.00,17.91,0.34,1.07,0.98,31.60,349.00,3.00,346.00,24.00,6216.00,2,750,2.99,3.43,3.23,0,1359156,6684464,83.10,205908,3535708,5061996,62.93,3473144,2921320,3004,lo,9.00,9.00,1.13,1.13,0.00,0.00,0.00,0.00,12.00,3072.00,4516.00,0.00,827.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4370.00
13:59:17,47.89,0.00,1.74,1.74,0.00,48.64,74.00,16.00,1216.00,16.65,0.05,0.70,0.70,5.20,74.00,2.00,72.00,16.00,1216.00,1,753,2.91,3.41,3.22,0,1340632,6702988,83.33,205944,3535824,5077772,63.13,3491564,2921324,3044,lo,29.00,29.00,3.59,3.59,0.00,0.00,0.00,0.00,8.00,608.00,4738.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3015.00
13:59:18,57.11,0.00,1.00,2.00,0.00,39.90,109.00,80.00,2424.00,22.97,0.23,2.09,1.76,19.20,108.00,9.00,99.00,72.00,2424.00,2,751,2.91,3.41,3.22,0,1328668,6714952,83.48,206084,3535880,5085716,63.23,3503776,2921320,2520,lo,32.00,32.00,3.61,3.61,0.00,0.00,0.00,0.00,40.00,1212.00,3122.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4975.00
13:59:19,53.10,0.00,5.21,0.25,0.00,41.44,3.00,16.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00,24.00,8.00,1,768,2.91,3.41,3.22,0,1200508,6843112,85.08,206160,3569228,5300340,65.89,3593400,2952996,35868,lo,12.00,12.00,1.67,1.67,0.00,0.00,0.00,0.00,8.00,4.00,25254.00,0.00,2144.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,4325.00
13:59:20,52.02,0.00,5.56,0.00,0.00,42.42,71.00,32.00,1320.00,19.04,0.16,2.31,0.11,0.80,70.00,3.00,67.00,24.00,1320.00,4,770,2.91,3.41,3.22,0,1088316,6955304,86.47,206176,3597468,5381264,66.90,3670092,2980736,63168,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,660.00,20464.00,0.00,1055.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3354.00
13:59:21,52.16,0.00,2.54,0.00,0.00,45.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,1,770,2.91,3.41,3.22,0,990060,7053560,87.69,206176,3597472,5466172,67.96,3768416,2980664,63192,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,4.00,0.00,24625.00,0.00,221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2788.00
13:59:22,42.32,0.00,4.79,0.00,0.00,52.90,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,0,772,2.67,3.35,3.20,0,1030948,7012672,87.18,206184,3537020,5499968,68.38,3797844,2922192,2748,lo,152.00,152.00,539.45,539.45,0.00,0.00,0.00,0.00,8.00,0.00,10194.00,0.00,21064.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2762.00
13:59:23,42.00,0.00,2.75,2.00,0.00,53.25,62.00,0.00,6160.00,99.35,0.37,5.94,1.42,8.80,56.00,0.00,56.00,0.00,6136.00,6,758,2.67,3.35,3.20,0,1291768,6751852,83.94,206204,3555156,5112508,63.56,3524536,2937924,23760,lo,919.00,919.00,17717.23,17717.23,0.00,0.00,0.00,0.00,0.00,3068.00,4286.00,0.00,75611.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,6735.00
13:59:24,38.27,0.00,10.20,0.26,0.00,51.28,32.00,16.00,128.00,4.50,0.04,1.25,1.25,4.00,38.00,2.00,36.00,16.00,152.00,1,763,2.67,3.35,3.20,0,1255600,6788020,84.39,206212,3573688,5125432,63.72,3540428,2954832,42324,lo,986.00,986.00,18150.82,18150.82,0.00,0.00,0.00,0.00,8.00,76.00,6887.00,0.00,5572.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,99.00,4715.00
13:59:25,54.57,0.00,2.54,0.25,0.00,42.64,4.00,24.00,8.00,8.00,0.01,3.00,3.00,1.20,3.00,2.00,1.00,16.00,8.00,1,781,2.67,3.35,3.20,0,1169572,6874048,85.46,206228,3573824,5430236,67.51,3627980,2954748,42432,lo,20.00,20.00,2.91,2.91,0.00,0.00,0.00,0.00,8.00,4.00,25666.00,0.00,3076.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,5843.00
13:59:26,52.27,0.00,2.27,0.00,0.00,45.45,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,2,787,2.67,3.35,3.20,0,1102268,6941352,86.30,206236,3573828,5475980,68.08,3695200,2954500,42436,lo,61.00,61.00,7.65,7.65,0.00,0.00,0.00,0.00,12.00,0.00,19113.00,0.00,3763.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3198.00
13:59:27,75.00,0.00,3.28,0.00,0.00,21.72,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,4,797,2.70,3.35,3.20,0,951108,7092512,88.18,206248,3573832,5648304,70.22,3846248,2954476,42440,lo,9.00,9.00,1.54,1.54,0.00,0.00,0.00,0.00,12.00,0.00,41752.00,0.00,2104.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2957.00
13:59:28,60.25,0.00,1.23,0.25,0.00,38.27,13.00,24.00,664.00,52.92,0.02,1.23,1.23,1.60,11.00,3.00,8.00,24.00,32.00,0,843,2.70,3.35,3.20,0,912584,7131036,88.65,206264,3574072,5715068,71.05,3883812,2954680,42864,lo,92.00,92.00,234.74,234.74,0.00,0.00,0.00,0.00,12.00,328.00,9755.00,0.00,326.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3822.00
13:59:29,2.51,0.00,0.25,0.25,0.00,96.98,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,24.00,632.00,0,842,2.70,3.35,3.20,0,907888,7135732,88.71,206276,3574080,5715068,71.05,3888452,2954672,42872,lo,21.00,21.00,3.44,3.44,0.00,0.00,0.00,0.00,12.00,4.00,1196.00,0.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1607.00
13:59:30,49.62,0.00,5.32,0.00,0.00,45.06,11.00,16.00,784.00,72.73,0.01,0.73,0.73,0.80,11.00,2.00,9.00,16.00,784.00,6,881,2.70,3.35,3.20,0,792324,7251296,90.15,206284,3574356,6067752,75.44,4001840,2954824,42724,lo,70.00,70.00,38.06,38.06,0.00,0.00,0.00,0.00,8.00,392.00,33232.00,0.00,3885.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,5356.00
13:59:31,85.89,0.00,3.02,0.25,0.00,10.83,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,3,884,2.70,3.35,3.20,0,701368,7342252,91.28,206296,3574364,6247328,77.67,4092408,2954792,42732,lo,30.00,30.00,4.84,4.84,0.00,0.00,0.00,0.00,12.00,0.00,24232.00,0.00,529.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,6267.00
13:59:32,95.20,0.00,2.02,0.00,0.00,2.78,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,16.00,0.00,7,892,2.89,3.37,3.21,0,633008,7410612,92.13,206308,3574812,6205776,77.15,4159912,2955240,43188,lo,39.00,39.00,6.87,6.87,0.00,0.00,0.00,0.00,8.00,0.00,17207.00,0.00,222.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5061.00
13:59:33,86.65,0.00,4.53,0.00,0.00,8.82,4.00,16.00,488.00,126.00,0.01,3.00,3.00,1.20,3.00,3.00,0.00,24.00,0.00,5,902,2.89,3.37,3.21,0,349248,7694372,95.66,206320,3574836,6398308,79.55,4444536,2953664,43220,lo,316.00,316.00,3877.23,3877.23,0.00,0.00,0.00,0.00,12.00,240.00,62767.00,0.00,633.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4357.00
13:59:34,96.74,0.00,2.76,0.00,0.00,0.50,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,16.00,488.00,13,898,2.89,3.37,3.21,0,242812,7800808,96.98,206328,3574896,6421976,79.84,4552012,2952136,43372,lo,114.00,114.00,2690.43,2690.43,0.00,0.00,0.00,0.00,8.00,4.00,38437.00,0.00,4056.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3973.00
13:59:35,96.73,0.00,2.27,0.00,0.00,1.01,9.00,16.00,40.00,6.22,0.00,0.44,0.44,0.40,5.00,2.00,3.00,16.00,24.00,9,889,2.89,3.37,3.21,0,215484,7828136,97.32,206336,3574664,6438036,80.04,4578204,2951896,43136,lo,99.00,99.00,33.35,33.35,0.00,0.00,0.00,0.00,8.00,12.00,14722.00,0.00,6197.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,5617.00
13:59:36,50.88,0.00,5.29,0.00,0.00,43.83,7.00,24.00,144.00,24.00,0.00,0.57,0.57,0.40,10.00,2.00,8.00,16.00,160.00,4,881,2.89,3.37,3.21,0,738376,7305244,90.82,206348,3574568,6172100,76.73,4058368,2951736,43008,lo,61.00,61.00,44.71,44.71,0.00,0.00,0.00,0.00,8.00,80.00,41071.00,0.00,170282.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,67.00,5971.00
13:59:37,89.42,0.00,3.02,0.00,0.00,7.56,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,3.00,3.00,0.00,24.00,0.00,6,887,3.05,3.40,3.22,0,676460,7367160,91.59,206356,3574588,6354484,79.00,4119516,2951700,43028,lo,56.00,56.00,12.80,12.80,0.00,0.00,0.00,0.00,12.00,0.00,16949.00,0.00,501.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5472.00
13:59:38,89.85,0.00,3.05,0.25,0.00,6.85,4.00,16.00,520.00,134.00,0.01,2.00,2.00,0.80,2.00,2.00,0.00,16.00,0.00,5,898,3.05,3.40,3.22,0,594532,7449088,92.61,206376,3575036,6310300,78.45,4200448,2952148,43576,lo,42.00,42.00,8.71,8.71,0.00,0.00,0.00,0.00,8.00,256.00,20056.00,0.00,455.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,4511.00
13:59:39,91.90,0.00,4.05,0.00,0.00,4.05,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,16.00,520.00,6,903,3.05,3.40,3.22,0,281480,7762140,96.50,206384,3575068,6543700,81.35,4512428,2952144,43616,lo,306.00,306.00,3805.36,3805.36,0.00,0.00,0.00,0.00,8.00,4.00,71518.00,0.00,967.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4089.00
13:59:40,95.76,0.00,3.49,0.00,0.00,0.75,7.00,24.00,992.00,145.14,0.00,0.57,0.57,0.40,7.00,3.00,4.00,24.00,992.00,4,905,3.05,3.40,3.22,0,201060,7842560,97.50,206396,3575128,6568668,81.66,4593312,2952144,43180,lo,95.00,95.00,2715.32,2715.32,0.00,0.00,0.00,0.00,12.00,496.00,34650.00,0.00,5880.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3991.00
13:59:41,63.54,0.00,2.03,0.00,0.00,34.43,4.00,16.00,128.00,36.00,0.01,2.00,2.00,0.80,4.00,2.00,2.00,16.00,128.00,0,846,3.05,3.40,3.22,0,857540,7186080,89.34,206404,3574568,5817468,72.32,3937644,2951556,42556,lo,106.00,106.00,31.83,31.83,0.00,0.00,0.00,0.00,8.00,64.00,7483.00,0.00,170897.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,5282.00
13:59:42,45.64,0.00,3.49,0.00,0.00,50.87,5.00,24.00,16.00,8.00,0.00,0.80,0.80,0.40,5.00,3.00,2.00,24.00,16.00,4,884,3.13,3.41,3.23,0,737316,7306304,90.83,206416,3574776,6164180,76.63,4059316,2951696,42788,lo,54.00,54.00,38.11,38.11,0.00,0.00,0.00,0.00,12.00,8.00,34077.00,0.00,3348.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5780.00
13:59:43,89.85,0.00,1.78,0.00,0.00,8.38,6.00,24.00,552.00,96.00,0.01,2.00,2.00,1.20,3.00,3.00,0.00,24.00,0.00,5,889,3.13,3.41,3.23,0,675068,7368552,91.61,206436,3574776,6346692,78.90,4121460,2951664,42796,lo,42.00,42.00,8.81,8.81,0.00,0.00,0.00,0.00,12.00,272.00,17281.00,0.00,532.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5493.00
13:59:44,94.75,0.00,2.75,0.00,0.00,2.50,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,1.00,3.00,8.00,552.00,5,897,3.13,3.41,3.23,0,596820,7446800,92.58,206440,3575236,6312304,78.48,4198928,2952112,43316,lo,27.00,27.00,8.38,8.38,0.00,0.00,0.00,0.00,4.00,4.00,21016.00,0.00,916.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4472.00
13:59:45,86.36,0.00,4.55,0.00,0.00,9.09,27.00,16.00,1392.00,52.15,0.11,4.00,0.59,1.60,27.00,2.00,25.00,16.00,1392.00,5,908,3.13,3.41,3.23,0,302756,7740864,96.24,206448,3575300,6537100,81.27,4491804,2952120,42772,lo,330.00,330.00,3701.53,3701.53,0.00,0.00,0.00,0.00,8.00,696.00,73011.00,0.00,577.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,4264.00
13:59:46,95.48,0.00,4.02,0.00,0.00,0.50,1.00,8.00,0.00,8.00,0.00,4.00,4.00,0.40,1.00,1.00,0.00,8.00,0.00,7,908,3.13,3.41,3.23,0,220512,7823108,97.26,206452,3575328,6578788,81.79,4574064,2952076,42820,lo,101.00,101.00,2687.40,2687.40,0.00,0.00,0.00,0.00,4.00,0.00,26855.00,0.00,5902.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4051.00
13:59:47,77.58,0.00,1.51,0.00,0.00,20.91,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,0,888,2.88,3.35,3.21,0,338444,7705176,95.79,206456,3574772,6578788,81.79,4453756,2951548,42272,lo,98.00,98.00,30.85,30.85,0.00,0.00,0.00,0.00,4.00,0.00,9530.00,0.00,3389.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,5258.00
13:59:48,30.90,0.00,3.27,0.00,0.00,65.83,8.00,16.00,720.00,92.00,0.02,2.50,2.50,2.00,5.00,2.00,3.00,16.00,136.00,4,865,2.88,3.35,3.21,0,789872,7253748,90.18,206472,3574848,6025152,74.91,4007456,2951572,42380,lo,39.00,39.00,22.71,22.71,0.00,0.00,0.00,0.00,8.00,356.00,20229.00,0.00,165839.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,4436.00
13:59:49,73.68,0.00,4.26,0.00,0.00,22.06,4.00,24.00,8.00,8.00,0.00,0.00,0.00,0.00,7.00,3.00,4.00,24.00,592.00,4,888,2.88,3.35,3.21,0,682716,7360904,91.51,206484,3575216,6275280,78.02,4113556,2951860,42752,lo,57.00,57.00,25.10,25.10,0.00,0.00,0.00,0.00,12.00,8.00,28315.00,0.00,1957.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,5587.00
