timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:39:44,22.61,0.00,1.51,0.50,0.00,75.38,45.00,904.00,152.00,23.47,0.03,0.80,0.71,3.20,44.00,12.00,32.00,896.00,152.00,1,642,2.99,2.90,2.40,0,784648,7258972,90.25,26544,4533752,4542088,56.47,4810332,2277264,1764,lo,133.00,133.00,29.13,29.13,0.00,0.00,0.00,0.00,448.00,76.00,760.00,4.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3066.00
20:39:45,49.75,0.00,4.55,0.76,0.00,44.95,29.00,3584.00,80.00,126.34,0.03,1.10,0.83,2.40,30.00,27.00,3.00,3592.00,80.00,4,655,2.99,2.90,2.40,0,1218816,6824804,84.85,26560,4418404,4216296,52.42,4492308,2164676,1980,lo,6.00,6.00,3.45,3.45,0.00,0.00,0.00,0.00,1796.00,40.00,40445.00,8.00,145738.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,82.00,5551.00
20:39:46,71.25,0.00,2.25,0.50,0.00,26.00,47.00,1040.00,0.00,22.13,0.04,0.85,0.60,2.80,47.00,47.00,0.00,1040.00,0.00,2,654,2.99,2.90,2.40,0,1162040,6881580,85.55,26580,4418908,4340424,53.96,4549552,2164436,1984,lo,5.00,5.00,0.52,0.52,0.00,0.00,0.00,0.00,520.00,0.00,14180.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2831.00
20:39:47,40.30,0.00,2.24,4.98,0.00,52.49,180.00,80.00,4080.00,23.11,0.26,1.47,1.16,20.80,180.00,6.00,174.00,80.00,4080.00,4,660,3.23,2.96,2.42,0,1124496,6919124,86.02,26940,4418944,4367536,54.30,4586616,2163912,1956,lo,5.00,5.00,0.52,0.52,0.00,0.00,0.00,0.00,40.00,2040.00,10343.00,0.00,770.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4526.00
20:39:48,59.55,0.00,2.01,0.00,0.00,38.44,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,16.00,0.00,4,653,3.23,2.96,2.42,0,1033016,7010604,87.16,26940,4418952,4375972,54.40,4678184,2163832,1972,lo,6.00,6.00,1.00,1.00,0.00,0.00,0.00,0.00,8.00,0.00,23082.00,0.00,330.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3084.00
20:39:49,77.56,0.00,2.49,1.50,0.00,18.45,98.00,1896.00,0.00,19.35,0.09,0.90,0.61,6.00,98.00,98.00,0.00,1896.00,0.00,3,629,3.23,2.96,2.42,0,1368092,6675528,82.99,26940,4419288,3792460,47.15,4345588,2163708,1960,lo,23.00,23.00,2.32,2.32,0.00,0.00,0.00,0.00,948.00,0.00,21195.00,0.00,105175.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3306.00
20:39:50,35.84,0.00,1.75,0.00,0.00,62.41,19.00,80.00,48.00,6.74,0.02,1.05,0.84,1.60,17.00,5.00,12.00,56.00,48.00,4,635,3.23,2.96,2.42,0,1386336,6657284,82.76,26952,4398620,3800560,47.25,4342356,2147360,2868,lo,121.00,121.00,1166.62,1166.62,0.00,0.00,0.00,0.00,28.00,24.00,3644.00,0.00,9421.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,2718.00
20:39:51,46.88,0.00,1.50,0.50,0.00,51.12,18.00,160.00,40.00,11.11,0.02,0.89,0.89,1.60,20.00,10.00,10.00,184.00,40.00,1,637,3.23,2.96,2.42,0,1363612,6680008,83.05,26960,4398720,3805716,47.31,4367448,2147088,2896,lo,46.00,46.00,7.25,7.25,0.00,0.00,0.00,0.00,92.00,20.00,6502.00,0.00,717.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3999.00
20:39:52,56.09,0.00,2.03,1.02,0.00,40.86,107.00,40.00,1232.00,11.89,0.10,0.93,0.90,9.60,107.00,5.00,102.00,40.00,1232.00,0,637,3.29,2.97,2.43,0,1343740,6699880,83.29,26984,4406024,3852756,47.90,4380380,2153680,10216,lo,615.00,615.00,7287.07,7287.07,0.00,0.00,0.00,0.00,20.00,616.00,4746.00,0.00,2432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.00,6563.00
20:39:53,21.37,0.00,2.54,6.11,0.00,69.97,368.00,9744.00,1312.00,30.04,0.37,1.01,0.86,31.60,368.00,56.00,312.00,9744.00,1312.00,0,638,3.29,2.97,2.43,0,1307424,6736196,83.75,26992,4436192,3850988,47.88,4389740,2180404,35540,lo,2041.00,2041.00,25242.58,25242.58,0.00,0.00,0.00,0.00,4872.00,656.00,4424.00,0.00,9147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,162.00,12133.00
20:39:54,8.95,0.00,3.07,4.60,0.00,83.38,396.00,23800.00,664.00,61.78,0.45,1.13,0.64,25.20,396.00,236.00,160.00,23800.00,664.00,0,638,3.29,2.97,2.43,0,1246788,6796832,84.50,27000,4494976,3850988,47.88,4414352,2215828,82432,lo,2444.00,2444.00,46952.40,46952.40,0.00,0.00,0.00,0.00,11900.00,332.00,1219.00,0.00,11997.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,81.00,10255.00
20:39:55,11.06,0.00,2.51,4.77,0.00,81.66,313.00,72.00,1272.00,4.29,0.24,0.75,0.75,23.60,309.00,9.00,300.00,72.00,1256.00,2,640,3.29,2.97,2.43,0,1228780,6814840,84.72,27008,4511084,3850988,47.88,4428728,2219532,98520,lo,1893.00,1893.00,21114.71,21114.71,0.00,0.00,0.00,0.00,36.00,628.00,1928.00,0.00,6175.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,149.00,9422.00
20:39:56,55.47,0.00,8.65,0.51,0.00,35.37,57.00,8.00,232.00,4.21,0.04,0.77,0.77,4.40,61.00,1.00,60.00,8.00,248.00,3,636,3.29,2.97,2.43,0,1168732,6874888,85.47,27008,4532600,3861000,48.00,4467988,2239864,120036,lo,1950.00,1950.00,16648.73,16648.73,0.00,0.00,0.00,0.00,3.96,122.77,13954.46,0.00,9988.12,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,10719.00
20:39:57,39.49,0.00,9.37,0.25,0.00,50.89,114.00,8.00,2120.00,18.67,0.49,4.28,0.14,1.60,114.00,1.00,113.00,8.00,2120.00,3,646,3.03,2.92,2.42,0,1115020,6928600,86.14,27244,4562808,3866500,48.07,4491152,2269888,149464,lo,2598.00,2598.00,31840.96,31840.96,0.00,0.00,0.00,0.00,4.00,1060.00,15618.00,0.00,10696.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,326.00,13199.00
