timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:09:08,0.00,0.00,0.50,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,718,2.61,3.02,2.68,0,3799564,4244056,52.76,99284,1868476,4358844,54.19,2800148,1259868,77808,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,239.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1223.00
13:09:09,3.24,0.00,1.75,0.25,0.00,94.76,10.00,16.00,536.00,55.20,0.02,2.40,1.60,1.60,10.00,2.00,8.00,16.00,536.00,1,730,2.40,2.97,2.67,0,3796380,4247240,52.80,99304,1864668,4539836,56.44,2804648,1259028,77620,lo,16.00,16.00,10.98,10.98,0.00,0.00,0.00,0.00,8.00,268.00,13908.00,0.00,9450.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,93.00,2366.00
13:09:10,52.91,0.00,2.28,0.25,0.00,44.56,5.00,16.00,872.00,177.60,0.02,3.20,3.20,1.60,5.00,2.00,3.00,16.00,872.00,1,737,2.40,2.97,2.67,0,3684360,4359260,54.20,99312,1864672,4640228,57.69,2918636,1259028,77192,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,8.00,436.00,29680.00,0.00,1130.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4868.00
13:09:11,26.63,0.00,3.02,0.00,0.00,70.35,4.00,16.00,72.00,22.00,0.01,3.00,3.00,1.20,3.96,1.98,1.98,15.84,71.29,5,735,2.40,2.97,2.67,0,3752236,4291384,53.35,99320,1864604,4543516,56.49,2850720,1259024,77192,lo,17.00,17.00,1.59,1.59,0.00,0.00,0.00,0.00,8.00,36.00,19846.00,0.00,37143.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,3701.00
13:09:12,46.25,0.00,2.75,0.00,0.00,51.00,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,8.00,8.00,0,737,2.40,2.97,2.67,0,3671728,4371892,54.35,99324,1864608,4721144,58.69,2930416,1259024,77196,lo,20.00,20.00,2.14,2.14,0.00,0.00,0.00,0.00,4.00,4.00,20494.00,0.00,563.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3195.00
13:09:13,27.57,0.00,2.76,0.00,0.00,69.67,8.00,24.00,152.00,22.00,0.02,2.00,2.00,1.60,7.00,2.00,5.00,16.00,152.00,2,737,2.40,2.97,2.67,0,3726932,4316688,53.67,99332,1864608,4643104,57.72,2875892,1259024,77196,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,8.00,76.00,31279.00,0.00,42641.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,4331.00
13:09:14,48.99,0.00,2.51,0.25,0.00,48.24,3.00,8.00,408.00,138.67,0.00,1.33,1.33,0.40,3.00,1.00,2.00,8.00,408.00,2,750,2.45,2.97,2.67,0,3646652,4396968,54.66,99348,1864612,4729080,58.79,2955328,1259020,77284,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,204.00,21101.00,0.00,2593.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4075.00
13:09:15,77.83,0.00,4.53,0.00,0.00,17.63,8.00,16.00,72.00,11.00,0.02,2.00,2.00,1.60,8.00,2.00,6.00,16.00,72.00,4,789,2.45,2.97,2.67,0,3440204,4603416,57.23,99356,1864596,5006132,62.24,3160952,1258984,77236,lo,38.00,38.00,11.37,11.37,0.00,0.00,0.00,0.00,8.00,36.00,55097.00,0.00,2506.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.55,5032.67
13:09:16,86.90,0.00,3.78,0.00,0.00,9.32,1.00,8.00,0.00,8.00,0.00,4.00,4.00,0.40,1.00,1.00,0.00,8.00,0.00,7,794,2.45,2.97,2.67,0,3334372,4709248,58.55,99360,1864600,5183672,64.44,3266208,1258984,77244,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,4.00,0.00,28014.00,0.00,1542.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4316.00
13:09:18,92.42,0.00,2.27,0.00,0.00,5.30,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,7,806,2.45,2.97,2.67,0,3241676,4801944,59.70,99364,1864600,5321672,66.16,3358268,1258984,77244,lo,73.00,73.00,8.34,8.34,0.00,0.00,0.00,0.00,4.00,0.00,23253.00,0.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,3849.00
