timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:15:50,41.67,0.00,2.27,0.00,0.00,56.06,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,80.00,4,725,2.87,3.14,3.18,0,1187836,6855784,85.23,209016,3778948,4900948,60.93,3435928,3123068,232900,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,40.00,24831.00,0.00,35891.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,4714.00
14:15:51,27.20,0.00,1.76,0.00,0.00,71.03,5.00,0.00,608.00,121.60,0.02,4.00,2.40,1.20,2.00,0.00,2.00,0.00,72.00,2,726,2.87,3.14,3.18,0,1255040,6788580,84.40,209020,3778944,4847768,60.27,3368664,3123060,232984,lo,17.00,17.00,1.59,1.59,0.00,0.00,0.00,0.00,0.00,36.00,23297.00,0.00,36482.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,2678.00
14:15:52,47.01,0.00,2.99,0.50,0.00,49.50,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,544.00,1,725,2.87,3.14,3.18,0,1140476,6903144,85.82,209020,3778948,5009284,62.28,3482944,3123060,232988,lo,9.00,9.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,272.00,33424.00,0.00,6157.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,4361.00
14:15:53,53.42,0.00,3.29,1.27,0.00,42.03,32.00,0.00,55968.00,1749.00,19.42,146.62,4.75,15.20,0.00,0.00,0.00,0.00,0.00,6,758,2.72,3.10,3.17,2,1005940,7037680,87.49,209028,3778960,5075900,63.10,3616608,3123052,80204,lo,27.72,27.72,7.40,7.40,0.00,0.00,0.00,0.00,4.00,125272.00,27566.00,0.00,338.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,4007.00
14:15:54,89.66,0.00,5.17,0.78,0.00,4.39,136.00,24.00,255000.00,1875.18,19.23,249.74,2.03,27.60,168.00,3.00,165.00,24.00,310968.00,3,780,2.72,3.10,3.17,0,868120,7175500,89.21,209040,3779004,5412824,67.29,3753348,3123088,77568,lo,10.00,10.00,3.61,3.61,0.00,0.00,0.00,0.00,8.00,30212.00,39990.00,0.00,3345.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,4264.00
14:15:55,91.27,0.00,2.49,0.00,0.00,6.23,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,6,789,2.72,3.10,3.17,0,784524,7259096,90.25,209040,3779068,5533392,68.79,3837060,3123096,77572,lo,32.00,32.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,60.00,23594.00,0.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3794.00
14:15:56,62.03,0.00,8.86,3.04,0.00,26.08,48.00,0.00,49152.00,1024.00,29.38,128.83,5.25,25.20,48.00,0.00,48.00,0.00,49152.00,7,804,2.72,3.10,3.17,0,435148,7608472,94.59,209044,3932308,5677592,70.59,4106560,3199728,154200,lo,2072.00,2072.00,76736.53,76736.53,0.00,0.00,0.00,0.00,0.00,76616.00,34807.00,0.00,16332.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,13071.00
14:15:57,33.25,0.00,2.25,33.50,0.00,31.00,103.00,0.00,104672.00,1016.23,22.81,446.68,4.31,44.40,103.00,0.00,103.00,0.00,104672.00,4,807,2.72,3.10,3.17,0,425180,7618440,94.71,209048,3932368,5802940,72.14,4116236,3199656,154292,lo,58.00,58.00,31.16,31.16,0.00,0.00,0.00,0.00,0.00,296.00,25585.00,0.00,4008.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4702.00
14:15:58,70.38,0.00,3.29,0.00,0.00,26.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,817,2.82,3.12,3.17,0,288060,7755560,96.42,209048,3932376,5915112,73.54,4253024,3199656,154300,lo,351.00,351.00,9891.29,9891.29,0.00,0.00,0.00,0.00,0.00,0.00,35646.00,0.00,807.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3458.00
14:15:59,0.25,0.00,0.25,0.00,0.00,99.50,10.00,0.00,200.00,20.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,200.00,0,816,2.82,3.12,3.17,0,292292,7751328,96.37,209048,3932380,5915112,73.54,4247772,3199656,154228,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,100.00,1.00,0.00,1484.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1242.00
14:16:00,0.25,0.00,0.25,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,817,2.82,3.12,3.17,0,291780,7751840,96.37,209048,3932380,5915600,73.54,4247812,3199656,154240,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,1138.00,0.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1355.00
14:16:01,0.50,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,820,2.82,3.12,3.17,0,291268,7752352,96.38,209056,3932380,5915600,73.54,4248524,3199656,154272,lo,9.00,9.00,1.13,1.13,0.00,0.00,0.00,0.00,0.00,0.00,953.00,0.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1440.00
14:16:02,13.03,0.00,1.25,0.75,0.00,84.96,8.00,0.00,432.00,54.00,0.03,4.00,2.50,2.00,8.00,0.00,8.00,0.00,432.00,8,830,2.82,3.12,3.17,0,288340,7755280,96.42,209056,3932384,5915600,73.54,4250348,3199656,154312,lo,2399.00,2399.00,63168.55,63168.55,0.00,0.00,0.00,0.00,0.00,216.00,1918.00,0.00,1497.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3570.00
14:16:03,81.31,0.00,4.29,0.00,0.00,14.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,830,3.00,3.15,3.18,0,183640,7859980,97.72,209056,3936248,6022324,74.87,4355800,3199688,158176,lo,604.00,604.00,7645.25,7645.25,0.00,0.00,0.00,0.00,0.00,0.00,18948.00,0.00,683.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,7521.00
14:16:04,69.19,0.00,1.77,0.00,0.00,29.04,77.00,0.00,153248.00,1990.23,6.93,89.97,1.66,12.80,77.00,0.00,77.00,0.00,153248.00,5,830,3.00,3.15,3.18,0,168496,7875124,97.91,209060,3940836,6040040,75.09,4366172,3203340,86132,lo,160.00,160.00,257.43,257.43,0.00,0.00,0.00,0.00,0.00,76624.00,11185.00,0.00,841.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3833.00
14:16:05,86.72,0.00,3.51,0.00,0.00,9.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,833,3.00,3.15,3.18,0,142100,7901520,98.23,208956,3925728,6048592,75.20,4411504,3184036,94868,lo,549.00,549.00,4824.34,4824.34,0.00,0.00,0.00,0.00,0.00,0.00,10702.00,0.00,2484.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5973.00
14:16:06,89.11,0.00,3.29,0.00,0.00,7.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,833,3.00,3.15,3.18,0,127616,7916004,98.41,208964,3931296,6054500,75.27,4428156,3184112,100540,lo,736.00,736.00,7198.12,7198.12,0.00,0.00,0.00,0.00,0.00,0.00,5586.00,0.00,12765.00,6003.00,0.00,6003.00,100.00,0.00,0.00,0,0,0.00,0,0.00,21.00,6665.00
14:16:07,83.90,0.00,4.42,0.00,0.00,11.69,2.00,0.00,944.00,472.00,0.02,8.00,8.00,1.60,2.00,0.00,2.00,0.00,944.00,8,826,3.00,3.15,3.18,0,146208,7897412,98.18,208524,3910108,6054500,75.27,4433788,3160568,102776,lo,963.00,963.00,9565.58,9565.58,0.00,0.00,0.00,0.00,0.00,472.00,1562.00,0.00,12911.00,5968.00,0.00,5968.00,100.00,0.00,0.00,0,0,0.00,0,0.00,1.00,7666.00
14:16:08,86.97,0.00,2.76,0.00,0.00,10.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,827,3.16,3.18,3.19,0,150516,7893104,98.13,208524,3900916,6062720,75.37,4428928,3162232,93584,lo,1119.00,1119.00,9626.38,9626.38,0.00,0.00,0.00,0.00,0.00,0.00,2403.00,0.00,10953.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,8509.00
14:16:09,74.62,0.00,3.52,0.00,0.00,21.86,11.00,0.00,264.00,24.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,264.00,2,826,3.16,3.18,3.19,0,144240,7899380,98.21,208524,3896728,6062720,75.37,4436400,3158664,89324,lo,1413.00,1413.00,13454.53,13454.53,0.00,0.00,0.00,0.00,0.00,132.00,1607.00,0.00,8613.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,9609.00
14:16:10,71.11,0.00,3.77,0.00,0.00,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,827,3.16,3.18,3.19,0,143884,7899736,98.21,208532,3902480,6064040,75.39,4437496,3158696,95084,lo,1519.00,1519.00,14401.11,14401.11,0.00,0.00,0.00,0.00,0.00,0.00,2922.00,0.00,15405.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,10558.00
14:16:11,68.19,0.00,4.07,0.00,0.00,27.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,826,3.16,3.18,3.19,0,153044,7890576,98.10,208536,3902564,6064040,75.39,4430208,3158708,95188,lo,1564.00,1564.00,14426.70,14426.70,0.00,0.00,0.00,0.00,0.00,0.00,422.00,0.00,15688.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,10179.00
14:16:12,74.05,0.00,5.60,0.00,0.00,20.36,8.00,0.00,2000.00,250.00,0.02,3.00,2.00,1.60,5.00,0.00,5.00,0.00,1328.00,1,749,3.16,3.18,3.19,0,713380,7330240,91.13,208536,3808860,5386444,66.97,3870232,3158568,77688,lo,6427.00,6427.00,164354.09,164354.09,0.00,0.00,0.00,0.00,0.00,664.00,1682.00,0.00,90651.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,73.00,8657.00
