timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:52:08,24.24,0.00,2.02,0.00,0.00,73.74,3.00,16.00,64.00,26.67,0.01,2.67,2.67,0.80,5.00,2.00,3.00,16.00,520.00,1,714,3.49,2.74,1.60,0,4673448,3370172,41.90,54500,1080788,4438112,55.18,2647668,577264,78124,lo,20.00,20.00,1.74,1.74,0.00,0.00,0.00,0.00,8.00,260.00,20818.00,0.00,35894.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,2387.00
12:52:09,41.35,0.00,3.51,0.25,0.00,54.89,9.00,32.00,536.00,63.11,0.01,0.89,0.89,0.80,7.00,4.00,3.00,32.00,80.00,4,725,3.49,2.74,1.60,0,4569320,3474300,43.19,54516,1080748,4722320,58.71,2752936,577212,78092,lo,6.00,6.00,1.19,1.19,0.00,0.00,0.00,0.00,16.00,40.00,34165.00,0.00,6852.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,4640.00
12:52:10,58.19,0.00,2.02,0.00,0.00,39.80,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,2,756,3.49,2.74,1.60,0,4483760,3559860,44.26,54524,1080756,4809616,59.79,2837808,577212,78100,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,8.00,0.00,22680.00,0.00,899.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,3980.00
12:52:11,90.48,0.00,4.01,0.25,0.00,5.26,3.00,16.00,8.00,8.00,0.01,2.67,2.67,0.80,3.00,2.00,1.00,16.00,8.00,4,777,3.49,2.74,1.60,0,4280660,3762960,46.78,54532,1080792,5158744,64.13,3040500,577236,78136,lo,32.00,32.00,10.40,10.40,0.00,0.00,0.00,0.00,8.00,4.00,53549.00,0.00,2030.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,5359.00
12:52:12,94.25,0.00,2.50,0.00,0.00,3.25,5.00,16.00,72.00,17.60,0.00,0.00,0.00,0.00,5.00,2.00,3.00,16.00,72.00,6,782,3.49,2.74,1.60,0,4210256,3833364,47.66,54540,1080796,5238520,65.13,3110668,577236,78112,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,8.00,36.00,17758.00,0.00,296.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4571.00
12:52:13,86.90,0.00,3.27,0.00,0.00,9.82,5.00,32.00,120.00,30.40,0.01,1.60,1.60,0.80,7.00,4.00,3.00,32.00,544.00,5,798,3.69,2.79,1.63,0,4051140,3992480,49.64,54564,1080860,5390332,67.01,3268012,577244,78120,lo,86.00,86.00,10.53,10.53,0.00,0.00,0.00,0.00,16.00,272.00,39724.00,0.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4993.00
12:52:14,62.97,0.00,8.56,0.00,0.00,28.46,114.00,280.00,153664.00,1350.39,8.10,71.02,1.30,14.80,113.00,36.00,77.00,288.00,153240.00,2,808,3.69,2.79,1.63,0,3781468,4262152,52.99,54708,1234100,5462624,67.91,3458384,653888,154744,lo,2058.00,2058.00,76752.81,76752.81,0.00,0.00,0.00,0.00,144.00,76620.00,34870.00,0.00,19916.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,13539.00
12:52:15,61.24,0.00,4.91,0.00,0.00,33.85,38.00,296.00,120.00,10.95,0.12,3.26,0.21,0.80,37.00,36.00,1.00,288.00,120.00,7,808,3.69,2.79,1.63,0,3687892,4355728,54.15,54852,1234160,5633332,70.03,3551004,653824,154744,lo,70.00,70.00,35.47,35.47,0.00,0.00,0.00,0.00,144.00,60.00,24153.00,0.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4801.00
12:52:16,79.19,0.00,4.82,0.00,0.00,15.99,18.00,16.00,72.00,4.89,0.01,0.67,0.67,1.20,23.00,3.00,20.00,24.00,88.00,8,818,3.69,2.79,1.63,0,3640396,4403224,54.74,54868,1234284,5633332,70.03,3597596,653840,154876,lo,415.00,415.00,225.69,225.69,0.00,0.00,0.00,0.00,12.00,44.00,13859.00,0.00,1855.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,9172.00
12:52:17,16.67,0.00,2.02,0.76,0.00,80.56,74.00,32.00,688.00,9.73,0.06,0.76,0.76,5.60,69.00,3.00,66.00,24.00,672.00,1,779,3.69,2.79,1.63,0,3716728,4326892,53.79,54880,1157656,5657416,70.33,3520904,653792,154676,lo,288.00,288.00,66.94,66.94,0.00,0.00,0.00,0.00,12.00,336.00,3086.00,0.00,22147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,5002.00
