timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:48:12,38.90,0.00,1.50,0.00,0.00,59.60,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,0,737,3.53,3.18,2.92,0,1405424,6638196,82.53,170324,3755648,4966064,61.74,3175948,3178568,278412,lo,17.00,17.00,1.60,1.60,0.00,0.00,0.00,0.00,12.00,0.00,15751.00,0.00,248.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2237.00
13:48:13,37.56,0.00,5.22,0.25,0.00,56.97,59.00,24.00,808.00,14.10,0.11,1.83,0.27,1.60,59.00,3.00,56.00,24.00,808.00,1,737,3.53,3.18,2.92,0,1772256,6271364,77.97,170336,3440684,4885084,60.73,3114836,2880632,208,lo,6.00,6.00,1.19,1.19,0.00,0.00,0.00,0.00,12.00,404.00,33270.00,0.00,123062.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,4876.00
13:48:14,49.37,0.00,2.01,0.00,0.00,48.62,3.00,24.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,24.00,0.00,3,759,3.53,3.18,2.92,0,1692948,6350672,78.95,170348,3440692,4956340,61.62,3193436,2880628,216,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,0.00,20447.00,0.00,1021.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4246.00
13:48:15,85.21,0.00,3.51,0.25,0.00,11.03,6.00,24.00,392.00,69.33,0.02,3.33,3.33,2.00,5.00,2.00,3.00,16.00,392.00,5,789,3.53,3.18,2.92,0,1488696,6554924,81.49,170364,3440728,5249408,65.26,3396312,2880656,432,lo,35.00,35.00,10.58,10.58,0.00,0.00,0.00,0.00,8.00,196.00,54304.00,0.00,2033.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,4287.00
13:48:16,94.96,0.00,2.27,0.00,0.00,2.77,3.00,16.00,120.00,45.33,0.00,0.00,0.00,0.00,4.00,3.00,1.00,24.00,120.00,6,792,3.53,3.18,2.92,0,1388052,6655568,82.74,170372,3440800,5430612,67.51,3496536,2880660,440,lo,5.94,5.94,0.97,0.97,0.00,0.00,0.00,0.00,12.00,60.00,24237.00,0.00,915.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,4269.00
13:48:17,72.18,0.00,4.51,0.25,0.00,23.06,3.00,24.00,0.00,8.00,0.01,4.00,4.00,1.20,3.00,3.00,0.00,24.00,0.00,3,818,3.57,3.20,2.93,0,1216632,6826988,84.87,170384,3482444,5608940,69.73,3644940,2901444,42084,lo,1430.00,1430.00,50335.98,50335.98,0.00,0.00,0.00,0.00,12.00,0.00,35004.00,0.00,3280.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,10562.00
13:48:18,50.00,0.00,9.18,1.79,0.00,39.03,141.00,24.00,153352.00,1087.77,11.48,81.39,1.22,17.20,141.00,3.00,138.00,24.00,153352.00,1,820,3.57,3.20,2.93,0,1006256,7037364,87.49,170396,3594100,5738856,71.35,3800832,2957280,77068,lo,746.00,746.00,26456.23,26456.23,0.00,0.00,0.00,0.00,12.00,76676.00,30572.00,0.00,15956.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,9491.00
13:48:19,73.87,0.00,5.03,0.00,0.00,21.11,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,7,824,3.57,3.20,2.93,0,903004,7140616,88.77,170408,3594100,5747596,71.46,3903364,2957280,77072,lo,4933.00,4933.00,178205.48,178205.48,0.00,0.00,0.00,0.00,11.88,0.00,27302.97,0.00,2077.23,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6389.00
13:48:20,80.05,0.00,5.37,0.26,0.00,14.32,7.00,24.00,416.00,62.86,0.02,2.29,2.29,1.60,6.00,2.00,4.00,16.00,416.00,5,828,3.57,3.20,2.93,0,886208,7157412,88.98,170428,3605956,5844048,72.65,3910440,2966332,89024,lo,5110.00,5110.00,185855.60,185855.60,0.00,0.00,0.00,0.00,8.00,208.00,4546.00,0.00,3049.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,9436.00
13:48:21,88.19,0.00,10.05,0.00,0.00,1.76,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,5,827,3.57,3.20,2.93,0,774360,7269260,90.37,170440,3717812,5844048,72.65,3915660,3071628,200884,lo,5597.00,5597.00,206950.11,206950.11,0.00,0.00,0.00,0.00,12.00,0.00,1512.00,0.00,22762.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5132.00
