timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:55:11,23.69,0.00,2.49,0.25,0.00,73.57,39.00,288.00,136.00,10.87,0.13,3.28,0.10,0.40,39.00,36.00,3.00,288.00,136.00,1,765,3.49,3.15,1.98,0,4093716,3949904,49.11,57164,1247792,5293892,65.81,3063432,732404,4320,lo,17.00,17.00,1.63,1.63,0.00,0.00,0.00,0.00,144.00,68.00,26316.00,0.00,41368.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,2827.00
12:55:12,48.61,0.00,4.05,0.00,0.00,47.34,44.00,288.00,64.00,8.00,0.01,0.18,0.18,0.80,44.00,36.00,8.00,288.00,64.00,4,736,3.49,3.15,1.98,0,4354484,3689136,45.86,57308,1244520,4805272,59.74,2808464,729348,1128,lo,31.00,31.00,3.67,3.67,0.00,0.00,0.00,0.00,144.00,32.00,30660.00,0.00,94990.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,4935.00
12:55:13,56.03,0.00,2.76,0.00,0.00,41.21,10.00,8.00,592.00,60.00,0.01,0.80,0.80,0.80,11.00,1.00,10.00,8.00,600.00,3,782,3.49,3.15,1.98,0,4206032,3837588,47.71,57324,1240788,5037772,62.63,2957992,726088,1320,lo,84.00,84.00,294.47,294.47,0.00,0.00,0.00,0.00,4.00,300.00,39006.00,0.00,2121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,5104.00
12:55:14,92.75,0.00,4.00,0.00,0.00,3.25,9.00,88.00,16.00,11.56,0.01,1.33,0.89,0.80,8.00,7.00,1.00,88.00,8.00,7,792,3.61,3.18,2.00,0,4076148,3967472,49.32,57328,1240836,5183944,64.45,3088360,726112,1328,lo,3.00,3.00,0.56,0.56,0.00,0.00,0.00,0.00,44.00,4.00,35432.00,0.00,2023.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4170.00
12:55:15,90.07,0.00,3.23,0.25,0.00,6.45,38.00,320.00,120.00,11.58,0.14,3.58,0.32,1.20,39.00,38.00,1.00,328.00,120.00,3,803,3.61,3.18,2.00,0,3958916,4084704,50.78,57472,1240916,5329040,66.25,3203512,726076,1332,lo,38.00,38.00,9.44,9.44,0.00,0.00,0.00,0.00,164.00,60.00,30124.00,0.00,1029.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,4302.00
12:55:16,60.10,0.00,9.60,0.51,0.00,29.80,79.00,24.00,153352.00,1941.47,8.20,103.85,2.23,17.60,78.00,2.00,76.00,16.00,153352.00,4,822,3.61,3.18,2.00,0,3673668,4369952,54.33,57480,1394220,5493332,68.29,3408564,802748,77960,lo,2109.00,2109.00,76757.13,76757.13,0.00,0.00,0.00,0.00,8.00,76676.00,35135.00,0.00,16920.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,13330.00
12:55:17,72.89,0.00,1.74,0.00,0.00,25.37,5.00,40.00,0.00,8.00,0.01,1.60,1.60,0.80,5.00,5.00,0.00,40.00,0.00,3,827,3.61,3.18,2.00,0,3578340,4465280,55.51,57500,1394220,5569776,69.24,3504464,802656,77960,lo,240.00,240.00,1616.75,1616.75,0.00,0.00,0.00,0.00,20.00,0.00,28066.00,0.00,3735.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4092.00
12:55:18,78.80,0.00,3.99,0.00,0.00,17.21,8.00,104.00,8.00,14.00,0.01,1.50,1.50,1.20,10.00,6.00,4.00,104.00,776.00,1,828,3.61,3.18,2.00,0,3460400,4583220,56.98,57660,1396028,5655316,70.31,3620564,804176,79964,lo,653.00,653.00,4910.58,4910.58,0.00,0.00,0.00,0.00,52.00,388.00,29505.00,0.00,792.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8395.00
12:55:19,81.31,0.00,2.27,0.51,0.00,15.91,80.00,16.00,1088.00,13.80,0.05,0.60,0.55,4.40,78.00,2.00,76.00,16.00,320.00,3,828,3.80,3.23,2.02,0,3456608,4587012,57.03,57672,1398328,5761300,71.63,3620716,805584,82240,lo,662.00,662.00,3323.83,3323.83,0.00,0.00,0.00,0.00,8.00,160.00,4642.00,0.00,5204.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,9935.00
12:55:20,25.81,0.00,4.71,0.00,0.00,69.48,12.00,32.00,272.00,25.33,0.01,1.00,1.00,1.20,12.00,4.00,8.00,32.00,272.00,2,738,3.80,3.23,2.02,0,4344380,3699240,45.99,57692,1320696,4643048,57.72,2745368,801000,81344,lo,34.00,34.00,10.80,10.80,0.00,0.00,0.00,0.00,20.00,136.00,28209.00,0.00,244966.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,98.00,5185.00
