timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:02:46,64.82,0.00,6.53,0.00,0.00,28.64,14.00,88.00,104.00,13.71,0.01,0.57,0.57,0.80,14.00,5.00,9.00,88.00,104.00,1,632,2.32,0.88,0.33,0,1503536,2411588,61.60,43756,656368,3505580,89.54,2091484,212376,17764,lo,73.00,73.00,275.76,275.76,0.00,0.00,0.00,0.00,44.00,52.00,24244.00,0.00,48143.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,2547.00
12:02:47,71.36,0.00,12.56,0.00,0.00,16.08,7.00,16.00,4152.00,595.43,0.03,4.57,2.29,1.60,7.00,2.00,5.00,16.00,4152.00,1,643,2.32,0.88,0.33,0,1359036,2556088,65.29,43788,700856,3661912,93.53,2182612,255924,60180,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,8.00,2076.00,24238.00,0.00,1097.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,2853.00
12:02:48,41.71,0.00,20.10,0.00,0.00,38.19,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,1,643,2.32,0.88,0.33,0,1148812,2766312,70.66,43820,777576,3789328,96.79,2299616,329696,136932,lo,2.97,2.97,0.38,0.38,0.00,0.00,0.00,0.00,0.00,9380.00,28515.00,0.00,212.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1680.00
12:02:49,41.29,0.00,18.91,6.97,0.00,32.84,678.00,32.00,129136.00,190.51,12.12,18.00,0.25,16.80,678.00,4.00,674.00,32.00,129136.00,3,645,2.32,0.88,0.33,0,1031388,2883736,73.66,43940,847944,3789328,96.79,2330492,398520,153824,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,16.00,55188.00,7648.00,0.00,6102.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1835.00
12:02:50,90.91,0.00,2.02,0.00,0.00,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,646,2.32,0.88,0.33,0,1005488,2909636,74.32,43940,847952,3846336,98.24,2356172,398516,153892,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,7998.00,0.00,961.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,1902.00
12:02:51,60.61,0.00,3.54,0.51,0.00,35.35,59.00,280.00,96.00,6.37,0.02,0.34,0.34,2.00,59.00,35.00,24.00,280.00,96.00,0,651,2.38,0.91,0.35,0,993860,2921264,74.61,44080,847992,3854020,98.44,2367588,398444,153956,lo,117.00,117.00,14.19,14.19,0.00,0.00,0.00,0.00,140.00,48.00,3702.00,0.00,990.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,2734.00
12:02:52,36.32,0.00,3.98,1.49,0.00,58.21,76.00,16.00,312.00,4.32,0.06,0.79,0.79,6.00,76.00,2.00,74.00,16.00,312.00,3,651,2.38,0.91,0.35,0,990372,2924752,74.70,44096,847992,3859920,98.59,2371180,398456,154088,lo,295.00,295.00,39.49,39.49,0.00,0.00,0.00,0.00,8.00,156.00,3011.00,0.00,1887.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,4430.00
12:02:53,69.85,0.00,19.60,0.00,0.00,10.55,1497.00,0.00,247136.00,165.09,19.76,13.20,0.26,38.80,1497.00,0.00,1497.00,0.00,247136.00,1,652,2.38,0.91,0.35,0,899148,3015976,77.03,44096,899824,3892640,99.43,2411332,447428,82368,lo,2151.00,2151.00,51966.51,51966.51,0.00,0.00,0.00,0.00,0.00,123568.00,10873.00,0.00,26142.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,6594.00
12:02:54,41.79,0.00,2.99,3.98,0.00,51.24,71.00,32.00,22704.00,320.23,1.18,16.62,1.41,10.00,71.00,4.00,67.00,32.00,22704.00,3,650,2.38,0.91,0.35,0,888920,3026204,77.30,44152,899956,3901368,99.65,2421852,447520,93644,lo,122.00,122.00,129.68,129.68,0.00,0.00,0.00,0.00,16.00,11352.00,2676.00,0.00,676.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2475.00
12:02:55,80.10,0.00,6.97,0.50,0.00,12.44,4.00,0.00,16.00,4.00,0.01,3.00,3.00,1.20,4.00,0.00,4.00,0.00,16.00,2,658,2.38,0.91,0.35,0,800872,3114252,79.54,44152,951956,3949592,100.88,2459348,496040,145660,lo,1555.00,1555.00,52044.28,52044.28,0.00,0.00,0.00,0.00,0.00,8.00,13005.00,0.00,4580.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,2899.00
12:02:56,84.77,0.00,4.57,0.00,0.00,10.66,4.00,24.00,8.00,8.00,0.00,1.00,1.00,0.40,4.00,3.00,1.00,24.00,8.00,2,673,2.43,0.95,0.36,0,743988,3171136,81.00,44172,952032,4148700,105.97,2514972,496220,145720,lo,17.00,17.00,2.35,2.35,0.00,0.00,0.00,0.00,12.00,4.00,17929.00,0.00,2805.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,3586.00
12:02:57,91.88,0.00,3.55,0.00,0.00,4.57,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,2,673,2.43,0.95,0.36,0,679352,3235772,82.65,44176,952032,4261348,108.84,2580328,496096,145720,lo,15.00,15.00,2.18,2.18,0.00,0.00,0.00,0.00,4.00,0.00,18999.00,0.00,2641.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2349.00
12:02:58,88.94,0.00,3.02,0.00,0.00,8.04,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,16.00,488.00,3,683,2.43,0.95,0.36,0,651632,3263492,83.36,44196,952036,4276748,109.24,2607980,495996,145724,lo,64.00,64.00,8.39,8.39,0.00,0.00,0.00,0.00,8.00,236.00,6904.00,0.00,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2159.00
12:02:59,88.38,0.00,2.53,0.00,0.00,9.09,5.00,16.00,488.00,100.80,0.01,2.40,2.40,1.20,3.00,2.00,1.00,16.00,0.00,2,687,2.43,0.95,0.36,0,602556,3312568,84.61,44208,952040,4364172,111.47,2656932,495980,145868,lo,14.00,14.00,2.91,2.91,0.00,0.00,0.00,0.00,8.00,8.00,12382.00,0.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2538.00
12:03:00,75.88,0.00,9.05,2.01,0.00,13.07,554.00,0.00,184816.00,333.60,14.40,26.00,0.38,20.80,554.00,0.00,554.00,0.00,184816.00,1,734,2.43,0.95,0.36,0,550700,3364424,85.93,44212,952192,4428364,113.11,2705952,496040,52440,lo,60.00,60.00,127.60,127.60,0.00,0.00,0.00,0.00,0.00,92408.00,14272.00,0.00,4712.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,56.00,2919.00
12:03:01,17.50,0.00,0.50,0.00,0.00,82.00,6.00,32.00,8.00,6.67,0.01,2.00,2.00,1.20,6.00,4.00,2.00,32.00,8.00,0,733,2.23,0.93,0.36,0,542524,3372600,86.14,44228,952200,4414628,112.76,2714796,496032,52520,lo,31.00,31.00,4.19,4.19,0.00,0.00,0.00,0.00,16.00,4.00,3528.00,0.00,1386.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,1938.00
12:03:02,65.99,0.00,6.60,0.00,0.00,27.41,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,4,766,2.23,0.93,0.36,0,492440,3422684,87.42,44260,952396,4666416,119.19,2763272,496156,52712,lo,60.00,60.00,12.77,12.77,0.00,0.00,0.00,0.00,0.00,8.00,20450.00,0.00,6117.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,4327.00
12:03:03,95.02,0.00,4.48,0.00,0.00,0.50,11.00,24.00,64.00,8.00,0.02,0.36,0.73,0.80,12.00,3.00,9.00,24.00,384.00,4,767,2.23,0.93,0.36,0,443612,3471512,88.67,44280,952388,4703264,120.13,2811868,496144,52716,lo,14.00,14.00,2.28,2.28,0.00,0.00,0.00,0.00,12.00,1492.00,12586.00,0.00,279.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4935.00
12:03:04,96.46,0.00,3.54,0.00,0.00,0.00,6.00,8.00,2928.00,489.33,0.07,14.00,4.00,2.40,5.00,1.00,4.00,8.00,2608.00,4,769,2.23,0.93,0.36,0,397088,3518036,89.86,44288,952420,4849172,123.86,2858052,496132,54148,lo,32.00,32.00,4.14,4.14,0.00,0.00,0.00,0.00,4.00,4.00,11795.00,0.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4181.00
12:03:05,95.43,0.00,4.57,0.00,0.00,0.00,64.00,16.00,104696.00,1636.12,7.31,114.19,2.12,13.60,64.00,2.00,62.00,16.00,104696.00,5,771,2.23,0.93,0.36,0,358620,3556504,90.84,44300,952544,4910292,125.42,2896368,496256,1940,lo,44.00,44.00,5.64,5.64,0.00,0.00,0.00,0.00,8.00,52348.00,9563.00,0.00,262.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3785.00
12:03:06,92.00,0.00,8.00,0.00,0.00,0.00,38.00,304.00,0.00,8.00,0.13,3.47,0.11,0.40,38.00,38.00,0.00,304.00,0.00,7,780,2.30,0.97,0.38,0,192456,3722668,95.08,44452,952672,5161312,131.83,3061152,496376,2080,lo,61.00,61.00,9.29,9.29,0.00,0.00,0.00,0.00,152.00,0.00,42265.00,0.00,1043.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,2887.00
12:03:07,52.76,0.00,9.55,1.51,0.00,36.18,54.00,2592.00,144.00,50.67,0.07,1.33,0.89,4.80,54.00,48.00,6.00,2592.00,144.00,0,733,2.30,0.97,0.38,0,660532,3254592,83.13,44392,841436,4414844,112.76,2620504,471700,1748,lo,366.00,366.00,2125.48,2125.48,0.00,0.00,0.00,0.00,1296.00,72.00,35764.00,26.00,153069.00,30110.00,0.00,28071.00,93.23,0.00,0.00,0,0,0.00,0,0.00,36.00,4758.00
12:03:08,60.80,0.00,5.03,0.50,0.00,33.67,18.00,344.00,552.00,49.78,0.01,0.67,0.67,1.20,18.81,11.88,6.93,340.59,554.46,4,766,2.30,0.97,0.38,0,589436,3325688,84.94,44436,841756,4670848,119.30,2691424,471636,1936,lo,48.00,48.00,11.14,11.14,0.00,0.00,0.00,0.00,172.00,276.00,21761.00,8.00,2642.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,4372.00
12:03:09,96.00,0.00,4.00,0.00,0.00,0.00,2.00,8.00,8.00,8.00,0.01,4.00,4.00,0.80,1.00,1.00,0.00,8.00,0.00,4,768,2.30,0.97,0.38,0,551788,3363336,85.91,44440,841772,4709572,120.29,2728684,471616,2028,lo,14.00,14.00,2.32,2.32,0.00,0.00,0.00,0.00,4.00,4.00,9780.00,0.00,336.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4198.00
12:03:10,96.46,0.00,3.54,0.00,0.00,0.00,11.00,256.00,0.00,23.27,0.02,1.82,0.73,0.80,11.00,11.00,0.00,256.00,0.00,5,773,2.30,0.97,0.38,0,502288,3412836,87.17,44448,841912,4867832,124.33,2780092,469164,2048,lo,40.00,40.00,5.43,5.43,0.00,0.00,0.00,0.00,128.00,0.00,13561.00,8.00,996.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3464.00
12:03:11,97.00,0.00,3.00,0.00,0.00,0.00,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,16.00,0.00,5,778,2.51,1.03,0.40,0,444160,3470964,88.66,44456,842148,4999168,127.69,2837912,469404,2296,lo,33.00,33.00,4.47,4.47,0.00,0.00,0.00,0.00,8.00,0.00,14682.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2377.00
12:03:12,94.06,0.00,5.45,0.00,0.00,0.50,2.00,16.00,0.00,8.00,0.00,2.00,2.00,0.40,2.00,2.00,0.00,16.00,0.00,6,789,2.51,1.03,0.40,0,355996,3559128,90.91,44460,842164,5168676,132.02,2925900,469260,2304,lo,103.00,103.00,16.14,16.14,0.00,0.00,0.00,0.00,8.00,0.00,22796.00,1.00,1194.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,2912.00
