timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:36:05,82.32,0.00,4.55,1.01,0.00,12.12,25.00,24.00,456.00,19.20,0.04,1.76,1.76,4.40,25.00,3.00,22.00,24.00,456.00,3,698,2.95,3.07,2.68,0,1147352,2767772,70.69,66776,391868,4202668,107.34,2482636,165232,1856,lo,9.00,9.00,1.12,1.12,0.00,0.00,0.00,0.00,12.00,228.00,24177.00,0.00,730.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2071.00
12:36:06,84.42,0.00,3.02,10.55,0.00,2.01,207.00,16.00,3752.00,18.20,0.28,1.37,1.35,28.00,210.00,2.00,208.00,16.00,3856.00,2,696,2.95,3.07,2.68,0,1133404,2781720,71.05,67112,392520,4218668,107.75,2496200,165508,2392,lo,6.00,6.00,0.53,0.53,0.00,0.00,0.00,0.00,8.00,1876.00,4921.00,0.00,1954.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4182.00
12:36:07,77.39,0.00,3.52,18.59,0.00,0.50,336.00,32.00,5616.00,16.81,0.45,1.35,1.32,44.40,342.00,4.00,338.00,32.00,5712.00,2,697,2.95,3.07,2.68,0,1130784,2784340,71.12,67556,393092,4221224,107.82,2498708,165724,2744,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,16.00,2844.00,1604.00,0.00,757.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4468.00
12:36:08,84.58,0.00,1.99,5.47,0.00,7.96,136.00,16.00,2672.00,19.76,0.18,1.29,1.15,15.60,127.00,2.00,125.00,16.00,2472.00,2,697,2.79,3.04,2.67,0,1116772,2798352,71.48,67696,393304,4241844,108.35,2512548,165760,2620,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,8.00,1300.00,3485.00,0.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2990.00
12:36:09,92.50,0.00,2.00,4.00,0.00,1.50,84.00,24.00,1480.00,17.90,0.09,1.10,1.00,8.40,84.00,3.00,81.00,24.00,1480.00,1,700,2.79,3.04,2.67,0,1103456,2811668,71.82,67780,393420,4249608,108.54,2525928,165764,2512,lo,30.00,30.00,3.64,3.64,0.00,0.00,0.00,0.00,12.00,740.00,3408.00,0.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2317.00
12:36:10,81.00,0.00,2.00,1.00,0.00,16.00,86.00,8.00,1936.00,22.60,0.16,1.81,1.53,13.20,86.00,1.00,85.00,8.00,1936.00,2,701,2.79,3.04,2.67,0,1095380,2819744,72.02,67892,393456,4249608,108.54,2533820,165728,2124,lo,23.00,23.00,2.64,2.64,0.00,0.00,0.00,0.00,4.00,968.00,2034.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2944.00
12:36:11,86.87,0.00,5.56,0.00,0.00,7.58,6.00,24.00,16.00,6.67,0.01,2.00,2.00,1.20,6.00,3.00,3.00,24.00,16.00,3,715,2.79,3.04,2.67,0,1057328,2857796,72.99,67912,393684,4376080,111.77,2571880,165876,2332,lo,18.00,18.00,2.48,2.48,0.00,0.00,0.00,0.00,12.00,8.00,13133.00,0.00,2709.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,2852.00
12:36:12,67.86,0.00,19.39,0.00,0.00,12.76,3.00,24.00,0.00,8.00,0.02,5.33,5.33,1.60,3.00,3.00,0.00,24.00,0.00,1,715,2.79,3.04,2.67,0,892632,3022492,77.20,67996,445960,4524076,115.55,2676276,216244,54620,lo,12.00,12.00,1.10,1.10,0.00,0.00,0.00,0.00,12.00,0.00,26602.00,0.00,342.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2610.00
12:36:13,85.93,0.00,6.03,0.00,0.00,8.04,3.00,24.00,0.00,8.00,0.02,6.67,6.67,2.00,3.00,3.00,0.00,24.00,0.00,2,717,2.81,3.04,2.68,0,856640,3058484,78.12,68008,455068,4549920,116.21,2700400,225124,63728,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,0.00,7331.00,0.00,1045.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2744.00
12:36:14,83.50,0.00,4.00,0.00,0.00,12.50,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,3.00,3.00,0.00,24.00,0.00,1,717,2.81,3.04,2.68,0,778180,3136944,80.12,68020,455072,4617340,117.94,2778896,225068,63732,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,12.00,0.00,19982.00,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2342.00
