timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:26:29,89.45,0.00,3.02,0.00,0.00,7.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,726,2.76,2.73,2.83,0,764220,3150904,80.48,44324,705332,4559144,116.45,2483628,524036,1280,lo,6.00,6.00,1.22,1.22,0.00,0.00,0.00,0.00,0.00,0.00,12888.00,0.00,990.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2424.00
13:26:30,44.22,0.00,5.53,0.00,0.00,50.25,2.00,0.00,72.00,36.00,0.01,4.00,4.00,0.80,2.00,0.00,2.00,0.00,72.00,2,691,2.70,2.72,2.82,0,1087044,2828080,72.23,44324,705656,4448800,113.63,2160148,524324,1612,lo,28.00,28.00,3.34,3.34,0.00,0.00,0.00,0.00,0.00,36.00,23251.00,0.00,102420.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,2655.00
13:26:31,90.45,0.00,4.02,0.00,0.00,5.53,3.00,0.00,168.00,56.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,168.00,6,695,2.70,2.72,2.82,0,1039660,2875464,73.45,44324,706204,4089676,104.46,2208256,524892,2160,lo,17.00,17.00,2.01,2.01,0.00,0.00,0.00,0.00,0.00,84.00,15271.00,0.00,2503.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,2927.00
13:26:32,90.36,0.00,4.57,0.00,0.00,5.08,10.00,0.00,672.00,67.20,0.02,2.40,2.40,2.40,10.00,0.00,10.00,0.00,672.00,2,698,2.70,2.72,2.82,0,983376,2931748,74.88,44336,702664,4173472,106.60,2267920,521796,2376,lo,81.00,81.00,291.30,291.30,0.00,0.00,0.00,0.00,0.00,332.67,15952.48,0.00,1479.21,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2443.00
13:26:33,73.00,0.00,4.00,0.50,0.00,22.50,41.00,8.00,168.00,4.29,0.03,0.78,0.78,3.20,41.00,1.00,40.00,8.00,168.00,1,702,2.70,2.72,2.82,0,930536,2984588,76.23,44336,703116,4182608,106.83,2320444,522192,2824,lo,179.00,179.00,423.46,423.46,0.00,0.00,0.00,0.00,4.00,84.00,14477.00,0.00,1130.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,3947.00
13:26:34,76.53,0.00,4.59,0.00,0.00,18.88,5.00,0.00,24.00,4.80,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,24.00,2,718,2.70,2.72,2.82,0,876556,3038568,77.61,44368,703656,4384880,112.00,2373152,522636,3348,lo,162.00,162.00,415.19,415.19,0.00,0.00,0.00,0.00,0.00,12.00,17720.00,0.00,3840.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,69.00,4533.00
13:26:35,91.46,0.00,3.52,0.00,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,718,2.64,2.70,2.82,0,816000,3099124,79.16,44368,703652,4426708,113.07,2433688,522516,3344,lo,18.00,18.00,2.71,2.71,0.00,0.00,0.00,0.00,0.00,0.00,16436.00,0.00,426.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2977.00
13:26:36,87.88,0.00,3.54,0.00,0.00,8.59,14.00,0.00,488.00,34.86,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,488.00,2,730,2.64,2.70,2.82,0,765100,3150024,80.46,44368,703656,4531856,115.75,2484672,522428,3160,lo,60.00,60.00,7.51,7.51,0.00,0.00,0.00,0.00,0.00,248.00,12061.00,0.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2175.00
13:26:37,93.47,0.00,4.02,0.00,0.00,2.51,2.00,0.00,648.00,324.00,0.01,4.00,4.00,0.80,2.00,0.00,2.00,0.00,648.00,2,733,2.64,2.70,2.82,0,692156,3222968,82.32,44388,703664,4634044,118.36,2557856,521784,3272,lo,12.00,12.00,1.59,1.59,0.00,0.00,0.00,0.00,0.00,320.00,21246.00,0.00,2773.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3005.00
13:26:38,84.58,0.00,3.98,0.00,0.00,11.44,10.00,0.00,40.00,4.00,0.01,0.80,0.80,0.80,10.00,0.00,10.00,0.00,40.00,0,780,2.64,2.70,2.82,0,651964,3263160,83.35,44388,703808,4682928,119.61,2597236,521848,3444,lo,70.00,70.00,128.53,128.53,0.00,0.00,0.00,0.00,0.00,20.00,9914.00,0.00,243.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,3810.00
