timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:20:50,84.00,0.00,3.50,0.00,0.00,12.50,63.37,491.09,594.06,17.12,0.06,1.00,0.38,2.38,62.00,62.00,0.00,496.00,0.00,2,712,3.22,3.09,2.12,0,761284,3153840,80.56,42684,702764,4579024,116.96,2557260,467976,4540,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,248.00,300.00,15510.00,0.00,976.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2685.00
12:20:51,55.00,0.00,5.00,0.50,0.00,39.50,70.00,544.00,72.00,8.80,0.24,3.43,0.40,2.80,70.00,68.00,2.00,544.00,72.00,2,710,3.22,3.09,2.12,0,796472,3118652,79.66,42960,703724,4475368,114.31,2520736,468896,5504,lo,16.00,16.00,1.54,1.54,0.00,0.00,0.00,0.00,272.00,36.00,25136.00,0.00,33177.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,2388.00
12:20:52,87.31,0.00,4.06,1.02,0.00,7.61,65.00,496.00,56.00,8.49,0.55,8.43,0.62,4.00,65.00,62.00,3.00,496.00,56.00,2,679,3.20,3.09,2.13,0,1021956,2893168,73.90,43208,700452,4124188,105.34,2299628,465848,2308,lo,28.00,28.00,3.27,3.27,0.00,0.00,0.00,0.00,248.00,28.00,13995.00,0.00,69006.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,3136.00
12:20:53,89.05,0.00,4.48,0.50,0.00,5.97,18.00,32.00,64.00,5.33,0.01,0.67,0.67,1.20,18.00,4.00,14.00,32.00,64.00,1,693,3.20,3.09,2.13,0,967844,2947280,75.28,43220,696780,4217196,107.72,2356200,462616,2460,lo,539.00,539.00,3478.22,3478.22,0.00,0.00,0.00,0.00,16.00,32.00,14693.00,0.00,1621.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3407.00
12:20:54,65.99,0.00,3.55,0.51,0.00,29.95,42.00,16.00,160.00,4.19,0.03,0.57,0.67,2.80,44.00,2.00,42.00,16.00,888.00,0,693,3.20,3.09,2.13,0,894528,3020596,77.15,43236,697212,4256580,108.72,2429016,463008,2892,lo,201.00,201.00,422.26,422.26,0.00,0.00,0.00,0.00,8.00,80.00,18595.00,0.00,538.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,3302.00
12:20:55,25.89,0.00,4.06,0.51,0.00,69.54,8.00,8.00,752.00,95.00,0.01,1.50,1.00,0.80,6.00,1.00,5.00,8.00,24.00,2,718,3.20,3.09,2.13,0,861908,3053216,77.99,43248,697776,4387720,112.07,2460356,463484,3504,lo,184.00,184.00,419.23,419.23,0.00,0.00,0.00,0.00,4.00,376.00,12096.00,0.00,3804.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,85.00,3404.00
12:20:56,91.50,0.00,3.00,0.00,0.00,5.50,1.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,2,719,3.20,3.09,2.13,0,814152,3100972,79.20,43252,697772,4499220,114.92,2508004,463368,3500,lo,15.00,15.00,2.12,2.12,0.00,0.00,0.00,0.00,4.00,0.00,13631.00,0.00,919.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3500.00
12:20:57,87.06,0.00,3.98,0.00,0.00,8.96,57.00,16.00,856.00,15.30,0.08,1.33,0.14,0.80,57.00,2.00,55.00,16.00,856.00,3,714,3.10,3.07,2.13,0,754116,3161008,80.74,43260,697772,4591032,117.26,2567872,463356,2792,lo,52.00,52.00,5.47,5.47,0.00,0.00,0.00,0.00,8.00,428.00,15282.00,0.00,369.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,1879.00
12:20:58,91.41,0.00,4.55,0.00,0.00,4.04,34.00,272.00,0.00,8.00,0.06,1.88,0.71,2.40,34.00,34.00,0.00,272.00,0.00,2,727,3.10,3.07,2.13,0,670084,3245040,82.88,43396,697776,4648884,118.74,2652032,463356,2828,lo,36.00,36.00,4.88,4.88,0.00,0.00,0.00,0.00,136.00,0.00,21602.00,0.00,749.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2525.00
12:20:59,96.48,0.00,2.01,0.00,0.00,1.51,40.00,272.00,48.00,8.00,0.01,0.10,0.20,0.80,42.00,34.00,8.00,272.00,648.00,2,765,3.10,3.07,2.13,0,643436,3271688,83.57,43540,697780,4759664,121.57,2677624,463356,2844,lo,15.00,15.00,2.91,2.91,0.00,0.00,0.00,0.00,136.00,0.00,7944.00,0.00,1627.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3379.00
