timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:55:57,35.03,0.00,3.55,1.02,0.00,60.41,39.00,56.00,152.00,5.33,0.04,1.13,0.82,3.20,39.00,7.00,32.00,56.00,152.00,2,622,2.79,2.54,2.58,0,885772,3029352,77.38,18872,815476,4027120,102.86,2501256,404256,48472,lo,131.00,131.00,28.65,28.65,0.00,0.00,0.00,0.00,28.00,76.00,996.00,0.00,92704.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3032.00
16:55:58,77.89,0.00,7.04,0.50,0.00,14.57,33.00,136.00,9528.00,292.85,0.21,6.30,1.21,4.00,35.00,11.00,24.00,136.00,10480.00,4,632,2.79,2.54,2.58,0,1089696,2825428,72.17,18872,698552,3699116,94.48,2413456,291552,43704,lo,9.00,9.00,3.54,3.54,0.00,0.00,0.00,0.00,68.00,5236.00,32709.00,0.00,45206.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,61.00,3584.00
16:55:59,94.50,0.00,4.00,0.00,0.00,1.50,4.00,24.00,952.00,244.00,0.01,3.00,3.00,1.20,4.00,4.00,0.00,88.00,0.00,2,633,2.72,2.53,2.58,0,1039444,2875680,73.45,18884,698600,3788620,96.77,2463276,291568,43808,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,44.00,4.00,13105.00,0.00,906.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2186.00
16:56:00,81.31,0.00,3.54,6.57,0.00,8.59,45.00,104.00,856.00,21.33,0.06,1.24,1.16,5.20,127.00,5.00,122.00,40.00,2528.00,0,634,2.72,2.53,2.58,1,996696,2918428,74.54,19144,698620,3908556,99.83,2507028,290780,43680,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,20.00,1224.00,10881.00,0.00,201.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2389.00
16:56:01,92.00,0.00,3.50,0.50,0.00,4.00,95.00,24.00,1712.00,18.27,0.11,1.22,1.09,10.40,12.00,4.00,8.00,32.00,40.00,2,629,2.72,2.53,2.58,0,917492,2997632,76.57,19176,698612,3913820,99.97,2585816,290248,43676,lo,6.00,6.00,1.11,1.11,0.00,0.00,0.00,0.00,12.00,60.00,21053.00,0.00,1148.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.84,2233.66
16:56:02,90.95,0.00,4.02,0.00,0.00,5.03,2.00,8.00,64.00,36.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,3,606,2.72,2.53,2.58,0,1226732,2688392,68.67,19176,698012,3303864,84.39,2279928,289948,43084,lo,23.00,23.00,2.31,2.31,0.00,0.00,0.00,0.00,4.00,32.00,11617.00,0.00,88505.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,2269.00
16:56:03,90.91,0.00,2.53,0.00,0.00,6.57,222.00,16.00,42208.00,190.20,5.67,25.53,0.29,6.40,222.00,2.00,220.00,16.00,42208.00,2,608,2.72,2.53,2.58,0,1223056,2692068,68.76,19184,677440,3330524,85.07,2300864,272924,1016,lo,50.00,50.00,251.49,251.49,0.00,0.00,0.00,0.00,8.00,21104.00,7264.00,0.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2219.00
16:56:04,74.00,0.00,2.00,0.00,0.00,24.00,11.00,80.00,16.00,8.73,0.01,1.09,1.09,1.20,11.00,7.00,4.00,80.00,16.00,1,611,2.75,2.54,2.58,0,1199696,2715428,69.36,19184,677480,3346380,85.47,2323364,272916,1060,lo,35.00,35.00,4.50,4.50,0.00,0.00,0.00,0.00,40.00,8.00,7752.00,0.00,2408.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,1458.00
16:56:05,79.70,0.00,3.05,1.02,0.00,16.24,39.00,1136.00,8.00,29.33,0.03,0.82,0.82,3.20,40.00,38.00,2.00,1144.00,8.00,3,613,2.75,2.54,2.58,0,1180828,2734296,69.84,19184,678056,3360388,85.83,2342232,272808,1068,lo,27.00,27.00,3.84,3.84,0.00,0.00,0.00,0.00,568.00,4.00,5243.00,0.00,687.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2063.00
16:56:06,95.00,0.00,2.50,0.50,0.00,2.00,12.00,24.00,840.00,72.00,0.04,2.67,1.33,1.60,19.00,1.00,18.00,16.00,872.00,2,612,2.75,2.54,2.58,0,1167472,2747652,70.18,19196,678096,3379252,86.31,2356180,272808,1452,lo,20.00,20.00,2.63,2.63,0.00,0.00,0.00,0.00,12.00,432.00,4150.00,0.00,286.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2680.00
16:56:07,85.79,0.00,4.57,2.54,0.00,7.11,120.00,2232.00,320.00,21.27,0.14,1.13,1.00,12.00,155.00,45.00,110.00,2240.00,464.00,4,614,2.75,2.54,2.58,0,1151148,2763976,70.60,19196,686520,3395424,86.73,2371260,273744,8776,lo,561.00,561.00,7289.14,7289.14,0.00,0.00,0.00,0.00,1120.00,216.00,2537.00,0.00,1941.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,5928.00
16:56:08,46.67,0.00,12.82,11.28,0.00,29.23,452.00,1616.00,2256.00,8.57,0.36,0.80,0.77,34.80,475.00,24.00,451.00,1624.00,2352.00,0,615,2.75,2.54,2.58,1,1081940,2833184,72.37,19196,759284,3395424,86.73,2393248,320960,80504,lo,4197.00,4197.00,72025.65,72025.65,0.00,0.00,0.00,0.00,808.00,1152.00,2889.00,0.00,20193.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,228.00,18143.00
16:56:09,57.14,0.00,7.65,10.20,0.00,25.00,442.00,80.00,1808.00,4.27,0.36,0.81,0.81,35.60,377.00,9.00,368.00,72.00,1536.00,2,615,2.68,2.53,2.58,0,1047020,2868104,73.26,19196,797148,3393156,86.67,2392272,356636,118336,lo,3211.00,3211.00,37788.26,37788.26,0.00,0.00,0.00,0.00,40.00,812.00,4189.00,0.00,14394.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,186.00,16150.00
16:56:10,32.66,0.00,2.51,0.50,0.00,64.32,2.00,16.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,0,614,2.68,2.53,2.58,0,1043796,2871328,73.34,19196,797160,3393156,86.67,2395096,356632,118344,lo,1131.00,1131.00,247.79,247.79,0.00,0.00,0.00,0.00,4.00,0.00,1312.00,0.00,410.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,9503.00
16:56:11,44.10,0.00,22.56,1.54,0.00,31.79,9.00,0.00,448.00,49.78,0.01,0.89,0.89,0.80,195.00,0.00,195.00,0.00,70032.00,6,623,2.68,2.53,2.58,1,976932,2938192,75.05,19632,861540,3389056,86.56,2396724,420720,92664,lo,3062.38,3062.38,69338.78,69338.78,0.00,0.00,0.00,0.00,0.00,89469.31,13928.71,0.00,16447.52,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,461.00,8666.00
