timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:38:25,2.99,0.00,1.49,1.00,0.00,94.53,30.00,1040.00,656.00,56.53,0.09,2.93,1.33,4.00,24.00,15.00,9.00,392.00,656.00,0,651,2.95,2.77,2.66,0,684436,3230688,82.52,5780,792756,4085592,104.35,2685320,413096,13860,lo,28.00,28.00,12.74,12.74,0.00,0.00,0.00,0.00,520.00,328.00,155.00,4.00,1329.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1696.00
16:38:26,14.78,0.00,5.91,28.57,0.00,50.74,897.00,23024.00,8.00,25.68,0.76,0.85,0.51,45.60,1006.00,1005.00,1.00,30504.00,8.00,1,643,2.95,2.77,2.66,0,1004168,2910956,74.35,6492,806796,3761872,96.09,2361068,419304,13848,lo,9.00,9.00,0.73,0.73,0.00,0.00,0.00,0.00,13876.00,4.00,12781.00,53.00,93769.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,3839.00
16:38:27,49.25,0.00,5.53,18.59,0.00,26.63,636.00,32240.00,72.00,50.81,0.51,0.81,0.74,46.80,590.00,588.00,2.00,26224.00,72.00,0,639,2.95,2.77,2.66,1,971792,2943332,75.18,6540,818472,3766272,96.20,2395608,418252,14028,lo,6.00,6.00,3.44,3.44,0.00,0.00,0.00,0.00,14248.00,36.00,18538.00,68.00,12419.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,3910.00
16:38:28,67.49,0.00,2.46,14.29,0.00,15.76,577.00,13536.00,344.00,24.06,0.36,0.62,0.53,30.40,573.00,553.00,20.00,13248.00,344.00,3,639,2.79,2.74,2.65,0,929124,2986000,76.27,6544,825168,3815192,97.45,2433624,422488,13904,lo,6.00,6.00,0.57,0.57,0.00,0.00,0.00,0.00,6860.00,172.00,9641.00,1.00,591.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2932.00
16:38:29,74.37,0.00,2.01,11.56,0.00,12.06,490.00,14848.00,0.00,30.30,0.43,0.88,0.64,31.20,460.00,460.00,0.00,14480.00,0.00,2,640,2.79,2.74,2.65,0,874920,3040204,77.65,6548,832404,3946244,100.79,2482196,428024,13948,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,7148.00,0.00,12217.00,1.00,586.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2941.00
16:38:30,69.19,0.00,7.07,15.66,0.00,8.08,626.00,12408.00,736.00,21.00,0.68,1.08,0.59,36.80,671.00,651.00,20.00,12312.00,1304.00,2,610,2.79,2.74,2.65,0,1129864,2785260,71.14,7052,837672,3494536,89.26,2226664,430908,14300,lo,29.00,29.00,3.34,3.34,0.00,0.00,0.00,0.00,6188.00,600.00,7163.00,0.00,72130.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,3305.00
16:38:31,66.83,0.00,10.05,6.03,0.00,17.09,378.00,6464.00,976.00,19.68,0.34,0.90,0.58,22.00,304.00,258.00,46.00,5752.00,408.00,3,617,2.79,2.74,2.65,0,1702060,2213064,56.53,7208,203324,3502580,89.46,1951292,148700,1816,lo,63.00,63.00,405.26,405.26,0.00,0.00,0.00,0.00,2940.00,256.00,16168.00,0.00,163483.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2937.00
16:38:32,90.45,0.00,5.53,1.01,0.00,3.02,77.00,1488.00,0.00,19.32,0.08,1.04,0.36,2.80,93.00,93.00,0.00,1816.00,0.00,0,618,2.79,2.74,2.65,1,1648848,2266276,57.89,7212,204200,3514168,89.76,2003432,149132,1828,lo,3.00,3.00,0.73,0.73,0.00,0.00,0.00,0.00,872.00,0.00,18702.00,0.00,1750.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2255.00
16:38:33,74.38,0.00,1.48,9.36,0.00,14.78,249.00,5416.00,0.00,21.75,0.24,0.98,0.72,18.00,288.00,288.00,0.00,6432.00,0.00,1,618,2.81,2.74,2.66,0,1639580,2275544,58.12,7212,207296,3514168,89.76,2011048,151008,1832,lo,6.00,6.00,0.98,0.98,0.00,0.00,0.00,0.00,3076.00,0.00,1762.00,1.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2454.00
16:38:34,68.81,0.00,2.97,15.35,0.00,12.87,584.00,11592.00,0.00,19.85,0.44,0.76,0.63,36.80,604.00,604.00,0.00,11880.00,0.00,1,618,2.81,2.74,2.66,0,1608952,2306172,58.90,7212,213384,3552536,90.74,2037384,154564,1836,lo,3.00,3.00,0.39,0.39,0.00,0.00,0.00,0.00,6028.00,0.00,7643.00,0.00,1820.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2209.00
16:38:35,51.52,0.00,1.52,8.08,0.00,38.89,387.00,10104.00,16.00,26.15,0.31,0.81,0.65,25.20,318.00,314.00,4.00,9040.00,16.00,1,621,2.81,2.74,2.66,0,1595140,2319984,59.26,7356,217808,3560352,90.94,2048508,157772,1836,lo,32.00,32.00,3.75,3.75,0.00,0.00,0.00,0.00,4608.00,8.00,2442.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,1868.00
16:38:36,66.33,0.00,3.02,9.05,0.00,21.61,411.00,21712.00,584.00,54.25,0.35,0.85,0.61,25.20,437.00,433.00,4.00,21864.00,584.00,1,622,2.81,2.74,2.66,0,1568216,2346908,59.94,7384,228492,3569064,91.16,2066992,165952,1928,lo,31.00,31.00,4.49,4.49,0.00,0.00,0.00,0.00,10680.00,292.00,6834.00,50.00,1673.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,3457.00
16:38:37,74.87,0.00,2.51,8.54,0.00,14.07,329.00,6440.00,64.00,19.77,0.22,0.68,0.62,20.40,338.00,320.00,18.00,6632.00,80.00,3,622,2.81,2.74,2.66,0,1549368,2365756,60.43,7384,232056,3596760,91.87,2084240,167520,1952,lo,54.00,54.00,9.99,9.99,0.00,0.00,0.00,0.00,3564.00,32.00,3879.00,0.00,233.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2781.00
