timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:37:18,45.27,0.00,6.47,0.00,0.00,48.26,5.00,0.00,152.00,30.40,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,152.00,0,709,2.93,3.21,3.09,1,999208,2915916,74.48,28928,480544,4488028,114.63,2567364,210356,1244,lo,18.00,18.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,76.00,18680.00,0.00,32647.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,2023.00
14:37:19,61.50,0.00,5.00,10.00,0.00,23.50,300.00,8376.00,80.00,28.19,0.25,0.84,0.67,20.00,300.00,297.00,3.00,8376.00,80.00,2,686,2.93,3.21,3.09,0,1234332,2680792,68.47,28944,484624,4094876,104.59,2331268,213688,1252,lo,23.00,23.00,2.31,2.31,0.00,0.00,0.00,0.00,4188.00,40.00,18602.00,26.00,77645.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3583.00
14:37:20,70.20,0.00,4.55,8.08,0.00,17.17,254.00,3736.00,32.00,14.83,0.26,1.04,0.80,20.40,245.00,237.00,8.00,3616.00,32.00,0,691,2.93,3.21,3.09,1,1187380,2727744,69.67,28944,480496,4139820,105.74,2383968,207716,1360,lo,55.00,55.00,293.17,293.17,0.00,0.00,0.00,0.00,1808.00,16.00,14518.00,0.00,2805.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,2979.00
14:37:21,69.85,0.00,3.52,10.05,0.00,16.58,439.00,9016.00,576.00,21.85,0.39,0.89,0.61,26.80,437.00,435.00,2.00,9016.00,576.00,2,710,2.93,3.21,3.09,0,1127556,2787568,71.20,28956,484976,4215716,107.68,2441400,209440,1424,lo,3.00,3.00,0.55,0.55,0.00,0.00,0.00,0.00,4516.00,288.00,13723.00,0.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,3346.00
14:37:22,90.50,0.00,6.00,2.50,0.00,1.00,247.00,4968.00,8.00,20.15,0.22,0.87,0.57,14.00,253.00,252.00,1.00,4928.00,8.00,4,737,2.93,3.21,3.09,1,986096,2929028,74.81,28960,487460,4459976,113.92,2580936,210232,1476,lo,35.00,35.00,10.67,10.67,0.00,0.00,0.00,0.00,2456.00,4.00,38616.00,0.00,2571.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3317.00
14:37:23,95.50,0.00,4.00,0.50,0.00,0.00,70.30,1362.38,15.84,19.61,0.06,0.79,0.73,5.15,76.00,74.00,2.00,1536.00,16.00,4,737,2.94,3.20,3.09,0,945548,2969576,75.85,28960,488228,4551492,116.25,2622668,209120,1472,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,768.00,8.00,10223.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2452.00
14:37:24,97.50,0.00,2.50,0.00,0.00,0.00,26.00,344.00,120.00,17.85,0.02,0.77,0.62,1.60,25.74,24.75,0.99,340.59,118.81,4,740,2.94,3.20,3.09,0,903216,3011908,76.93,28960,488464,4567372,116.66,2666656,207228,1480,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,172.00,60.00,11770.00,0.00,1576.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.94,3022.77
14:37:25,93.97,0.00,5.03,0.00,0.00,1.01,8.00,136.00,0.00,17.00,0.02,2.00,1.50,1.20,8.00,8.00,0.00,136.00,0.00,4,748,2.94,3.20,3.09,0,800540,3114584,79.55,28960,488532,4746096,121.22,2771860,204452,1480,lo,58.00,58.00,10.58,10.58,0.00,0.00,0.00,0.00,68.00,0.00,26110.00,0.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2398.00
14:37:26,92.04,0.00,4.98,0.50,0.00,2.49,26.00,288.00,400.00,26.46,0.02,0.77,0.62,1.60,26.00,21.00,5.00,288.00,400.00,2,753,2.94,3.20,3.09,0,740040,3175084,81.10,28968,488680,4828828,123.34,2833460,202612,1540,lo,57.00,57.00,7.92,7.92,0.00,0.00,0.00,0.00,144.00,200.00,16428.00,0.00,750.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2667.00
14:37:27,51.74,0.00,19.90,10.45,0.00,17.91,469.00,91680.00,153232.00,522.20,5.39,11.49,0.93,43.60,469.00,383.00,86.00,91680.00,153232.00,3,760,2.94,3.20,3.09,0,483280,3431844,87.66,28980,687768,4945960,126.33,2967856,324504,78164,lo,2407.00,2407.00,76750.61,76750.61,0.00,0.00,0.00,0.00,45840.00,76616.00,15460.00,0.00,15664.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,11827.00
