timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:43:24,86.00,0.00,5.00,0.00,0.00,9.00,2.00,16.00,0.00,8.00,0.02,10.00,10.00,2.00,2.00,2.00,0.00,16.00,0.00,3,716,3.36,2.79,2.58,0,1574092,6469800,80.43,139024,3572776,5232280,65.05,3131676,3096532,63348,lo,3.00,3.00,0.42,0.42,0.00,0.00,0.00,0.00,8.00,0.00,19783.00,0.00,1191.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2626.00
22:43:25,52.79,0.00,7.11,1.02,0.00,39.09,79.00,536.00,104792.00,1333.27,17.78,225.06,5.62,44.40,80.00,10.00,70.00,544.00,104792.00,3,691,3.36,2.79,2.58,0,1979076,6064816,75.40,139036,3573724,4481116,55.71,2728256,3097276,11732,lo,41.00,41.00,4.25,4.25,0.00,0.00,0.00,0.00,268.00,52396.00,25842.00,1.00,124444.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.40,2788.12
22:43:26,88.38,0.00,4.55,0.00,0.00,7.07,12.00,32.00,40.00,6.00,0.01,1.00,1.00,1.20,13.00,3.00,10.00,24.00,784.00,2,695,3.33,2.80,2.58,0,1964824,6079068,75.57,139052,3521828,4578740,56.92,2791732,3048864,11868,lo,46.00,46.00,121.44,121.44,0.00,0.00,0.00,0.00,16.00,20.00,15817.00,0.00,13939.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2409.00
22:43:27,92.46,0.00,3.02,0.00,0.00,4.52,10.00,16.00,768.00,78.40,0.01,1.20,1.20,1.20,8.00,2.00,6.00,16.00,24.00,3,701,3.33,2.80,2.58,0,1924056,6119836,76.08,139060,3521836,4630388,57.56,2831940,3048924,11984,lo,57.00,57.00,69.24,69.24,0.00,0.00,0.00,0.00,8.00,384.00,12580.00,0.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,2612.00
22:43:28,61.81,0.00,4.02,2.01,0.00,32.16,43.00,24.00,160.00,4.28,0.05,1.21,1.21,5.20,43.00,3.00,40.00,24.00,160.00,0,701,3.33,2.80,2.58,0,1848168,6195724,77.02,139072,3522232,4661708,57.95,2906388,3049272,12380,lo,177.00,177.00,387.56,387.56,0.00,0.00,0.00,0.00,12.00,80.00,21565.00,0.00,2722.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3026.00
22:43:29,61.03,0.00,4.62,0.00,0.00,34.36,8.00,24.00,24.00,6.00,0.02,2.00,2.00,1.60,8.00,3.00,5.00,24.00,24.00,3,723,3.33,2.80,2.58,0,1779828,6264064,77.87,139084,3522732,4949196,61.53,2974576,3049692,12868,lo,161.00,161.00,379.13,379.13,0.00,0.00,0.00,0.00,12.00,12.00,20875.00,0.00,3274.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,4532.00
22:43:30,91.50,0.00,3.50,1.00,0.00,4.00,7.00,24.00,120.00,20.57,0.09,12.57,12.57,8.80,7.00,3.00,4.00,24.00,120.00,3,725,3.33,2.80,2.58,0,1742720,6301172,78.33,139096,3522732,4948216,61.52,3011748,3049584,12808,lo,15.00,15.00,2.13,2.13,0.00,0.00,0.00,0.00,12.00,60.00,11427.00,0.00,3661.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2657.00
22:43:31,87.56,0.00,2.99,0.00,0.00,9.45,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,5.00,3.00,2.00,24.00,624.00,3,737,3.22,2.78,2.58,0,1680668,6363224,79.11,139112,3522732,4995568,62.10,3073540,3049580,12816,lo,63.00,63.00,8.14,8.14,0.00,0.00,0.00,0.00,12.00,0.00,16210.00,0.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2520.00
22:43:32,95.00,0.00,3.50,0.00,0.00,1.50,4.00,16.00,624.00,160.00,0.13,30.00,32.00,12.80,3.00,3.00,0.00,24.00,0.00,3,740,3.22,2.78,2.58,0,1591232,6452660,80.22,139128,3522740,5165952,64.22,3162568,3049584,12928,lo,9.00,9.00,1.46,1.46,0.00,0.00,0.00,0.00,8.00,312.00,25750.00,0.00,2222.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3116.00
22:43:33,94.47,0.00,3.02,0.00,0.00,2.51,13.00,24.00,48.00,5.54,0.02,1.85,1.23,1.60,12.00,2.00,10.00,16.00,48.00,2,786,3.22,2.78,2.58,0,1564004,6479888,80.56,139136,3522880,5198872,64.63,3188812,3049696,13076,lo,59.00,59.00,127.05,127.05,0.00,0.00,0.00,0.00,12.00,20.00,5801.00,0.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,3745.00
22:43:34,13.00,0.00,1.50,1.00,0.00,84.50,3.00,24.00,0.00,8.00,0.03,9.33,9.33,2.80,3.00,3.00,0.00,24.00,0.00,0,787,3.22,2.78,2.58,0,1548196,6495696,80.75,139148,3522880,5246036,65.22,3203848,3049696,13076,lo,29.00,29.00,3.72,3.72,0.00,0.00,0.00,0.00,12.00,4.00,7211.00,0.00,2233.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,1752.00
22:43:35,24.12,0.00,3.52,1.01,0.00,71.36,21.00,24.00,1312.00,63.62,0.03,1.52,0.95,2.00,21.00,3.00,18.00,24.00,1312.00,4,812,3.22,2.78,2.58,0,1511208,6532684,81.21,139164,3523084,5570880,69.26,3239624,3049828,12620,lo,63.00,63.00,12.75,12.75,0.00,0.00,0.00,0.00,12.00,652.00,10660.00,0.00,2328.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,2661.00
22:43:36,91.04,0.00,6.97,0.00,0.00,1.99,12.00,24.00,72.00,8.00,0.02,1.33,1.33,1.60,14.00,3.00,11.00,24.00,720.00,4,816,3.28,2.80,2.58,0,1405068,6638824,82.53,139180,3523084,5586988,69.46,3345560,3049824,12660,lo,17.00,17.00,2.39,2.39,0.00,0.00,0.00,0.00,12.00,8.00,29826.00,0.00,1499.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5358.00
22:43:37,97.00,0.00,3.00,0.00,0.00,0.00,5.00,24.00,648.00,134.40,0.06,11.20,11.20,5.60,3.00,3.00,0.00,24.00,0.00,6,821,3.28,2.80,2.58,0,1368888,6675004,82.98,139192,3523100,5760792,71.62,3381416,3049804,12776,lo,17.00,17.00,2.74,2.74,0.00,0.00,0.00,0.00,12.00,356.00,8147.00,0.00,484.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4435.00
22:43:38,96.02,0.00,3.98,0.00,0.00,0.00,3.00,24.00,0.00,8.00,0.00,1.33,1.33,0.40,3.00,3.00,0.00,24.00,0.00,5,826,3.28,2.80,2.58,0,1333700,6710192,83.42,139204,3523104,5777256,71.82,3416276,3049804,12784,lo,47.00,47.00,6.34,6.34,0.00,0.00,0.00,0.00,12.00,0.00,10504.00,0.00,803.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,4167.00
22:43:39,95.98,0.00,4.02,0.00,0.00,0.00,3.00,24.00,0.00,8.00,0.01,2.67,2.67,0.80,3.00,3.00,0.00,24.00,0.00,5,825,3.28,2.80,2.58,0,1260888,6783004,84.32,139216,3523352,5734420,71.29,3488616,3050052,13032,lo,26.00,26.00,2.76,2.76,0.00,0.00,0.00,0.00,12.00,0.00,19171.00,0.00,340.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,2771.00
22:43:40,92.00,0.00,7.50,0.00,0.00,0.50,14.00,24.00,1128.00,82.29,0.03,2.29,1.71,2.40,15.00,4.00,11.00,32.00,1128.00,6,834,3.28,2.80,2.58,0,1042280,7001612,87.04,139228,3523508,5914848,73.53,3705824,3050048,12672,lo,139.00,139.00,474.48,474.48,0.00,0.00,0.00,0.00,12.00,564.00,55850.00,0.00,1127.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,4247.00
22:43:41,52.53,0.00,7.07,0.51,0.00,39.90,12.00,32.00,160.00,16.00,0.02,2.00,2.00,2.40,13.00,3.00,10.00,24.00,648.00,4,818,3.18,2.79,2.58,0,1483140,6560752,81.56,139244,3523696,5686016,70.69,3267368,3049856,12868,lo,142.00,142.00,48.20,48.20,0.00,0.00,0.00,0.00,16.00,80.00,14572.00,0.00,124422.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,72.00,5643.00
22:43:42,92.00,0.00,5.00,0.50,0.00,2.50,4.00,16.00,488.00,126.00,0.02,5.00,5.00,2.00,2.00,2.00,0.00,16.00,0.00,3,818,3.18,2.79,2.58,0,1376212,6667680,82.89,139252,3523700,5718580,71.09,3374092,3049856,12936,lo,14.00,14.00,2.23,2.23,0.00,0.00,0.00,0.00,8.00,244.00,27000.00,0.00,1465.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5503.00
