timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:04:36,97.50,0.00,2.50,0.00,0.00,0.00,2.00,0.00,392.00,196.00,0.01,6.00,6.00,1.20,2.00,0.00,2.00,0.00,392.00,5,749,2.24,2.76,2.76,1,3170736,4873156,60.58,123892,2170744,4895968,60.87,3161872,1501780,1644,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,13157.00,0.00,947.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4006.00
15:04:37,97.47,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,754,2.24,2.76,2.76,0,3103952,4939940,61.41,123892,2170748,5046496,62.74,3228856,1501776,1700,lo,23.76,23.76,2.81,2.81,0.00,0.00,0.00,0.00,0.00,196.00,13007.00,0.00,2877.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.93,2967.33
15:04:38,95.50,0.00,3.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,760,2.24,2.76,2.76,0,3004748,5039144,62.65,123892,2170752,5091380,63.29,3327844,1501776,1704,lo,71.00,71.00,8.39,8.39,0.00,0.00,0.00,0.00,0.00,0.00,32595.00,0.00,913.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3027.00
15:04:39,85.07,0.00,1.49,8.46,0.00,4.98,182.00,16.00,5304.00,29.23,0.25,1.34,1.36,24.80,182.00,2.00,180.00,16.00,5304.00,1,762,2.24,2.76,2.76,1,2978676,5065216,62.97,124164,2171932,5091380,63.29,3352712,1502884,1752,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,8.00,2448.00,5556.00,0.00,156.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3331.00
15:04:40,47.74,0.00,2.01,26.63,0.00,23.62,500.00,0.00,8336.00,16.67,0.64,1.29,1.13,56.40,500.00,0.00,500.00,0.00,8336.00,2,762,2.38,2.78,2.77,0,2969252,5074640,63.09,124988,2172616,5107108,63.49,3361328,1503268,1744,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,4372.00,3282.00,0.00,878.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5254.00
15:04:41,86.70,0.00,1.97,0.49,0.00,10.84,12.00,0.00,248.00,20.67,0.00,0.33,0.33,0.40,12.00,0.00,12.00,0.00,248.00,1,765,2.38,2.78,2.77,0,2955936,5087956,63.25,124988,2172712,5195124,64.58,3374984,1503260,1840,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,0.00,124.00,4000.00,0.00,435.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2071.00
15:04:42,80.20,0.00,3.05,11.17,0.00,5.58,247.00,272.00,4064.00,17.55,0.62,2.49,1.33,32.80,247.00,34.00,213.00,272.00,4064.00,5,766,2.38,2.78,2.77,0,2956168,5087724,63.25,125388,2173436,5194996,64.58,3374336,1503496,2448,lo,6.00,6.00,0.97,0.97,0.00,0.00,0.00,0.00,136.00,1948.00,2447.00,0.00,2494.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4021.00
15:04:43,63.00,0.00,2.50,22.00,0.00,12.50,425.00,24.00,7360.00,17.37,0.58,1.36,1.25,53.20,425.00,3.00,422.00,24.00,7360.00,2,765,2.38,2.78,2.77,0,2952992,5090900,63.29,125772,2174172,5194996,64.58,3377928,1502980,2728,lo,7.00,7.00,1.74,1.74,0.00,0.00,0.00,0.00,12.00,3444.00,1377.00,0.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5188.00
15:04:44,69.65,0.00,3.48,12.94,0.00,13.93,256.00,24.00,4984.00,19.56,0.41,1.52,1.33,34.00,256.00,3.00,253.00,24.00,4984.00,1,766,2.38,2.78,2.77,0,2946280,5097612,63.37,125920,2174600,5194996,64.58,3383456,1503168,2372,lo,3.00,3.00,0.38,0.38,0.00,0.00,0.00,0.00,12.00,2812.00,1629.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3621.00
15:04:45,70.50,0.00,2.00,0.50,0.00,27.00,27.00,8.00,1280.00,47.70,0.02,1.63,0.44,1.20,27.00,1.00,26.00,8.00,1280.00,1,769,2.27,2.75,2.76,0,2931108,5112784,63.56,125920,2174612,5210744,64.78,3399404,1503160,1828,lo,52.00,52.00,6.97,6.97,0.00,0.00,0.00,0.00,4.00,640.00,4801.00,0.00,1430.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,2468.00
