timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:29:36,17.69,0.00,1.78,0.38,0.00,80.15,9.60,1.60,3440.00,358.50,0.09,17.17,1.42,1.36,8.80,0.20,8.60,1.60,2996.80,1,838,3.25,4.39,4.35,0,1346128,14954484,91.74,148368,11233260,6086268,37.34,4876876,9504132,324568,lo,20.20,20.20,7.50,7.50,0.00,0.00,0.00,0.00,0.80,354.40,29066.20,0.00,64614.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.60,6736.20
13:29:41,28.53,0.00,1.88,0.05,0.00,69.54,17.00,1.60,376.00,22.21,0.01,0.42,0.42,0.72,18.20,0.20,18.00,1.60,964.80,0,934,3.23,4.37,4.34,0,924940,15375672,94.33,148368,11182304,6832064,41.91,5345816,9454320,274340,lo,182.60,182.60,1666.03,1666.03,0.00,0.00,0.00,0.00,0.80,184.80,25670.20,0.00,3467.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,5338.60
13:29:46,37.11,0.00,1.50,0.03,0.00,61.36,7.80,0.00,12587.20,1613.74,0.31,40.10,1.85,1.44,7.80,0.00,7.80,0.00,12587.20,3,1004,3.21,4.34,4.33,0,417660,15882952,97.44,148368,11182772,7543248,46.28,5850888,9454668,243752,lo,455.40,455.40,13047.62,13047.62,0.00,0.00,0.00,0.00,0.00,6293.60,28064.00,0.00,2515.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,7622.80
13:29:51,39.97,0.00,1.69,0.13,0.00,58.21,45.80,0.00,42619.20,930.55,12.34,269.45,3.18,14.56,45.80,0.00,45.80,0.00,42619.20,2,1001,3.11,4.30,4.32,0,358248,15942364,97.80,148372,11242648,7545208,46.29,5906804,9454688,197184,lo,350.40,350.40,10009.66,10009.66,0.00,0.00,0.00,0.00,0.00,21309.60,27183.40,0.00,26906.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,8074.20
13:29:56,38.80,0.00,1.78,0.00,0.00,59.42,18.80,0.00,26168.00,1391.91,2.89,153.66,3.32,6.24,18.80,0.00,18.80,0.00,26168.00,8,1006,3.02,4.27,4.31,0,301552,15999060,98.15,148376,11302464,7543684,46.28,5966744,9454684,192144,lo,199.20,199.20,4956.00,4956.00,0.00,0.00,0.00,0.00,0.00,13084.00,27203.00,0.00,26667.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,7123.40
13:30:01,35.48,0.00,1.56,0.00,0.00,62.96,19.40,0.00,25088.00,1293.20,1.58,81.61,2.14,4.16,19.40,0.00,19.40,0.00,25088.00,4,984,3.02,4.24,4.30,0,526672,15773940,96.77,148384,11362012,7471548,45.84,5741864,9454420,189396,lo,397.20,397.20,11136.94,11136.94,0.00,0.00,0.00,0.00,0.00,12544.00,13247.80,0.00,26927.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,7083.80
13:30:06,38.88,0.00,1.28,0.03,0.00,59.81,12.60,0.00,481.60,38.22,0.01,0.57,0.19,0.24,12.60,0.00,12.60,0.00,481.60,0,991,2.94,4.21,4.29,0,164100,16136512,98.99,148388,11421672,7543696,46.28,6100568,9454388,248236,lo,403.00,403.00,12174.94,12174.94,0.00,0.00,0.00,0.00,0.00,247.20,15791.80,0.00,13644.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,6443.20
13:30:11,37.22,0.00,2.29,0.03,0.00,60.47,28.00,0.00,28132.80,1004.74,0.44,15.89,0.97,2.72,27.60,0.00,27.60,0.00,28080.00,3,995,3.11,4.22,4.29,0,334056,15966556,97.95,148388,11464388,7432604,45.60,5871280,9515232,221960,lo,418.80,418.80,13768.73,13768.73,0.00,0.00,0.00,0.00,0.00,14060.80,29323.00,0.00,26476.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,7822.20
13:30:16,37.99,0.00,2.03,0.03,0.00,59.95,5.20,0.00,156.80,30.15,0.00,0.92,0.92,0.48,5.60,0.00,5.60,0.00,209.60,3,999,3.26,4.23,4.29,1,237924,16062688,98.54,148388,11586676,7468940,45.82,5847568,9636524,344292,lo,851.20,851.20,25701.34,25701.34,0.00,0.00,0.00,0.00,0.00,77.60,8518.80,0.00,14108.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,10978.80
13:30:21,42.85,0.00,1.93,0.05,0.00,55.17,25.60,1.60,36758.40,1435.94,0.57,22.12,1.19,3.04,25.60,0.20,25.40,1.60,36758.40,5,1013,3.16,4.20,4.28,0,163272,16137340,99.00,148120,11604764,7447176,45.69,5873444,9685360,341272,lo,725.80,725.80,23855.88,23855.88,0.00,0.00,0.00,0.00,0.80,18379.20,12253.80,0.00,15822.60,3532.60,0.00,3532.60,100.00,0.00,0.00,0,0,0.00,0,0.00,16.00,9454.20
13:30:26,33.82,0.00,2.04,0.08,0.00,64.07,22.20,3.20,18547.20,835.60,0.34,15.42,0.79,1.76,22.20,0.40,21.80,3.20,18547.20,3,990,3.14,4.18,4.27,0,251104,16049508,98.46,147884,11580784,7464604,45.79,5750856,9721312,344036,lo,707.00,707.00,22075.57,22075.57,0.00,0.00,0.00,0.00,1.60,9274.40,14695.80,0.00,25910.80,3527.60,0.00,3527.60,100.00,0.00,0.00,0,0,0.00,0,0.00,29.00,9707.80
13:30:31,43.01,0.00,1.58,0.03,0.00,55.38,10.00,0.00,12393.60,1239.36,0.14,13.76,1.28,1.28,10.00,0.00,10.00,0.00,12393.60,2,1005,3.69,4.27,4.30,0,182440,16118172,98.88,147628,11579680,7461412,45.77,5790252,9747944,422104,lo,889.20,889.20,27966.88,27966.88,0.00,0.00,0.00,0.00,0.00,6196.00,4761.20,0.00,11219.20,5323.40,0.00,5323.40,100.00,0.00,0.00,0,0,0.00,0,0.00,14.00,9900.00
13:30:36,41.11,0.00,2.22,0.05,0.00,56.62,14.60,41.60,6865.60,473.10,0.06,3.78,0.77,1.12,14.60,5.20,9.40,41.60,6865.60,1,1008,3.64,4.25,4.30,3,153864,16146748,99.06,147636,11620088,7459276,45.76,5750928,9817240,484620,lo,655.80,655.80,21985.12,21985.12,0.00,0.00,0.00,0.00,20.80,3433.60,17738.40,0.00,24103.20,3579.20,0.00,3579.20,100.00,0.00,0.00,0,0,0.00,0,0.00,27.20,9423.60
13:30:41,28.37,0.00,1.51,0.05,0.00,70.07,10.80,1.60,174.40,16.30,0.01,0.59,0.59,0.64,10.80,0.20,10.60,1.60,174.40,0,927,3.51,4.21,4.28,0,504560,15796052,96.90,147032,11560576,6835888,41.94,5403660,9815532,531504,lo,755.40,755.40,21717.33,21717.33,0.00,0.00,0.00,0.00,0.80,86.40,3067.60,0.00,26681.60,3566.80,0.00,3566.80,100.00,0.00,0.00,0,0,0.00,0,0.00,13.00,8316.00
13:30:46,1.45,0.00,0.23,0.33,0.00,98.00,33.60,1.60,30225.60,899.62,14.06,176.05,4.48,15.04,33.60,0.20,33.40,1.60,30225.60,0,873,3.22,4.14,4.26,0,505184,15795428,96.90,147048,11560628,6833964,41.92,5402320,9815600,399376,lo,82.40,82.40,188.67,188.67,0.00,0.00,0.00,0.00,0.80,26630.40,849.60,0.00,907.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,2613.80
13:30:51,15.59,0.00,1.95,2.43,0.00,80.03,35.60,1.60,51912.00,1458.25,15.93,405.96,5.15,18.32,35.53,0.20,35.33,1.60,51808.38,15,883,2.97,4.07,4.24,1,836264,15464348,94.87,147072,11332212,6721368,41.23,5304492,9587132,267532,lo,66.73,66.73,140.02,140.02,0.00,0.00,0.00,0.00,0.80,26600.00,18781.00,0.00,34553.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,4980.00
13:30:56,30.57,0.00,1.78,2.97,0.00,64.68,20.00,0.00,24388.80,1219.44,3.34,648.12,3.60,7.20,20.00,0.00,20.00,0.00,24388.80,3,1001,2.73,4.01,4.21,0,275092,16025520,98.31,147076,11332820,7538688,46.25,5860024,9587116,268172,lo,219.20,219.20,5726.65,5726.65,0.00,0.00,0.00,0.00,0.00,83.20,29342.00,0.00,1308.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,7269.60
