timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:52:47,17.03,0.00,1.38,5.76,0.00,75.84,181.40,0.00,76121.60,419.63,29.11,116.92,1.90,34.40,181.40,0.00,181.40,0.00,76121.60,0,826,2.64,3.05,3.23,2,14962604,17853072,54.40,216496,13870004,6610400,20.14,4555640,12652808,1554252,lo,10.80,10.80,1.19,1.19,0.00,0.00,0.00,0.00,0.00,61709.60,26325.00,0.00,40841.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,4950.80
13:52:52,16.10,0.00,0.45,12.50,0.00,70.95,218.00,0.00,116560.00,534.68,55.17,289.34,2.79,60.88,218.00,0.00,218.00,0.00,116560.00,1,834,2.75,3.06,3.24,0,15047764,17767912,54.14,217268,13716928,6726172,20.50,4625364,12502404,1389428,lo,19.80,19.80,94.43,94.43,0.00,0.00,0.00,0.00,0.00,34631.20,5376.60,0.00,9495.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,4055.60
13:52:57,9.63,0.00,0.45,15.12,0.00,74.80,113.00,0.00,155918.40,1379.81,87.64,624.84,6.24,70.48,113.00,0.00,113.00,0.00,155918.40,0,837,2.69,3.05,3.23,2,14982204,17833472,54.34,217412,13734136,6825516,20.80,4673464,12518696,897696,lo,176.20,176.20,3444.29,3444.29,0.00,0.00,0.00,0.00,0.00,101925.60,3072.20,0.00,1241.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,3228.00
13:53:02,21.53,0.00,1.15,7.57,0.00,69.74,45.20,0.00,81433.60,1801.63,30.50,1051.58,6.87,31.04,45.20,0.00,45.20,0.00,81433.60,6,934,2.87,3.08,3.24,0,14486976,18328700,55.85,217420,13751872,7679972,23.40,5149688,12535000,831904,lo,164.40,164.40,3526.22,3526.22,0.00,0.00,0.00,0.00,0.00,16750.40,26393.40,0.00,2058.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,4958.00
13:53:07,26.86,0.00,1.53,14.44,0.00,57.17,129.80,0.00,203600.00,1568.57,102.37,700.35,6.69,86.88,129.80,0.00,129.80,0.00,203600.00,6,1003,2.80,3.06,3.23,1,14168336,18647340,56.82,217428,13752868,8314280,25.34,5465160,12534600,198276,lo,87.00,87.00,425.62,425.62,0.00,0.00,0.00,0.00,0.00,126986.40,19350.00,0.00,2898.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,6182.80
13:53:12,35.38,0.00,1.56,9.92,0.00,53.14,65.60,0.00,114849.60,1750.76,48.63,916.12,7.78,51.04,65.60,0.00,65.60,0.00,114849.60,2,1005,2.90,3.08,3.24,0,13985724,18829952,57.38,217440,13882700,8327968,25.38,5524064,12657656,167372,lo,1694.40,1694.40,51887.16,51887.16,0.00,0.00,0.00,0.00,0.00,32238.40,4143.20,0.00,4806.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,13232.40
13:53:17,36.68,0.00,1.88,0.03,0.00,61.42,9.60,0.00,236.80,24.67,0.00,0.42,0.42,0.40,9.60,0.00,9.60,0.00,236.80,3,956,3.07,3.11,3.25,0,14098376,18717300,57.04,217444,14036832,8046832,24.52,5262188,12803944,321216,lo,1937.20,1937.20,59010.98,59010.98,0.00,0.00,0.00,0.00,0.00,118.40,6626.40,0.00,23809.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,13144.60
13:53:22,52.13,0.00,2.65,0.03,0.00,45.20,7.80,0.00,563.20,72.21,0.01,1.13,0.62,0.48,7.80,0.00,7.80,0.00,563.20,2,1011,3.54,3.21,3.28,0,13693692,19121984,58.27,217452,14150484,8389808,25.57,5555836,12911808,433992,lo,1510.20,1510.20,45878.49,45878.49,0.00,0.00,0.00,0.00,0.00,281.60,17401.60,0.00,5310.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,13867.00
13:53:27,38.51,0.00,2.06,0.05,0.00,59.39,14.00,0.00,7464.00,533.14,0.17,12.00,0.91,1.28,14.00,0.00,14.00,0.00,7464.00,3,992,3.50,3.20,3.28,0,13600704,19214972,58.55,217464,14321684,8363236,25.49,5481716,13074336,588068,lo,2129.20,2129.20,65368.99,65368.99,0.00,0.00,0.00,0.00,0.00,3732.00,7675.00,0.00,15931.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.20,14578.40
13:53:32,49.32,0.00,2.08,0.03,0.00,48.57,3.60,0.00,212.80,59.11,0.00,0.67,0.67,0.24,3.60,0.00,3.60,0.00,212.80,2,1015,3.70,3.25,3.29,0,13402860,19412816,59.16,217468,14438084,8360932,25.48,5566244,13184920,704308,lo,1555.80,1555.80,47067.21,47067.21,0.00,0.00,0.00,0.00,0.00,106.40,17308.60,0.00,15943.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.80,14626.80
