timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:10:21,22.43,0.00,1.41,1.43,0.00,74.73,153.80,0.00,3073.60,19.98,0.17,1.13,1.00,15.36,151.20,0.00,151.20,0.00,3024.00,4,838,2.37,2.52,2.10,0,10075988,22739688,69.30,257816,18244252,7044236,21.47,5239000,16728420,2136,lo,7.00,7.00,0.86,0.86,0.00,0.00,0.00,0.00,0.00,1533.60,28413.00,0.00,15913.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.80,6039.40
16:10:26,22.61,0.00,1.03,1.73,0.00,74.63,174.20,0.00,3017.60,17.32,0.21,1.21,1.10,19.20,176.00,0.00,176.00,0.00,3064.00,1,840,2.18,2.48,2.09,0,9965888,22849788,69.63,258492,18263120,7134724,21.74,5333452,16745112,19632,lo,198.00,198.00,3490.49,3490.49,0.00,0.00,0.00,0.00,0.00,1512.00,5656.40,0.00,1754.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.40,6214.80
16:10:31,22.73,0.00,1.40,0.05,0.00,75.81,4.00,0.00,182.40,45.60,0.01,1.60,1.60,0.64,4.80,0.00,4.80,0.00,185.60,4,934,2.01,2.44,2.08,0,9494672,23321004,71.07,258496,18280876,8055496,24.55,5784636,16761444,37400,lo,162.20,162.20,3526.45,3526.45,0.00,0.00,0.00,0.00,0.00,91.20,24532.40,0.00,1645.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4750.80
16:10:36,57.48,0.00,2.66,0.10,0.00,39.76,26.60,0.00,604.80,22.74,0.05,1.95,0.36,0.96,26.20,0.00,26.20,0.00,603.20,8,1017,2.49,2.53,2.11,0,9167124,23648552,72.06,258504,18287380,8687924,26.47,6104476,16766148,42756,lo,265.00,265.00,3576.67,3576.67,0.00,0.00,0.00,0.00,0.00,302.40,39959.40,0.00,23369.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,9375.40
16:10:41,51.57,0.00,2.64,0.03,0.00,45.76,7.60,0.00,283.20,37.26,0.01,1.79,1.68,1.28,8.00,0.00,8.00,0.00,284.80,10,991,3.01,2.64,2.15,0,9283820,23531856,71.71,258504,18296460,8739092,26.63,5982788,16772404,51728,lo,235.40,235.40,3120.90,3120.90,0.00,0.00,0.00,0.00,0.00,141.60,40199.80,0.00,45838.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.80,9009.40
16:10:46,24.46,0.00,1.03,0.30,0.00,74.22,24.40,0.00,206.40,8.46,0.03,1.18,1.18,2.88,24.40,0.00,24.40,0.00,206.40,0,884,2.77,2.59,2.14,0,9471588,23344088,71.14,258520,18319008,8076512,24.61,5774752,16793648,74272,lo,389.60,389.60,5858.52,5858.52,0.00,0.00,0.00,0.00,0.00,103.20,10042.60,0.00,21808.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,4255.80
16:10:51,4.38,0.00,0.50,0.15,0.00,94.96,47.80,0.00,22710.40,475.11,1.95,40.87,1.00,4.80,47.80,0.00,47.80,0.00,22710.40,5,878,2.63,2.57,2.13,0,9832092,22983584,70.04,258536,18301324,7847736,23.91,5431204,16778668,18332,lo,158.80,158.80,3559.54,3559.54,0.00,0.00,0.00,0.00,0.00,11355.20,6866.80,0.00,25221.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,3441.60
16:10:56,23.28,0.00,0.95,0.03,0.00,75.74,2.20,0.00,144.00,65.45,0.00,1.09,1.09,0.24,2.20,0.00,2.20,0.00,144.00,5,962,2.58,2.56,2.13,0,9375900,23439776,71.43,258540,18301696,8355228,25.46,5886252,16778724,18892,lo,51.20,51.20,54.34,54.34,0.00,0.00,0.00,0.00,0.00,72.00,23772.40,0.00,924.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,4557.40
16:11:01,16.83,0.00,0.98,0.10,0.00,82.09,14.60,0.00,142.40,9.75,0.01,0.99,0.99,1.44,14.60,0.00,14.60,0.00,142.40,0,852,2.37,2.52,2.12,0,9836524,22979152,70.02,258544,18321616,7402152,22.56,5407968,16796392,38952,lo,490.20,490.20,9107.46,9107.46,0.00,0.00,0.00,0.00,0.00,71.20,6230.20,0.00,30609.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,4953.00
16:11:06,5.35,0.00,0.55,0.03,0.00,94.07,2.60,0.00,115.20,44.31,0.00,1.23,1.23,0.32,2.60,0.00,2.60,0.00,115.20,2,833,2.26,2.49,2.11,0,10150712,22664964,69.07,258552,18266732,7199196,21.94,5146104,16748304,21304,lo,18.80,18.80,15.90,15.90,0.00,0.00,0.00,0.00,0.00,57.60,10853.60,0.00,25950.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,2878.40
