timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:49:42,0.80,0.00,0.30,0.03,0.00,98.88,15.20,0.00,553.60,36.42,0.00,0.32,0.26,0.40,15.20,0.00,15.20,0.00,553.60,0,785,3.29,3.28,3.32,0,17429424,15386252,46.89,202960,11744880,6070472,18.50,4158920,10645708,86808,lo,17.40,17.40,2.08,2.08,0.00,0.00,0.00,0.00,0.00,276.80,1065.60,0.00,76769.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,1191.60
13:49:47,16.10,0.00,1.30,0.00,0.00,82.60,22.00,0.00,30880.00,1403.64,2.29,104.04,2.55,5.60,22.00,0.00,22.00,0.00,30880.00,1,824,3.11,3.24,3.31,0,17205204,15610472,47.57,202964,11741000,6599720,20.11,4387124,10645092,10260,lo,11.20,11.20,2.62,2.62,0.00,0.00,0.00,0.00,0.00,15440.00,36988.40,0.00,23873.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.20,6181.80
13:49:52,41.97,0.00,1.58,1.83,0.00,54.62,287.80,0.00,5318.40,18.48,0.25,0.85,0.78,22.48,287.80,0.00,287.80,0.00,5318.40,1,898,3.66,3.36,3.35,1,16666776,16148900,49.21,204540,11734688,7496284,22.84,4929156,10636988,1628,lo,26.60,26.60,4.94,4.94,0.00,0.00,0.00,0.00,0.00,2668.00,30178.20,0.00,3220.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.40,7759.00
13:49:57,29.34,0.00,1.50,0.40,0.00,68.75,59.20,0.00,31593.60,533.68,1.20,20.20,0.91,5.36,59.20,0.00,59.20,0.00,31593.60,3,911,3.45,3.32,3.33,0,16330172,16485504,50.24,204868,11888428,7796348,23.76,5187140,10713660,77880,lo,446.00,446.00,15368.03,15368.03,0.00,0.00,0.00,0.00,0.00,15788.00,11193.00,0.00,4363.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,11774.40
13:50:02,78.61,0.00,2.25,0.00,0.00,19.15,0.80,0.00,144.00,180.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,144.00,8,927,3.25,3.28,3.32,0,16301304,16514372,50.32,204888,11891500,7798044,23.76,5208832,10716280,81152,lo,3173.00,3173.00,105133.69,105133.69,0.00,0.00,0.00,0.00,0.00,72.00,4312.20,0.00,3114.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.80,12746.00
13:50:07,86.54,0.00,2.34,0.00,0.00,11.12,0.80,0.00,129.60,162.00,0.00,2.00,2.00,0.16,0.80,0.00,0.80,0.00,129.60,9,925,3.63,3.36,3.35,0,16290092,16525584,50.36,204892,11899292,7826924,23.85,5214300,10723700,88964,lo,3571.00,3571.00,122874.47,122874.47,0.00,0.00,0.00,0.00,0.00,64.80,1676.20,0.00,1847.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.60,12492.20
13:50:12,85.07,0.00,2.42,0.00,0.00,12.51,1.40,0.00,153.60,109.71,0.00,1.14,1.14,0.16,1.40,0.00,1.40,0.00,153.60,8,925,3.98,3.43,3.37,0,16241964,16573712,50.51,204900,11913364,7831748,23.87,5249584,10736308,103036,lo,3319.80,3319.80,117877.72,117877.72,0.00,0.00,0.00,0.00,0.00,76.80,2580.60,0.00,1036.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,12530.20
13:50:17,82.38,0.00,2.38,0.05,0.00,15.19,15.60,0.00,342.40,21.95,0.00,0.05,0.05,0.08,15.60,0.00,15.60,0.00,342.40,11,922,4.38,3.53,3.40,0,15826036,16989640,51.77,204904,12078464,7823848,23.84,5669528,10728348,267700,lo,1226.00,1226.00,39631.51,39631.51,0.00,0.00,0.00,0.00,0.00,171.20,14717.00,0.00,6336.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,9421.00
13:50:22,31.04,0.00,0.90,0.13,0.00,67.93,27.60,0.00,480.00,17.39,0.02,0.70,0.64,1.76,27.60,0.00,27.60,0.00,480.00,0,785,4.19,3.50,3.39,0,17345476,15470200,47.14,204932,11821620,6076620,18.52,4167500,10717812,87664,lo,258.00,258.00,2092.46,2092.46,0.00,0.00,0.00,0.00,0.00,240.00,3743.40,0.00,81616.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,5258.00
13:50:27,6.98,0.00,1.15,0.08,0.00,91.80,6.40,3.20,739.20,116.00,0.01,1.00,0.88,0.56,6.40,0.40,6.00,3.20,739.20,4,807,3.86,3.44,3.38,0,17182008,15633668,47.64,205012,11850652,6658948,20.29,4299296,10746076,116364,lo,11.00,11.00,2.73,2.73,0.00,0.00,0.00,0.00,1.60,369.60,20525.20,0.00,12572.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3187.40
