timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:45:13,28.74,0.00,6.27,0.70,0.00,64.29,30.00,2134.40,3044.80,172.64,0.14,4.51,1.41,4.24,30.00,22.80,7.20,2134.40,3044.80,2,699,1.66,2.61,2.66,0,1947332,6096288,75.79,33772,3477064,4304520,53.51,3426624,2361332,174660,lo,23.80,23.80,17.00,17.00,0.00,0.00,0.00,0.00,1067.20,1522.40,32059.60,0.40,49531.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,3784.40
12:45:18,24.43,0.00,3.05,3.91,0.00,68.61,328.00,164.80,7294.40,22.74,0.46,1.42,0.62,20.32,328.00,11.80,316.20,164.80,7294.40,5,708,1.69,2.60,2.66,0,1832984,6210636,77.21,34312,3542496,4355720,54.15,3480904,2414692,248492,lo,1455.00,1455.00,7438.12,7438.12,0.00,0.00,0.00,0.00,82.40,3647.20,4728.40,0.00,4777.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,224.40,11617.60
12:45:23,41.51,0.00,2.92,0.50,0.00,55.06,57.00,177.60,7275.20,130.75,0.65,11.41,0.59,3.36,57.00,13.80,43.20,177.60,7275.20,1,797,1.79,2.61,2.66,0,1367288,6676332,83.00,34496,3614420,4973232,61.83,3883976,2472896,303288,lo,528.40,528.40,13632.89,13632.89,0.00,0.00,0.00,0.00,88.80,3637.60,22930.40,0.40,4105.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,4120.20
12:45:28,46.57,0.00,4.03,7.26,0.00,42.14,171.40,82580.80,1824.00,492.44,1.18,6.86,1.95,33.44,171.40,167.40,4.00,82580.80,1824.00,5,840,2.05,2.65,2.67,0,991528,7052092,87.67,34584,3822308,5584524,69.43,4051484,2678908,300664,lo,2407.80,2407.80,41445.22,41445.22,0.00,0.00,0.00,0.00,41290.40,912.00,40877.00,0.00,31864.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.80,6349.20
12:45:33,52.49,0.00,4.03,10.12,0.00,33.37,167.60,82572.80,118.40,493.38,1.24,7.43,1.87,31.36,167.60,166.20,1.40,82572.80,118.40,4,849,2.04,2.64,2.67,0,639256,7404364,92.05,34640,4030256,5829092,72.47,4195768,2885556,302276,lo,2378.20,2378.20,41442.18,41442.18,0.00,0.00,0.00,0.00,41286.40,59.20,39669.40,0.00,32039.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,5812.20
12:45:38,41.57,0.00,4.44,14.03,0.00,39.96,266.40,131057.60,204.80,492.73,1.85,6.82,1.89,50.48,266.40,264.00,2.40,131057.60,204.80,0,858,2.36,2.69,2.69,2,134952,7908668,98.32,34720,4291168,6053224,75.25,4428828,3155504,303424,lo,3687.20,3687.20,65682.30,65682.30,0.00,0.00,0.00,0.00,65733.60,102.40,43520.20,0.00,34552.00,2953.40,0.00,2924.80,99.03,0.00,0.00,0,0,0.00,0,0.00,24.80,5490.40
12:45:43,36.57,0.00,4.24,17.02,0.00,42.17,234.40,116664.00,129.60,498.27,1.80,7.79,2.00,46.80,234.40,232.40,2.00,116664.00,129.60,0,840,2.81,2.78,2.72,0,155844,7887776,98.06,32392,4213996,6057108,75.30,4442392,3119616,305576,lo,3389.00,3389.00,58635.97,58635.97,0.00,0.00,0.00,0.00,58127.20,64.80,34846.40,0.00,50207.00,17290.60,0.00,16319.60,94.38,0.00,0.00,0,0,0.00,0,0.00,37.00,5995.20
12:45:48,46.09,0.00,5.65,12.56,0.00,35.70,669.20,82844.80,80448.00,244.01,37.69,56.33,0.89,59.28,669.20,174.00,495.20,82844.80,80448.00,7,832,2.91,2.80,2.72,0,611544,7432076,92.40,32456,4213564,5623900,69.92,3959924,3150976,122904,lo,2402.60,2402.60,41443.81,41443.81,0.00,0.00,0.00,0.00,41422.40,40224.00,39441.00,5.40,75569.60,8852.00,0.00,8755.40,98.91,0.00,0.00,0,0,0.00,0,0.00,26.00,6109.80
12:45:53,51.09,0.00,4.85,17.82,0.00,26.25,256.40,82612.80,46027.20,501.72,18.89,73.68,1.54,39.36,256.40,167.40,89.00,82612.80,46027.20,5,846,2.92,2.81,2.73,0,481620,7562000,94.01,32508,4193908,5825312,72.42,4081740,3158088,9968,lo,2396.80,2396.80,41442.80,41442.80,0.00,0.00,0.00,0.00,41306.40,23013.60,39146.60,0.40,42669.40,10025.60,0.00,9978.40,99.53,0.00,0.00,0,0,0.00,0,0.00,29.00,5814.80
12:45:58,41.85,0.00,4.44,13.83,0.00,39.88,259.40,126652.80,324.80,489.51,1.79,6.78,1.80,46.72,259.40,254.80,4.60,126652.80,324.80,0,859,3.08,2.84,2.74,3,135972,7907648,98.31,32592,4299752,6058556,75.32,4316412,3268456,10896,lo,3581.20,3581.20,63482.19,63482.19,0.00,0.00,0.00,0.00,63531.20,162.40,43286.20,0.00,41669.40,10366.20,0.00,10366.20,100.00,0.00,0.00,0,0,0.00,0,0.00,22.80,5399.20
