timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:11:44,29.31,0.00,3.30,0.20,0.00,67.18,18.00,17.60,15870.40,882.67,0.39,21.73,1.24,2.24,18.00,2.20,15.80,17.60,15870.40,3,701,2.58,1.90,0.97,0,4835768,3207852,39.88,53340,1043156,4146192,51.55,2481264,573468,145860,lo,21.60,21.60,3.24,3.24,0.00,0.00,0.00,0.00,8.80,7935.20,26829.80,0.00,65034.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4554.00
20:11:49,23.14,0.00,5.40,0.70,0.00,70.76,68.20,4.80,17944.00,263.18,0.80,11.66,0.65,4.40,68.20,0.60,67.60,4.80,17944.00,2,715,2.45,1.89,0.98,0,4360928,3682692,45.78,53468,1180600,4344308,54.01,2779092,709624,323452,lo,160.20,160.20,115.49,115.49,0.00,0.00,0.00,0.00,2.40,8972.00,16388.20,0.00,4302.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,4589.20
20:11:54,36.88,0.00,2.72,0.20,0.00,60.20,17.80,11.20,8488.00,477.48,0.12,6.65,0.99,1.76,17.80,1.40,16.40,11.20,8488.00,6,757,2.25,1.86,0.97,0,3895448,4148172,51.57,53520,1284644,4891868,60.82,3144544,807340,406824,lo,824.00,824.00,20836.12,20836.12,0.00,0.00,0.00,0.00,5.60,4244.00,20512.00,0.00,4633.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,3938.40
20:11:59,38.01,0.00,2.97,0.00,0.00,59.02,12.40,14.40,12560.00,1014.06,0.19,15.29,1.42,1.76,12.40,1.80,10.60,14.40,12560.00,2,809,2.07,1.82,0.96,0,3834924,4208696,52.32,53576,1285088,4953420,61.58,3200240,807428,376292,lo,217.60,217.60,4180.12,4180.12,0.00,0.00,0.00,0.00,7.20,6280.00,31422.00,0.00,28365.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.20,4691.40
20:12:04,62.63,0.00,5.20,0.05,0.00,32.12,9.20,9.60,8443.20,918.78,0.15,16.52,1.13,1.04,9.20,1.20,8.00,9.60,8443.20,9,869,2.63,1.94,1.01,0,3405760,4637860,57.66,53612,1285684,6055716,75.29,3628332,807780,356336,lo,226.80,226.80,4156.66,4156.66,0.00,0.00,0.00,0.00,4.80,4221.60,51778.80,0.00,29673.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.60,6532.20
20:12:09,66.88,0.00,5.93,0.05,0.00,27.14,11.20,12.80,12595.20,1125.71,0.29,26.07,1.43,1.60,11.20,1.60,9.60,12.80,12595.20,2,839,2.58,1.94,1.01,0,3553756,4489864,55.82,53672,1285924,5566424,69.20,3479872,807444,325608,lo,554.60,554.60,12441.06,12441.06,0.00,0.00,0.00,0.00,6.40,6297.60,62201.40,0.00,68746.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.20,6654.20
20:12:14,53.32,0.00,3.75,0.00,0.00,42.92,8.40,17.60,5204.80,621.71,0.10,11.90,1.43,1.20,8.40,2.20,6.20,17.60,5204.80,8,857,3.01,2.05,1.05,0,3497440,4546180,56.52,53728,1286436,5867000,72.94,3537308,807652,313576,lo,300.40,300.40,6336.62,6336.62,0.00,0.00,0.00,0.00,8.80,2602.40,46048.20,0.00,42426.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,5759.80
20:12:19,69.34,0.00,5.00,0.00,0.00,25.66,4.80,12.80,238.40,52.33,0.00,0.17,0.17,0.08,4.80,1.60,3.20,12.80,238.40,5,861,3.01,2.06,1.06,0,3532740,4510880,56.08,53772,1286892,5808560,72.21,3501852,807776,313988,lo,318.00,318.00,6228.76,6228.76,0.00,0.00,0.00,0.00,6.40,119.20,54520.60,0.00,55689.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.40,6823.20
20:12:24,41.96,0.00,4.90,6.12,0.00,47.02,503.20,12.80,104372.80,207.44,41.36,82.19,0.81,40.96,503.20,1.60,501.60,12.80,104372.80,4,863,2.85,2.04,1.06,0,3588112,4455508,55.39,53844,1287104,5772032,71.76,3444632,808728,61936,lo,305.20,305.20,6441.50,6441.50,0.00,0.00,0.00,0.00,6.40,52186.40,38940.80,0.00,45537.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,5006.20
20:12:29,41.14,0.00,3.31,0.10,0.00,55.45,18.00,17.60,21203.20,1178.93,1.36,75.29,2.58,4.64,18.00,2.20,15.80,17.60,21203.20,1,865,2.70,2.03,1.06,0,3406168,4637452,57.65,53920,1287352,5925296,73.66,3625192,808856,9640,lo,302.40,302.40,6258.94,6258.94,0.00,0.00,0.00,0.00,8.80,10601.60,37428.80,0.00,28048.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,4835.40
