timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:17:13,26.18,0.00,6.78,3.02,0.00,64.02,262.00,5918.40,49788.80,212.62,14.92,56.95,0.86,22.48,262.00,205.00,57.00,5918.40,49788.80,1,682,4.98,3.58,3.05,0,2464048,5579572,69.37,9648,3226788,4449312,55.31,2660112,2678760,432056,lo,2415.60,2415.60,73470.48,73470.48,0.00,0.00,0.00,0.00,2959.20,24894.40,12856.60,6.20,145431.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,10205.40
13:17:18,17.57,0.00,3.31,24.50,0.00,54.62,131.00,444.80,135316.80,1036.35,55.13,420.86,4.12,54.00,131.00,25.60,105.40,444.80,135316.80,1,683,4.82,3.57,3.05,0,5172108,2871512,35.70,9748,426464,4607692,57.28,2591100,50852,460,lo,9.80,9.80,1.21,1.21,0.00,0.00,0.00,0.00,222.40,67658.40,14442.00,0.00,149325.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.95,3144.91
13:17:23,59.64,0.00,4.61,2.55,0.00,33.20,343.40,33051.20,30833.60,186.04,2.56,7.45,0.51,17.68,343.00,313.60,29.40,32979.20,30833.60,6,769,4.52,3.53,3.04,0,4237580,3806040,47.32,9940,663092,5540000,68.87,3363440,206728,78120,lo,781.40,781.40,21338.30,21338.30,0.00,0.00,0.00,0.00,16525.60,15416.80,36979.60,0.00,4460.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.20,8712.00
13:17:28,39.88,0.00,5.10,19.04,0.00,35.98,2100.60,232308.80,118.40,110.65,25.83,12.10,0.46,96.40,2101.00,2100.60,0.40,232380.80,118.40,0,771,4.48,3.53,3.04,4,3323972,4719648,58.68,9996,1552908,5544096,68.93,3406648,1079420,385616,lo,6505.40,6505.40,139465.47,139465.47,0.00,0.00,0.00,0.00,116508.80,59.20,2504.00,0.00,12773.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,4162.80
13:17:33,24.96,0.00,4.26,38.20,0.00,32.58,1754.20,179961.60,88568.00,153.08,56.37,28.05,0.57,100.40,1754.20,1677.00,77.20,179961.60,88568.00,0,771,4.52,3.56,3.05,6,2656868,5386752,66.97,10064,2212620,5554164,69.05,3408036,1744528,308780,lo,5360.20,5360.20,99793.29,99793.29,0.00,0.00,0.00,0.00,90016.80,57317.60,1621.40,0.00,12519.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,4108.60
13:17:38,29.36,0.00,5.34,29.96,0.00,35.35,1999.20,218067.20,82070.40,150.13,43.77,25.46,0.50,100.00,1999.20,1937.60,61.60,218067.20,82070.40,0,769,4.64,3.60,3.07,4,1848052,6195568,77.02,10168,3011956,5557400,69.09,3422264,2539312,424640,lo,6214.20,6214.20,121205.94,121205.94,0.00,0.00,0.00,0.00,108980.80,28001.60,1505.00,0.00,12730.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3942.20
13:17:43,18.47,0.00,3.34,46.38,0.00,31.80,1460.80,155227.20,109744.00,181.39,69.18,47.32,0.68,100.00,1460.80,1372.60,88.20,155227.20,109744.00,0,769,4.59,3.61,3.07,4,1279584,6764036,84.09,10232,3581348,5556136,69.08,3437412,3093340,368312,lo,4565.40,4565.40,86068.18,86068.18,0.00,0.00,0.00,0.00,77658.40,54872.00,1121.60,0.00,6751.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,3443.60
13:17:48,22.53,0.00,4.20,32.32,0.00,40.96,1769.40,191958.40,61920.00,143.48,47.06,23.20,0.57,100.00,1769.40,1726.80,42.60,191958.40,61920.00,0,768,4.54,3.61,3.08,8,572352,7471268,92.88,10288,4283296,5560204,69.13,3437820,3798360,361412,lo,5547.60,5547.60,104265.97,104265.97,0.00,0.00,0.00,0.00,95898.40,45910.40,1514.60,9.80,12722.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.20,3820.80
13:17:53,22.15,0.00,4.20,32.70,0.00,40.95,1766.40,190513.60,94132.80,161.14,49.35,29.36,0.57,99.92,1766.40,1692.40,74.00,190513.60,94132.80,0,767,4.41,3.60,3.08,5,141968,7901652,98.24,10604,4704832,5556648,69.08,3433696,4232244,350308,lo,5580.00,5580.00,106773.99,106773.99,0.00,0.00,0.00,0.00,95051.20,47577.60,1851.80,0.00,29478.80,14216.20,0.00,13989.40,98.40,0.00,0.00,0,0,0.00,0,0.00,2.60,3675.60
13:17:58,72.52,0.00,4.26,8.22,0.00,14.99,230.00,22321.60,151480.00,755.66,41.86,197.33,2.39,55.04,229.54,120.56,108.98,22277.05,151177.64,2,764,4.14,3.56,3.07,1,124800,7918820,98.45,10668,4478756,5739052,71.35,4142196,3543524,403524,lo,140.80,140.80,2478.74,2478.74,0.00,0.00,0.00,0.00,11065.60,68900.80,13626.20,0.00,37503.40,33933.20,0.00,33928.40,99.99,0.00,0.00,0,0,0.00,0,0.00,0.80,3310.40
