timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:17:45,21.80,0.00,1.35,2.06,0.00,74.79,164.40,0.00,39596.80,240.86,2.96,18.00,1.53,25.12,164.20,0.00,164.20,0.00,39585.60,4,796,3.13,3.70,3.58,1,52781964,13063840,19.84,191936,9190164,7989328,12.13,4380076,8123300,3180,lo,4.20,4.20,0.65,0.65,0.00,0.00,0.00,0.00,0.00,19798.40,20563.60,0.00,33572.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.60,5116.40
13:17:50,28.48,0.00,0.95,2.03,0.00,68.53,200.80,0.00,3344.00,16.65,0.29,1.45,1.25,25.12,201.00,0.00,201.00,0.00,3355.20,3,800,2.96,3.66,3.56,0,52666772,13179032,20.01,193128,9209036,8201148,12.46,4477356,8140296,20148,lo,193.60,193.60,3485.75,3485.75,0.00,0.00,0.00,0.00,0.00,1672.00,6202.60,0.00,1792.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5689.40
13:17:55,25.39,0.00,1.18,0.03,0.00,73.41,3.20,0.00,140.80,44.00,0.00,1.00,1.00,0.32,3.20,0.00,3.20,0.00,140.80,1,902,3.12,3.68,3.57,0,52180052,13665752,20.75,193144,9226808,9587476,14.56,4944840,8156476,38136,lo,177.40,177.40,3534.82,3534.82,0.00,0.00,0.00,0.00,0.00,70.40,25333.00,0.00,1567.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,4426.40
13:18:00,56.15,0.00,1.93,0.00,0.00,41.92,0.80,0.00,96.00,120.00,0.00,6.00,6.00,0.48,0.80,0.00,0.80,0.00,96.00,10,969,4.07,3.87,3.63,0,51552360,14293444,21.71,193156,9227608,10334204,15.69,5568948,8155420,38992,lo,244.80,244.80,5971.29,5971.29,0.00,0.00,0.00,0.00,0.00,48.00,34699.20,0.00,2367.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.60,13477.00
13:18:05,73.22,0.00,1.19,0.03,0.00,25.56,1.20,0.00,220.80,184.00,0.00,2.00,2.00,0.24,1.20,0.00,1.20,0.00,220.80,3,962,3.91,3.84,3.62,0,51575580,14270224,21.67,193160,9227620,10320512,15.67,5543544,8155364,38592,lo,511.60,511.60,15250.49,15250.49,0.00,0.00,0.00,0.00,0.00,110.40,1885.60,0.00,3020.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.60,18372.80
13:18:10,38.50,0.00,0.98,0.03,0.00,60.50,4.40,0.00,638.40,145.09,0.02,4.00,0.73,0.32,4.40,0.00,4.40,0.00,638.40,3,958,3.83,3.82,3.62,0,51574568,14271236,21.67,193168,9227632,10344780,15.71,5544360,8155308,37212,lo,1062.00,1062.00,34329.70,34329.70,0.00,0.00,0.00,0.00,0.00,319.20,967.60,0.00,603.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,7241.20
13:18:15,62.78,0.00,2.06,0.05,0.00,35.10,8.40,0.00,824.00,98.10,0.01,1.05,0.76,0.64,8.40,0.00,8.40,0.00,824.00,17,970,4.25,3.91,3.65,0,51532200,14313604,21.74,193200,9277412,10306916,15.65,5589688,8155336,86488,lo,267.80,267.80,6034.91,6034.91,0.00,0.00,0.00,0.00,0.00,412.00,33866.40,0.00,33343.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.80,12464.40
13:18:20,69.55,0.00,0.95,0.00,0.00,29.50,3.00,0.00,118.40,39.47,0.02,6.40,0.80,0.24,2.99,0.00,2.99,0.00,118.16,10,969,4.63,3.99,3.68,0,51526716,14319088,21.75,193204,9277436,10304556,15.65,5594196,8155264,86392,lo,599.00,599.00,18204.65,18204.65,0.00,0.00,0.00,0.00,0.00,59.20,1960.00,0.00,1498.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,13614.60
13:18:25,35.40,0.00,1.00,0.03,0.00,63.57,29.40,0.00,14249.60,484.68,0.75,25.66,0.57,1.68,29.40,0.00,29.40,0.00,14249.60,4,967,4.58,4.00,3.68,0,51498104,14347700,21.79,193208,9305920,10331088,15.69,5622976,8155132,79524,lo,1014.00,1014.00,31052.05,31052.05,0.00,0.00,0.00,0.00,0.00,7124.80,391.80,0.00,306.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.20,6150.60
13:18:30,57.23,0.00,1.82,0.03,0.00,40.92,2.20,0.00,251.20,114.18,0.00,1.45,1.45,0.32,2.20,0.00,2.20,0.00,251.20,3,973,4.85,4.06,3.70,0,51477376,14368428,21.82,193224,9327092,10341708,15.71,5644444,8155080,100576,lo,251.80,251.80,6014.56,6014.56,0.00,0.00,0.00,0.00,0.00,125.60,34071.40,0.00,33185.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.20,12601.40
13:18:35,69.29,0.00,0.98,0.00,0.00,29.72,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,3,972,4.54,4.01,3.69,0,51458704,14387100,21.85,193232,9327108,10364340,15.74,5662020,8154976,100592,lo,602.00,602.00,18194.45,18194.45,0.00,0.00,0.00,0.00,0.00,2.40,1556.60,0.00,579.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,13761.40
