timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
14:26:19,59.64,0.00,1.65,0.05,0.00,38.65,15.40,0.00,208.00,13.51,0.03,1.97,1.14,1.76,15.40,0.00,15.40,0.00,184.00,5,814,4.37,5.74,5.61,0,34541604,31304200,47.54,227720,26896252,8272144,12.56,5386148,24863440,18636,lo,260.00,260.00,3595.14,3595.14,0.00,0.00,0.00,0.00,0.00,104.00,8031.00,0.00,105782.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.60,5890.00
14:26:24,22.31,0.00,1.90,0.03,0.00,75.76,14.40,0.00,313.60,21.78,0.02,1.06,0.22,0.32,13.80,0.00,13.80,0.00,326.40,6,882,4.10,5.66,5.59,0,34288684,31557120,47.93,227724,26878552,8769884,13.32,5656180,24846640,508,lo,16.80,16.80,3.47,3.47,0.00,0.00,0.00,0.00,0.00,156.80,37046.80,0.00,23393.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.60,5051.80
14:26:29,65.10,0.00,2.47,0.00,0.00,32.43,16.20,0.00,30772.80,1899.56,1.49,92.25,1.68,2.72,16.80,0.00,16.80,0.00,30809.60,9,922,4.65,5.75,5.61,0,33516064,32329740,49.10,227724,27035032,9142704,13.89,6343984,24925720,80364,lo,739.20,739.20,24300.35,24300.35,0.00,0.00,0.00,0.00,0.00,15386.40,33963.20,0.00,5631.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.60,8515.40
14:26:34,87.06,0.00,0.77,0.00,0.00,12.17,0.80,0.00,76.80,96.00,0.00,4.00,4.00,0.32,0.80,0.00,0.80,0.00,80.00,10,920,4.76,5.75,5.62,0,33348320,32497484,49.35,227724,27074988,9236684,14.03,6477196,24958416,120412,lo,331.40,331.40,9252.13,9252.13,0.00,0.00,0.00,0.00,0.00,38.40,6958.80,0.00,338.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,3323.40
14:26:39,83.72,0.00,0.56,0.00,0.00,15.72,0.40,0.00,68.80,172.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,73.60,1,919,5.02,5.79,5.63,0,33307868,32537936,49.42,227728,27107944,9211460,13.99,6489788,24985632,153444,lo,303.80,303.80,8251.87,8251.87,0.00,0.00,0.00,0.00,0.00,34.40,935.60,0.00,399.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3017.60
14:26:44,82.76,0.00,0.50,0.00,0.00,16.73,2.40,0.00,126.40,52.67,0.00,0.67,0.67,0.16,2.40,0.00,2.40,0.00,113.60,8,917,5.26,5.83,5.64,0,33274096,32571708,49.47,227728,27141100,9244116,14.04,6494576,25012728,186552,lo,297.00,297.00,8165.57,8165.57,0.00,0.00,0.00,0.00,0.00,63.20,603.20,0.00,538.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3028.20
14:26:49,83.31,0.00,0.65,0.03,0.00,16.01,1.00,0.00,102.40,102.40,0.00,1.60,1.60,0.16,1.00,0.00,1.00,0.00,99.20,8,918,5.48,5.87,5.66,0,33246680,32599124,49.51,227728,27176956,9218508,14.00,6491272,25042368,222444,lo,308.60,308.60,8495.93,8495.93,0.00,0.00,0.00,0.00,0.00,51.20,1212.60,0.00,1488.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3258.00
14:26:54,82.83,0.00,0.70,0.05,0.00,16.41,46.60,0.00,52908.80,1135.38,4.70,100.89,1.17,5.44,45.80,0.00,45.80,0.00,52864.00,6,917,5.68,5.90,5.67,0,33203568,32642236,49.57,227732,27212596,9250740,14.05,6506232,25071496,126264,lo,294.20,294.20,7918.03,7918.03,0.00,0.00,0.00,0.00,0.00,26454.40,876.80,0.00,403.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2630.40
14:26:59,84.11,0.00,0.65,0.13,0.00,15.12,32.20,0.00,46928.00,1457.39,4.47,138.83,1.44,4.64,33.00,0.00,33.00,0.00,46952.00,8,919,5.87,5.94,5.68,0,33168396,32677408,49.63,227736,27254964,9247552,14.04,6515992,25095300,51696,lo,23.00,23.00,304.81,304.81,0.00,0.00,0.00,0.00,0.00,23464.00,1391.40,0.00,1671.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2778.80
14:27:04,97.10,0.00,0.88,0.00,0.00,2.03,0.40,0.00,38.40,96.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,105.60,10,910,6.04,5.97,5.69,0,33037348,32808456,49.83,227744,27377240,9265564,14.07,6629268,25111368,174100,lo,9.40,9.40,0.80,0.80,0.00,0.00,0.00,0.00,0.00,19.20,856.80,0.00,392.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.20,2933.20
14:27:09,90.96,0.00,1.00,0.00,0.00,8.04,0.40,0.00,169.60,424.00,0.00,8.00,8.00,0.32,0.40,0.00,0.40,0.00,38.40,10,915,6.28,6.02,5.71,0,33111980,32733824,49.71,227744,27271540,9278208,14.09,6561648,25102708,240120,lo,26.00,26.00,19.93,19.93,0.00,0.00,0.00,0.00,0.00,84.80,1977.80,0.00,10928.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3382.80
14:27:14,83.14,0.00,0.33,0.00,0.00,16.53,0.40,0.00,72.00,180.00,0.00,2.00,2.00,0.08,0.40,0.00,0.40,0.00,169.60,8,914,6.49,6.07,5.73,0,33094360,32751444,49.74,227748,27305776,9278128,14.09,6581756,25102516,274488,lo,4.20,4.20,0.62,0.62,0.00,0.00,0.00,0.00,0.00,36.00,712.80,0.00,1361.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2336.20
14:27:19,78.01,0.00,0.35,0.00,0.00,21.64,0.60,0.00,64.00,106.67,0.00,1.33,1.33,0.08,0.40,0.00,0.40,0.00,72.00,8,916,6.45,6.07,5.73,0,33065716,32780088,49.78,227748,27335656,9246692,14.04,6611140,25101048,304384,lo,6.60,6.60,2.81,2.81,0.00,0.00,0.00,0.00,0.00,32.00,742.40,0.00,505.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2243.40
14:27:24,78.02,0.00,0.30,0.00,0.00,21.68,0.80,0.00,99.20,124.00,0.00,1.00,1.00,0.08,1.00,0.00,1.00,0.00,80.00,8,918,6.02,5.98,5.71,0,33033576,32812228,49.83,227748,27365680,9206688,13.98,6644176,25099712,334408,lo,4.80,4.80,0.89,0.89,0.00,0.00,0.00,0.00,0.00,49.60,877.80,0.00,564.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2239.00
14:27:29,76.47,0.00,0.48,0.00,0.00,23.06,36.60,0.00,36140.80,987.45,4.27,116.59,1.70,6.24,36.00,0.00,36.00,0.00,36129.60,8,908,5.94,5.97,5.70,0,32996560,32849244,49.89,227752,27399828,9223892,14.01,6677676,25102516,278432,lo,6.00,6.00,2.82,2.82,0.00,0.00,0.00,0.00,0.00,18070.40,875.40,0.00,453.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2402.00
14:27:34,77.84,0.00,0.35,0.48,0.00,21.33,32.20,0.00,60076.80,1865.74,21.86,678.98,7.30,23.52,32.80,0.00,32.80,0.00,60097.60,1,906,6.10,6.00,5.71,0,32969248,32876556,49.93,227756,27427244,9266804,14.07,6707132,25098748,156160,lo,3.60,3.60,0.50,0.50,0.00,0.00,0.00,0.00,0.00,30038.40,547.00,0.00,568.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,2098.20
14:27:39,77.50,0.00,0.30,0.00,0.00,22.20,0.60,0.00,54.40,90.67,0.00,5.33,5.33,0.32,0.60,0.00,0.60,0.00,75.20,1,907,5.69,5.92,5.69,0,32943628,32902176,49.97,227756,27452076,9250616,14.05,6730712,25100060,181008,lo,6.00,6.00,3.05,3.05,0.00,0.00,0.00,0.00,0.00,27.20,588.00,0.00,365.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2111.80
14:27:44,77.50,0.00,0.33,0.05,0.00,22.12,6.80,0.00,9339.20,1373.41,0.25,36.35,1.65,1.12,6.80,0.00,6.80,0.00,9318.40,8,906,5.32,5.84,5.66,0,32916460,32929344,50.01,227756,27482296,9263984,14.07,6762720,25095240,188064,lo,4.20,4.20,0.62,0.62,0.00,0.00,0.00,0.00,0.00,4669.60,244.80,0.00,252.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2092.80
14:27:49,84.38,0.00,0.55,0.00,0.00,15.07,8.20,0.00,14168.00,1727.80,0.43,51.90,1.95,1.60,8.20,0.00,8.20,0.00,14121.60,8,907,5.69,5.91,5.69,0,32875540,32970264,50.07,227760,27521940,9240060,14.03,6788120,25110700,192636,lo,4.80,4.80,2.67,2.67,0.00,0.00,0.00,0.00,0.00,7084.00,788.80,0.00,557.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2933.60
14:27:54,94.90,0.00,1.01,0.03,0.00,4.07,6.00,0.00,10019.20,1669.87,0.39,64.40,3.20,1.92,6.00,0.00,6.00,0.00,10038.40,8,906,5.88,5.94,5.70,0,32811276,33034528,50.17,227764,27591756,9249360,14.05,6855600,25104672,255484,lo,4.80,4.80,0.89,0.89,0.00,0.00,0.00,0.00,0.00,5009.60,1938.80,0.00,4402.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3347.80
14:27:59,87.32,0.00,1.38,0.08,0.00,11.22,3.20,0.00,195.20,61.00,0.00,0.50,0.50,0.16,3.20,0.00,3.20,0.00,126.40,8,907,6.05,5.98,5.71,0,32892076,32953728,50.05,227768,27491344,9256716,14.06,6765508,25116176,220424,lo,31.40,31.40,19.63,19.63,0.00,0.00,0.00,0.00,0.00,97.60,2269.60,0.00,20836.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,3091.20
14:28:04,81.39,0.00,0.58,0.03,0.00,18.00,13.00,0.00,264.00,20.31,0.07,5.60,0.25,0.32,12.80,0.00,12.80,0.00,329.60,1,906,5.64,5.89,5.69,0,32829388,33016416,50.14,227768,27559104,9288964,14.11,6849396,25095040,287876,lo,3.60,3.60,0.50,0.50,0.00,0.00,0.00,0.00,0.00,132.00,496.80,0.00,625.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.20,2482.00
14:28:09,73.96,0.00,0.38,0.00,0.00,25.66,0.40,0.00,59.08,148.00,0.00,2.00,2.00,0.08,0.60,0.00,0.60,0.00,104.00,8,908,5.83,5.93,5.70,0,32784220,33061584,50.21,227772,27601984,9242484,14.04,6907852,25079508,330836,lo,6.00,6.00,3.05,3.05,0.00,0.00,0.00,0.00,0.00,29.60,489.60,0.00,278.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,2256.80
14:28:14,75.90,0.00,0.33,0.03,0.00,23.75,0.40,0.00,80.00,200.00,0.00,4.00,4.00,0.16,0.40,0.00,0.40,0.00,59.20,6,907,6.01,5.96,5.71,0,32729628,33116176,50.29,227772,27649900,9213748,13.99,6982464,25057328,378784,lo,5.40,5.40,0.77,0.77,0.00,0.00,0.00,0.00,0.00,40.00,663.00,0.00,300.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2228.80
14:28:19,82.40,0.00,0.55,0.05,0.00,17.00,30.80,0.00,43417.60,1409.66,4.95,160.75,1.74,5.36,30.80,0.00,30.80,0.00,43435.20,1,909,6.17,6.00,5.73,0,32703428,33142376,50.33,227776,27673860,9226484,14.01,6988700,25077004,294456,lo,13.80,13.80,3.69,3.69,0.00,0.00,0.00,0.00,0.00,21708.80,880.80,0.00,633.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,2389.00
