timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:43:54,51.79,0.00,3.62,6.44,0.00,38.15,247.60,0.00,103011.20,416.04,23.45,94.69,1.87,46.40,245.60,0.00,245.60,0.00,102966.40,4,719,3.68,3.39,3.45,1,17694308,15121912,46.08,198888,11575756,6175276,18.82,4102088,10455704,1018564,lo,22.60,22.60,95.93,95.93,0.00,0.00,0.00,0.00,0.00,51505.60,18734.60,0.00,36929.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3428.80
13:43:59,41.03,0.00,1.26,9.45,0.00,48.27,195.40,0.00,94564.80,483.95,17.54,89.76,1.86,36.32,197.40,0.00,197.40,0.00,94609.60,2,726,3.55,3.37,3.44,0,17632384,15183836,46.27,199656,11577012,6324640,19.27,4163144,10456076,788792,lo,19.00,19.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,47282.40,4218.80,0.00,998.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,4689.20
13:44:04,41.57,0.00,2.62,2.37,0.00,53.45,61.00,0.00,91924.80,1506.96,18.99,311.32,3.71,22.64,61.00,0.00,61.00,0.00,91924.80,4,763,3.42,3.34,3.43,0,17317620,15498600,47.23,199660,11611940,7037032,21.44,4444440,10488488,594464,lo,345.20,345.20,6974.45,6974.45,0.00,0.00,0.00,0.00,0.00,45962.40,16303.80,0.00,2104.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,3135.20
13:44:09,53.15,0.00,2.82,0.81,0.00,43.22,52.00,0.00,91987.20,1768.98,19.62,377.31,4.31,22.40,52.00,0.00,52.00,0.00,91987.20,6,855,3.15,3.29,3.41,0,16932936,15883284,48.40,199664,11612472,7910780,24.11,4824924,10488544,365412,lo,47.40,47.40,56.93,56.93,0.00,0.00,0.00,0.00,0.00,45993.60,21385.00,0.00,2359.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.40,4488.40
13:44:14,87.37,0.00,3.08,0.00,0.00,9.55,49.20,0.00,91819.20,1866.24,20.00,406.47,4.50,22.16,49.20,0.00,49.20,0.00,91819.20,2,867,3.38,3.33,3.43,0,16512032,16304188,49.68,199676,11613000,7997128,24.37,5245056,10486600,136572,lo,368.00,368.00,10105.25,10105.25,0.00,0.00,0.00,0.00,0.00,45909.60,22885.00,0.00,1963.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,4568.60
13:44:19,60.86,0.00,1.51,0.05,0.00,37.58,23.00,0.00,39537.60,1719.03,2.96,128.52,1.67,3.84,23.00,0.00,23.00,0.00,39537.60,2,864,3.27,3.31,3.42,0,16533560,16282660,49.62,199684,11613008,8015424,24.43,5222024,10486508,37960,lo,961.40,961.40,29470.18,29470.18,0.00,0.00,0.00,0.00,0.00,19768.80,703.40,0.00,1680.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.80,5168.00
13:44:24,63.90,0.00,3.24,0.00,0.00,32.86,27.60,0.00,667.20,24.17,0.66,24.00,0.49,1.36,27.60,0.00,27.60,0.00,667.20,14,862,3.00,3.26,3.40,0,16924332,15891888,48.43,199692,11615768,7922096,24.14,4836256,10486032,39332,lo,552.20,552.20,15570.23,15570.23,0.00,0.00,0.00,0.00,0.00,333.60,13353.20,0.00,31836.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.40,4694.80
13:44:29,89.38,0.00,2.72,0.00,0.00,7.90,1.60,0.00,244.80,153.00,0.00,1.00,1.00,0.16,1.60,0.00,1.60,0.00,244.80,2,873,3.73,3.40,3.45,0,16511964,16304256,49.68,199696,11616308,7995316,24.36,5245832,10486424,39672,lo,376.60,376.60,10697.46,10697.46,0.00,0.00,0.00,0.00,0.00,122.40,23077.60,0.00,2776.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4707.60
13:44:34,61.77,0.00,1.46,0.00,0.00,36.77,21.00,0.00,14022.40,667.73,1.23,58.63,0.80,1.68,21.00,0.00,21.00,0.00,14022.40,2,872,3.75,3.41,3.45,0,16521772,16294448,49.65,199708,11616308,8015776,24.43,5234524,10486288,4820,lo,938.40,938.40,29894.64,29894.64,0.00,0.00,0.00,0.00,0.00,7011.20,463.20,0.00,973.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.60,4495.00
13:44:39,56.45,0.00,2.33,0.05,0.00,41.17,2.80,0.00,246.40,88.00,0.00,0.57,0.57,0.16,2.80,0.00,2.80,0.00,246.40,5,858,3.45,3.35,3.43,0,16946128,15870092,48.36,199716,11619240,7788948,23.74,4814372,10485960,7452,lo,480.40,480.40,14635.89,14635.89,0.00,0.00,0.00,0.00,0.00,123.20,11913.00,0.00,32494.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.40,4747.00
