timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:11:35,31.78,0.00,1.85,0.20,0.00,66.17,20.80,0.00,558.40,26.85,0.02,0.96,0.92,1.92,20.80,0.00,20.80,0.00,548.80,4,774,2.95,3.19,2.98,0,18957052,13859168,42.23,274832,9890296,6956112,21.20,4445176,8890444,1452,lo,104.40,104.40,270.14,270.14,0.00,0.00,0.00,0.00,0.00,274.40,15615.60,0.00,23701.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,3696.40
17:11:40,39.62,0.00,2.91,0.20,0.00,57.27,15.00,0.00,283.20,18.88,0.02,1.33,1.33,2.00,14.80,0.00,14.80,0.00,228.80,2,755,2.71,3.13,2.97,0,19308384,13507836,41.16,274832,9880320,6559780,19.99,4104600,8881232,3260,lo,100.60,100.60,224.72,224.72,0.00,0.00,0.00,0.00,0.00,114.40,27564.20,0.00,44655.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.80,4295.00
17:11:45,46.58,0.00,1.81,0.05,0.00,51.56,2.80,0.00,84.80,30.29,0.00,1.43,1.43,0.40,3.40,0.00,3.40,0.00,200.00,0,833,2.57,3.10,2.96,0,18900932,13915288,42.40,274832,9880472,6824280,20.80,4508624,8881228,3452,lo,37.80,37.80,29.06,29.06,0.00,0.00,0.00,0.00,0.00,100.00,22302.20,0.00,1484.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,3158.40
17:11:50,64.08,0.00,3.31,0.00,0.00,32.62,3.40,0.00,164.80,48.47,0.00,0.47,0.47,0.16,3.00,0.00,3.00,0.00,136.00,7,871,2.37,3.05,2.94,0,18803212,14013008,42.70,274832,9881272,7346484,22.39,4605504,8881380,4248,lo,83.00,83.00,108.79,108.79,0.00,0.00,0.00,0.00,0.00,68.00,33526.20,0.00,28070.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.80,5211.40
17:11:55,72.45,0.00,3.11,0.05,0.00,24.39,3.80,0.00,179.20,47.16,0.00,0.84,0.84,0.32,4.00,0.00,4.00,0.00,185.60,8,879,2.66,3.10,2.96,0,18717024,14099196,42.96,274832,9881880,7486184,22.81,4691660,8881380,4764,lo,75.40,75.40,104.55,104.55,0.00,0.00,0.00,0.00,0.00,92.80,30963.80,0.00,26213.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.60,4918.60
17:12:00,78.64,0.00,4.40,0.00,0.00,16.95,17.40,0.00,387.20,22.25,0.03,1.89,0.32,0.56,17.40,0.00,17.40,0.00,382.40,6,888,2.93,3.14,2.97,0,18629264,14186956,43.23,274832,9882888,7429104,22.64,4777604,8881536,5012,lo,105.00,105.00,192.25,192.25,0.00,0.00,0.00,0.00,0.00,190.82,44144.51,0.00,39045.71,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,5492.40
17:12:05,60.35,0.00,3.58,0.00,0.00,36.07,6.20,0.00,393.60,63.48,0.01,1.42,0.77,0.48,6.40,0.00,6.40,0.00,371.20,5,871,3.25,3.21,2.99,0,18807552,14008668,42.69,274836,9883852,7348956,22.39,4600884,8882236,5820,lo,97.40,97.40,205.87,205.87,0.00,0.00,0.00,0.00,0.00,185.60,25859.80,0.00,34115.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,5223.20
17:12:10,77.56,0.00,2.67,0.00,0.00,19.77,13.00,0.00,772.80,59.45,0.04,3.32,0.68,0.88,12.20,0.00,12.20,0.00,760.00,9,877,3.63,3.29,3.02,0,18709180,14107040,42.99,274840,9885200,7475984,22.78,4697076,8883924,5700,lo,103.20,103.20,365.94,365.94,0.00,0.00,0.00,0.00,0.00,380.00,21015.00,0.00,15878.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,5270.60
17:12:15,77.24,0.00,3.17,0.05,0.00,19.54,13.80,0.00,1038.40,75.25,0.02,1.45,0.70,0.96,14.20,0.00,14.20,0.00,1043.20,5,896,3.98,3.37,3.05,0,18644968,14171252,43.18,274844,9886796,7453892,22.71,4757536,8886104,5312,lo,114.80,114.80,418.87,418.87,0.00,0.00,0.00,0.00,0.00,521.60,19861.80,0.00,16275.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,5437.20
17:12:20,45.54,0.00,1.81,0.45,0.00,52.21,32.00,0.00,500.80,15.65,0.03,0.97,0.97,3.12,32.00,0.00,32.00,0.00,534.40,0,779,3.98,3.38,3.05,0,18911544,13904676,42.37,274844,9889060,6843144,20.85,4491292,8888628,6972,lo,202.00,202.00,684.36,684.36,0.00,0.00,0.00,0.00,0.00,267.20,10270.20,0.00,23678.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,3961.00
